key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,5.841210
u64,sip,128,get-hit,baseline,0,5.641179
u64,sip,128,get-hit,quick_cache,0,5.443966
u64,sip,128,get-hit,lru,0,6.012612
u64,sip,128,get-hit,hashlink,0,5.793589
u64,sip,128,get-hit,baseline,1,5.382292
u64,sip,128,get-hit,quick_cache,1,5.394919
u64,sip,128,get-hit,lru,1,5.971668
u64,sip,128,get-hit,hashlink,1,5.756794
u64,sip,128,get-hit,micro,1,5.373771
u64,sip,128,get-hit,quick_cache,2,5.339558
u64,sip,128,get-hit,lru,2,5.972705
u64,sip,128,get-hit,hashlink,2,5.776412
u64,sip,128,get-hit,micro,2,5.373012
u64,sip,128,get-hit,baseline,2,5.307936
u64,sip,128,get-hit,lru,3,5.994660
u64,sip,128,get-hit,hashlink,3,5.759521
u64,sip,128,get-hit,micro,3,5.354451
u64,sip,128,get-hit,baseline,3,5.390234
u64,sip,128,get-hit,quick_cache,3,5.349555
u64,sip,128,get-hit,hashlink,4,5.855645
u64,sip,128,get-hit,micro,4,5.413675
u64,sip,128,get-hit,baseline,4,5.515084
u64,sip,128,get-hit,quick_cache,4,5.388449
u64,sip,128,get-hit,lru,4,5.921877
u64,sip,128,get-hit,micro,5,5.484853
u64,sip,128,get-hit,baseline,5,5.497978
u64,sip,128,get-hit,quick_cache,5,5.222071
u64,sip,128,get-hit,lru,5,5.931225
u64,sip,128,get-hit,hashlink,5,5.912878
u64,sip,128,get-hit,baseline,6,5.424342
u64,sip,128,get-hit,quick_cache,6,5.213894
u64,sip,128,get-hit,lru,6,5.997253
u64,sip,128,get-hit,hashlink,6,5.780443
u64,sip,128,get-hit,micro,6,5.312225
u64,sip,128,get-hit,quick_cache,7,5.326024
u64,sip,128,get-hit,lru,7,6.133066
u64,sip,128,get-hit,hashlink,7,5.911558
u64,sip,128,get-hit,micro,7,5.391529
u64,sip,128,get-hit,baseline,7,5.415429
u64,sip,128,get-hit,lru,8,6.079595
u64,sip,128,get-hit,hashlink,8,5.793110
u64,sip,128,get-hit,micro,8,5.707730
u64,sip,128,get-hit,baseline,8,5.902265
u64,sip,128,get-hit,quick_cache,8,5.620088
u64,sip,128,get-miss,micro,0,4.559303
u64,sip,128,get-miss,baseline,0,4.446721
u64,sip,128,get-miss,quick_cache,0,4.518098
u64,sip,128,get-miss,lru,0,5.219898
u64,sip,128,get-miss,hashlink,0,4.444399
u64,sip,128,get-miss,baseline,1,4.514620
u64,sip,128,get-miss,quick_cache,1,4.590792
u64,sip,128,get-miss,lru,1,5.236590
u64,sip,128,get-miss,hashlink,1,4.585228
u64,sip,128,get-miss,micro,1,4.434041
u64,sip,128,get-miss,quick_cache,2,4.555128
u64,sip,128,get-miss,lru,2,5.022768
u64,sip,128,get-miss,hashlink,2,4.411400
u64,sip,128,get-miss,micro,2,4.564389
u64,sip,128,get-miss,baseline,2,4.483559
u64,sip,128,get-miss,lru,3,5.007843
u64,sip,128,get-miss,hashlink,3,4.497490
u64,sip,128,get-miss,micro,3,4.516302
u64,sip,128,get-miss,baseline,3,4.490983
u64,sip,128,get-miss,quick_cache,3,4.541242
u64,sip,128,get-miss,hashlink,4,4.516826
u64,sip,128,get-miss,micro,4,4.557443
u64,sip,128,get-miss,baseline,4,4.525116
u64,sip,128,get-miss,quick_cache,4,4.587088
u64,sip,128,get-miss,lru,4,5.058561
u64,sip,128,get-miss,micro,5,4.468190
u64,sip,128,get-miss,baseline,5,4.487235
u64,sip,128,get-miss,quick_cache,5,4.488552
u64,sip,128,get-miss,lru,5,4.993511
u64,sip,128,get-miss,hashlink,5,4.497902
u64,sip,128,get-miss,baseline,6,4.455196
u64,sip,128,get-miss,quick_cache,6,4.478733
u64,sip,128,get-miss,lru,6,4.962018
u64,sip,128,get-miss,hashlink,6,4.437986
u64,sip,128,get-miss,micro,6,4.525154
u64,sip,128,get-miss,quick_cache,7,4.491021
u64,sip,128,get-miss,lru,7,4.952831
u64,sip,128,get-miss,hashlink,7,4.437101
u64,sip,128,get-miss,micro,7,4.568376
u64,sip,128,get-miss,baseline,7,4.512001
u64,sip,128,get-miss,lru,8,4.987267
u64,sip,128,get-miss,hashlink,8,4.440123
u64,sip,128,get-miss,micro,8,4.481035
u64,sip,128,get-miss,baseline,8,4.437690
u64,sip,128,get-miss,quick_cache,8,4.537173
u64,sip,128,update,micro,0,5.350173
u64,sip,128,update,baseline,0,5.291380
u64,sip,128,update,quick_cache,0,9.236122
u64,sip,128,update,lru,0,5.735498
u64,sip,128,update,hashlink,0,16.003862
u64,sip,128,update,baseline,1,5.263975
u64,sip,128,update,quick_cache,1,9.273876
u64,sip,128,update,lru,1,5.646265
u64,sip,128,update,hashlink,1,16.374020
u64,sip,128,update,micro,1,5.360073
u64,sip,128,update,quick_cache,2,9.397615
u64,sip,128,update,lru,2,5.671890
u64,sip,128,update,hashlink,2,15.917005
u64,sip,128,update,micro,2,5.280462
u64,sip,128,update,baseline,2,5.352562
u64,sip,128,update,lru,3,5.713871
u64,sip,128,update,hashlink,3,15.898744
u64,sip,128,update,micro,3,5.311518
u64,sip,128,update,baseline,3,5.345663
u64,sip,128,update,quick_cache,3,9.258310
u64,sip,128,update,hashlink,4,16.354476
u64,sip,128,update,micro,4,5.288749
u64,sip,128,update,baseline,4,5.269062
u64,sip,128,update,quick_cache,4,9.265553
u64,sip,128,update,lru,4,5.713965
u64,sip,128,update,micro,5,5.386398
u64,sip,128,update,baseline,5,5.333765
u64,sip,128,update,quick_cache,5,9.289059
u64,sip,128,update,lru,5,5.713965
u64,sip,128,update,hashlink,5,16.265468
u64,sip,128,update,baseline,6,5.280593
u64,sip,128,update,quick_cache,6,9.300232
u64,sip,128,update,lru,6,5.640619
u64,sip,128,update,hashlink,6,16.328241
u64,sip,128,update,micro,6,5.310545
u64,sip,128,update,quick_cache,7,9.305087
u64,sip,128,update,lru,7,5.646638
u64,sip,128,update,hashlink,7,14.949147
u64,sip,128,update,micro,7,5.238895
u64,sip,128,update,baseline,7,5.255717
u64,sip,128,update,lru,8,5.767342
u64,sip,128,update,hashlink,8,14.812892
u64,sip,128,update,micro,8,5.318418
u64,sip,128,update,baseline,8,5.255283
u64,sip,128,update,quick_cache,8,9.213424
u64,sip,128,insert-cycle,micro,0,11.394748
u64,sip,128,insert-cycle,baseline,0,11.282624
u64,sip,128,insert-cycle,quick_cache,0,16.414184
u64,sip,128,insert-cycle,lru,0,26.256710
u64,sip,128,insert-cycle,hashlink,0,29.054310
u64,sip,128,insert-cycle,baseline,1,11.337778
u64,sip,128,insert-cycle,quick_cache,1,16.191086
u64,sip,128,insert-cycle,lru,1,26.714278
u64,sip,128,insert-cycle,hashlink,1,30.111680
u64,sip,128,insert-cycle,micro,1,11.491843
u64,sip,128,insert-cycle,quick_cache,2,16.130216
u64,sip,128,insert-cycle,lru,2,25.943103
u64,sip,128,insert-cycle,hashlink,2,29.390126
u64,sip,128,insert-cycle,micro,2,11.685944
u64,sip,128,insert-cycle,baseline,2,11.392755
u64,sip,128,insert-cycle,lru,3,26.804784
u64,sip,128,insert-cycle,hashlink,3,30.556488
u64,sip,128,insert-cycle,micro,3,11.399971
u64,sip,128,insert-cycle,baseline,3,11.297682
u64,sip,128,insert-cycle,quick_cache,3,15.997709
u64,sip,128,insert-cycle,hashlink,4,30.164931
u64,sip,128,insert-cycle,micro,4,11.433703
u64,sip,128,insert-cycle,baseline,4,11.386116
u64,sip,128,insert-cycle,quick_cache,4,16.009041
u64,sip,128,insert-cycle,lru,4,26.699822
u64,sip,128,insert-cycle,micro,5,11.474466
u64,sip,128,insert-cycle,baseline,5,11.386211
u64,sip,128,insert-cycle,quick_cache,5,16.219985
u64,sip,128,insert-cycle,lru,5,27.144368
u64,sip,128,insert-cycle,hashlink,5,30.766585
u64,sip,128,insert-cycle,baseline,6,11.364824
u64,sip,128,insert-cycle,quick_cache,6,16.504098
u64,sip,128,insert-cycle,lru,6,25.334260
u64,sip,128,insert-cycle,hashlink,6,31.443899
u64,sip,128,insert-cycle,micro,6,12.013340
u64,sip,128,insert-cycle,quick_cache,7,16.685515
u64,sip,128,insert-cycle,lru,7,25.523427
u64,sip,128,insert-cycle,hashlink,7,30.743293
u64,sip,128,insert-cycle,micro,7,11.953926
u64,sip,128,insert-cycle,baseline,7,12.022236
u64,sip,128,insert-cycle,lru,8,25.899384
u64,sip,128,insert-cycle,hashlink,8,32.201362
u64,sip,128,insert-cycle,micro,8,11.918848
u64,sip,128,insert-cycle,baseline,8,12.007457
u64,sip,128,insert-cycle,quick_cache,8,17.053062
u64,sip,128,mixed-95,micro,0,13.788181
u64,sip,128,mixed-95,baseline,0,13.689621
u64,sip,128,mixed-95,quick_cache,0,14.493720
u64,sip,128,mixed-95,lru,0,14.265668
u64,sip,128,mixed-95,hashlink,0,11.097949
u64,sip,128,mixed-95,baseline,1,12.260537
u64,sip,128,mixed-95,quick_cache,1,14.109988
u64,sip,128,mixed-95,lru,1,13.890816
u64,sip,128,mixed-95,hashlink,1,12.116575
u64,sip,128,mixed-95,micro,1,12.463276
u64,sip,128,mixed-95,quick_cache,2,13.578174
u64,sip,128,mixed-95,lru,2,14.033808
u64,sip,128,mixed-95,hashlink,2,11.623070
u64,sip,128,mixed-95,micro,2,11.415552
u64,sip,128,mixed-95,baseline,2,12.078379
u64,sip,128,mixed-95,lru,3,14.355088
u64,sip,128,mixed-95,hashlink,3,12.303669
u64,sip,128,mixed-95,micro,3,13.889890
u64,sip,128,mixed-95,baseline,3,13.325124
u64,sip,128,mixed-95,quick_cache,3,14.943318
u64,sip,128,mixed-95,hashlink,4,11.168324
u64,sip,128,mixed-95,micro,4,12.580818
u64,sip,128,mixed-95,baseline,4,13.001442
u64,sip,128,mixed-95,quick_cache,4,13.092797
u64,sip,128,mixed-95,lru,4,13.481029
u64,sip,128,mixed-95,micro,5,12.014731
u64,sip,128,mixed-95,baseline,5,13.350334
u64,sip,128,mixed-95,quick_cache,5,12.282207
u64,sip,128,mixed-95,lru,5,13.216818
u64,sip,128,mixed-95,hashlink,5,10.570832
