key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,clear-refill,micro,0,883.309839
u64,sip,128,clear-refill,baseline,0,1523.804083
u64,sip,128,clear-refill,quick_cache,0,1373.901099
u64,sip,128,clear-refill,lru,0,4391.681299
u64,sip,128,clear-refill,hashlink,0,3004.028829
u64,sip,128,clear-refill,baseline,1,1372.563821
u64,sip,128,clear-refill,quick_cache,1,1212.982052
u64,sip,128,clear-refill,lru,1,4376.458443
u64,sip,128,clear-refill,hashlink,1,2993.666667
u64,sip,128,clear-refill,micro,1,852.972535
u64,sip,128,clear-refill,quick_cache,2,1223.574749
u64,sip,128,clear-refill,lru,2,4444.160746
u64,sip,128,clear-refill,hashlink,2,3079.459360
u64,sip,128,clear-refill,micro,2,866.008660
u64,sip,128,clear-refill,baseline,2,1277.791975
u64,sip,128,clear-refill,lru,3,4391.388938
u64,sip,128,clear-refill,hashlink,3,2975.386675
u64,sip,128,clear-refill,micro,3,871.420007
u64,sip,128,clear-refill,baseline,3,1261.139218
u64,sip,128,clear-refill,quick_cache,3,1207.005793
u64,sip,128,clear-refill,hashlink,4,2964.902786
u64,sip,128,clear-refill,micro,4,867.790351
u64,sip,128,clear-refill,baseline,4,1249.271297
u64,sip,128,clear-refill,quick_cache,4,1243.710271
u64,sip,128,clear-refill,lru,4,4394.112478
u64,sip,128,clear-refill,micro,5,854.084885
u64,sip,128,clear-refill,baseline,5,1289.775084
u64,sip,128,clear-refill,quick_cache,5,1232.998521
u64,sip,128,clear-refill,lru,5,4548.447273
u64,sip,128,clear-refill,hashlink,5,3065.410539
u64,sip,128,clear-refill,baseline,6,1744.070457
u64,sip,128,clear-refill,quick_cache,6,1223.203373
u64,sip,128,clear-refill,lru,6,4150.726141
u64,sip,128,clear-refill,hashlink,6,3002.650660
u64,sip,128,clear-refill,micro,6,864.219668
u64,sip,128,clear-refill,quick_cache,7,1236.705417
u64,sip,128,clear-refill,lru,7,4514.778881
u64,sip,128,clear-refill,hashlink,7,3088.660902
u64,sip,128,clear-refill,micro,7,865.237584
u64,sip,128,clear-refill,baseline,7,1288.285677
u64,sip,128,clear-refill,lru,8,4417.256184
u64,sip,128,clear-refill,hashlink,8,3037.692588
u64,sip,128,clear-refill,micro,8,874.744752
u64,sip,128,clear-refill,baseline,8,1340.864307
u64,sip,128,clear-refill,quick_cache,8,1241.465988
u64,sip,128,clear-empty,micro,0,0.372492
u64,sip,128,clear-empty,baseline,0,47.492462
u64,sip,128,clear-empty,quick_cache,0,1.859103
u64,sip,128,clear-empty,lru,0,0.666800
u64,sip,128,clear-empty,hashlink,0,0.604969
u64,sip,128,clear-empty,baseline,1,48.427667
u64,sip,128,clear-empty,quick_cache,1,1.772682
u64,sip,128,clear-empty,lru,1,0.657762
u64,sip,128,clear-empty,hashlink,1,0.679879
u64,sip,128,clear-empty,micro,1,0.384685
u64,sip,128,clear-empty,quick_cache,2,1.856645
u64,sip,128,clear-empty,lru,2,0.617907
u64,sip,128,clear-empty,hashlink,2,0.622371
u64,sip,128,clear-empty,micro,2,0.388203
u64,sip,128,clear-empty,baseline,2,49.153649
u64,sip,128,clear-empty,lru,3,0.623762
u64,sip,128,clear-empty,hashlink,3,0.612736
u64,sip,128,clear-empty,micro,3,0.378990
u64,sip,128,clear-empty,baseline,3,52.625431
u64,sip,128,clear-empty,quick_cache,3,1.807308
u64,sip,128,clear-empty,hashlink,4,0.622594
u64,sip,128,clear-empty,micro,4,0.419769
u64,sip,128,clear-empty,baseline,4,45.254178
u64,sip,128,clear-empty,quick_cache,4,1.887640
u64,sip,128,clear-empty,lru,4,0.847313
u64,sip,128,clear-empty,micro,5,0.400661
u64,sip,128,clear-empty,baseline,5,51.244396
u64,sip,128,clear-empty,quick_cache,5,1.991613
u64,sip,128,clear-empty,lru,5,0.727069
u64,sip,128,clear-empty,hashlink,5,0.614090
u64,sip,128,clear-empty,baseline,6,51.977279
u64,sip,128,clear-empty,quick_cache,6,2.146870
u64,sip,128,clear-empty,lru,6,0.611862
u64,sip,128,clear-empty,hashlink,6,0.620020
u64,sip,128,clear-empty,micro,6,0.439556
u64,sip,128,clear-empty,quick_cache,7,1.773843
u64,sip,128,clear-empty,lru,7,0.603263
u64,sip,128,clear-empty,hashlink,7,0.611676
u64,sip,128,clear-empty,micro,7,0.367855
u64,sip,128,clear-empty,baseline,7,48.632570
u64,sip,128,clear-empty,lru,8,0.603572
u64,sip,128,clear-empty,hashlink,8,0.605733
u64,sip,128,clear-empty,micro,8,0.366000
u64,sip,128,clear-empty,baseline,8,48.129378
u64,sip,128,clear-empty,quick_cache,8,1.782345
u64,sip,1024,clear-refill,micro,0,7242.945007
u64,sip,1024,clear-refill,baseline,0,10083.250000
u64,sip,1024,clear-refill,quick_cache,0,10082.661290
u64,sip,1024,clear-refill,lru,0,40392.814516
u64,sip,1024,clear-refill,hashlink,0,24709.152709
u64,sip,1024,clear-refill,baseline,1,9874.343195
u64,sip,1024,clear-refill,quick_cache,1,13371.879679
u64,sip,1024,clear-refill,lru,1,38748.400000
u64,sip,1024,clear-refill,hashlink,1,24689.246305
