key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,clear-refill,micro,0,1313.457578
u64,sip,128,clear-refill,baseline,0,1303.177222
u64,sip,128,clear-refill,quick_cache,0,1265.181037
u64,sip,128,clear-refill,lru,0,5501.466447
u64,sip,128,clear-refill,hashlink,0,3161.926043
u64,sip,128,clear-refill,baseline,1,1732.377901
u64,sip,128,clear-refill,quick_cache,1,1712.471575
u64,sip,128,clear-refill,lru,1,5128.846154
u64,sip,128,clear-refill,hashlink,1,3374.549933
u64,sip,128,clear-refill,micro,1,1765.393437
u64,sip,128,clear-refill,quick_cache,2,1455.011638
u64,sip,128,clear-refill,lru,2,4723.638338
u64,sip,128,clear-refill,hashlink,2,3276.941754
u64,sip,128,clear-refill,micro,2,1422.487055
u64,sip,128,clear-refill,baseline,2,1434.100373
u64,sip,128,clear-refill,lru,3,4689.510778
u64,sip,128,clear-refill,hashlink,3,4007.839872
u64,sip,128,clear-refill,micro,3,1275.931360
u64,sip,128,clear-refill,baseline,3,1632.386549
u64,sip,128,clear-refill,quick_cache,3,1651.828213
u64,sip,128,clear-refill,hashlink,4,3464.162050
u64,sip,128,clear-refill,micro,4,1817.566340
u64,sip,128,clear-refill,baseline,4,1938.962001
u64,sip,128,clear-refill,quick_cache,4,1454.866162
u64,sip,128,clear-refill,lru,4,4551.372157
u64,sip,128,clear-refill,micro,5,1251.606008
u64,sip,128,clear-refill,baseline,5,1596.716475
u64,sip,128,clear-refill,quick_cache,5,1611.652594
u64,sip,128,clear-refill,lru,5,4636.043559
u64,sip,128,clear-refill,hashlink,5,3024.435913
u64,sip,128,clear-refill,baseline,6,1613.971272
u64,sip,128,clear-refill,quick_cache,6,1229.105211
u64,sip,128,clear-refill,lru,6,4753.485741
u64,sip,128,clear-refill,hashlink,6,3179.486968
u64,sip,128,clear-refill,micro,6,1568.433814
u64,sip,128,clear-refill,quick_cache,7,1226.876840
u64,sip,128,clear-refill,lru,7,4740.127014
u64,sip,128,clear-refill,hashlink,7,3012.098795
u64,sip,128,clear-refill,micro,7,1695.127119
u64,sip,128,clear-refill,baseline,7,1527.438607
u64,sip,128,clear-refill,lru,8,4541.514986
u64,sip,128,clear-refill,hashlink,8,2986.318209
u64,sip,128,clear-refill,micro,8,1623.498377
u64,sip,128,clear-refill,baseline,8,1302.343750
u64,sip,128,clear-refill,quick_cache,8,1229.894245
u64,sip,128,clear-empty,micro,0,1.874510
u64,sip,128,clear-empty,baseline,0,51.893806
u64,sip,128,clear-empty,quick_cache,0,1.822671
u64,sip,128,clear-empty,lru,0,0.590011
u64,sip,128,clear-empty,hashlink,0,0.615836
u64,sip,128,clear-empty,baseline,1,41.944692
u64,sip,128,clear-empty,quick_cache,1,1.831185
u64,sip,128,clear-empty,lru,1,0.607731
u64,sip,128,clear-empty,hashlink,1,0.600099
u64,sip,128,clear-empty,micro,1,1.894294
u64,sip,128,clear-empty,quick_cache,2,1.842080
u64,sip,128,clear-empty,lru,2,0.600547
u64,sip,128,clear-empty,hashlink,2,0.617384
u64,sip,128,clear-empty,micro,2,1.884986
u64,sip,128,clear-empty,baseline,2,49.156103
u64,sip,128,clear-empty,lru,3,0.604805
u64,sip,128,clear-empty,hashlink,3,0.609016
u64,sip,128,clear-empty,micro,3,1.871441
u64,sip,128,clear-empty,baseline,3,50.030721
u64,sip,128,clear-empty,quick_cache,3,1.816260
u64,sip,128,clear-empty,hashlink,4,0.605832
u64,sip,128,clear-empty,micro,4,1.869486
u64,sip,128,clear-empty,baseline,4,49.864896
u64,sip,128,clear-empty,quick_cache,4,1.815724
u64,sip,128,clear-empty,lru,4,0.609190
u64,sip,128,clear-empty,micro,5,1.894389
u64,sip,128,clear-empty,baseline,5,50.333558
u64,sip,128,clear-empty,quick_cache,5,1.814895
u64,sip,128,clear-empty,lru,5,0.606641
u64,sip,128,clear-empty,hashlink,5,0.621391
u64,sip,128,clear-empty,baseline,6,44.135264
u64,sip,128,clear-empty,quick_cache,6,1.816230
u64,sip,128,clear-empty,lru,6,0.605555
u64,sip,128,clear-empty,hashlink,6,0.630615
u64,sip,128,clear-empty,micro,6,1.885366
u64,sip,128,clear-empty,quick_cache,7,1.815187
u64,sip,128,clear-empty,lru,7,0.603772
u64,sip,128,clear-empty,hashlink,7,0.618449
u64,sip,128,clear-empty,micro,7,1.871799
u64,sip,128,clear-empty,baseline,7,51.272525
u64,sip,128,clear-empty,lru,8,0.607646
u64,sip,128,clear-empty,hashlink,8,0.625626
u64,sip,128,clear-empty,micro,8,1.893056
u64,sip,128,clear-empty,baseline,8,44.721870
u64,sip,128,clear-empty,quick_cache,8,1.816167
u64,sip,1024,clear-refill,micro,0,11693.439252
u64,sip,1024,clear-refill,baseline,0,10321.049485
u64,sip,1024,clear-refill,quick_cache,0,10189.409369
u64,sip,1024,clear-refill,lru,0,38411.572519
u64,sip,1024,clear-refill,hashlink,0,25308.500000
u64,sip,1024,clear-refill,baseline,1,10196.961303
u64,sip,1024,clear-refill,quick_cache,1,10183.382892
u64,sip,1024,clear-refill,lru,1,39135.742188
u64,sip,1024,clear-refill,hashlink,1,25768.805128
u64,sip,1024,clear-refill,micro,1,10082.324597
u64,sip,1024,clear-refill,quick_cache,2,14497.826087
u64,sip,1024,clear-refill,lru,2,38393.442748
u64,sip,1024,clear-refill,hashlink,2,26105.036458
u64,sip,1024,clear-refill,micro,2,14752.333333
u64,sip,1024,clear-refill,baseline,2,13461.357527
u64,sip,1024,clear-refill,lru,3,38693.592308
u64,sip,1024,clear-refill,hashlink,3,25882.731959
u64,sip,1024,clear-refill,micro,3,14759.707965
u64,sip,1024,clear-refill,baseline,3,13390.930481
u64,sip,1024,clear-refill,quick_cache,3,10103.450505
u64,sip,1024,clear-refill,hashlink,4,25719.871795
u64,sip,1024,clear-refill,micro,4,14596.938776
u64,sip,1024,clear-refill,baseline,4,9965.804781
u64,sip,1024,clear-refill,quick_cache,4,10093.834677
u64,sip,1024,clear-refill,lru,4,39761.571429
u64,sip,1024,clear-refill,micro,5,10076.040241
u64,sip,1024,clear-refill,baseline,5,13457.325269
u64,sip,1024,clear-refill,quick_cache,5,10133.180162
u64,sip,1024,clear-refill,lru,5,38971.573643
u64,sip,1024,clear-refill,hashlink,5,26010.580311
u64,sip,1024,clear-refill,baseline,6,13495.059299
u64,sip,1024,clear-refill,quick_cache,6,10099.798387
u64,sip,1024,clear-refill,lru,6,38739.100000
u64,sip,1024,clear-refill,hashlink,6,26080.947917
u64,sip,1024,clear-refill,micro,6,14603.985423
u64,sip,1024,clear-refill,quick_cache,7,14438.760807
u64,sip,1024,clear-refill,lru,7,38612.500000
u64,sip,1024,clear-refill,hashlink,7,25816.149485
u64,sip,1024,clear-refill,micro,7,14594.510204
u64,sip,1024,clear-refill,baseline,7,13511.792453
u64,sip,1024,clear-refill,lru,8,38389.633588
u64,sip,1024,clear-refill,hashlink,8,25685.466667
u64,sip,1024,clear-refill,micro,8,14577.746356
u64,sip,1024,clear-refill,baseline,8,10012.916000
u64,sip,1024,clear-refill,quick_cache,8,10234.918200
u64,sip,1024,clear-empty,micro,0,1.890548
u64,sip,1024,clear-empty,baseline,0,62.213351
u64,sip,1024,clear-empty,quick_cache,0,1.829576
u64,sip,1024,clear-empty,lru,0,0.595030
u64,sip,1024,clear-empty,hashlink,0,0.612534
u64,sip,1024,clear-empty,baseline,1,62.774389
u64,sip,1024,clear-empty,quick_cache,1,1.836487
u64,sip,1024,clear-empty,lru,1,0.590024
u64,sip,1024,clear-empty,hashlink,1,0.613660
u64,sip,1024,clear-empty,micro,1,1.889132
u64,sip,1024,clear-empty,quick_cache,2,1.819521
u64,sip,1024,clear-empty,lru,2,0.588947
u64,sip,1024,clear-empty,hashlink,2,0.613843
u64,sip,1024,clear-empty,micro,2,1.899267
u64,sip,1024,clear-empty,baseline,2,62.259479
u64,sip,1024,clear-empty,lru,3,0.597711
u64,sip,1024,clear-empty,hashlink,3,0.621792
u64,sip,1024,clear-empty,micro,3,1.900038
u64,sip,1024,clear-empty,baseline,3,61.495799
u64,sip,1024,clear-empty,quick_cache,3,1.817567
u64,sip,1024,clear-empty,hashlink,4,0.613265
u64,sip,1024,clear-empty,micro,4,1.896438
u64,sip,1024,clear-empty,baseline,4,62.683631
u64,sip,1024,clear-empty,quick_cache,4,1.826109
u64,sip,1024,clear-empty,lru,4,0.589419
u64,sip,1024,clear-empty,micro,5,1.879049
u64,sip,1024,clear-empty,baseline,5,55.913315
u64,sip,1024,clear-empty,quick_cache,5,1.821217
u64,sip,1024,clear-empty,lru,5,0.588260
u64,sip,1024,clear-empty,hashlink,5,0.605832
u64,sip,1024,clear-empty,baseline,6,63.151046
u64,sip,1024,clear-empty,quick_cache,6,1.836944
u64,sip,1024,clear-empty,lru,6,0.596379
u64,sip,1024,clear-empty,hashlink,6,0.611566
u64,sip,1024,clear-empty,micro,6,1.873595
u64,sip,1024,clear-empty,quick_cache,7,1.813839
u64,sip,1024,clear-empty,lru,7,0.594722
u64,sip,1024,clear-empty,hashlink,7,0.616595
u64,sip,1024,clear-empty,micro,7,1.880205
u64,sip,1024,clear-empty,baseline,7,63.491896
u64,sip,1024,clear-empty,lru,8,0.589370
u64,sip,1024,clear-empty,hashlink,8,0.614519
u64,sip,1024,clear-empty,micro,8,1.873501
u64,sip,1024,clear-empty,baseline,8,62.304065
u64,sip,1024,clear-empty,quick_cache,8,1.816936
u64,sip,16384,clear-refill,micro,0,207883.320000
u64,sip,16384,clear-refill,baseline,0,238845.238095
u64,sip,16384,clear-refill,quick_cache,0,240359.142857
u64,sip,16384,clear-refill,lru,0,681380.250000
u64,sip,16384,clear-refill,hashlink,0,448961.833333
u64,sip,16384,clear-refill,baseline,1,246585.333333
u64,sip,16384,clear-refill,quick_cache,1,241500.000000
u64,sip,16384,clear-refill,lru,1,678125.000000
u64,sip,16384,clear-refill,hashlink,1,439652.750000
u64,sip,16384,clear-refill,micro,1,245861.095238
u64,sip,16384,clear-refill,quick_cache,2,240682.571429
u64,sip,16384,clear-refill,lru,2,676567.750000
u64,sip,16384,clear-refill,hashlink,2,442645.833333
u64,sip,16384,clear-refill,micro,2,204773.360000
u64,sip,16384,clear-refill,baseline,2,245751.952381
u64,sip,16384,clear-refill,lru,3,721416.714286
u64,sip,16384,clear-refill,hashlink,3,451138.916667
u64,sip,16384,clear-refill,micro,3,242982.142857
u64,sip,16384,clear-refill,baseline,3,245212.285714
u64,sip,16384,clear-refill,quick_cache,3,239621.000000
u64,sip,16384,clear-refill,hashlink,4,485390.181818
u64,sip,16384,clear-refill,micro,4,173316.103448
u64,sip,16384,clear-refill,baseline,4,246125.000000
u64,sip,16384,clear-refill,quick_cache,4,237791.636364
u64,sip,16384,clear-refill,lru,4,671677.000000
u64,sip,16384,clear-refill,micro,5,184061.000000
u64,sip,16384,clear-refill,baseline,5,246047.619048
u64,sip,16384,clear-refill,quick_cache,5,183758.928571
u64,sip,16384,clear-refill,lru,5,674218.750000
u64,sip,16384,clear-refill,hashlink,5,453538.166667
u64,sip,16384,clear-refill,baseline,6,237405.318182
u64,sip,16384,clear-refill,quick_cache,6,222086.956522
u64,sip,16384,clear-refill,lru,6,695088.500000
u64,sip,16384,clear-refill,hashlink,6,454083.333333
u64,sip,16384,clear-refill,micro,6,239662.714286
u64,sip,16384,clear-refill,quick_cache,7,237119.318182
u64,sip,16384,clear-refill,lru,7,671671.875000
u64,sip,16384,clear-refill,hashlink,7,442465.250000
u64,sip,16384,clear-refill,micro,7,168563.900000
u64,sip,16384,clear-refill,baseline,7,200484.000000
u64,sip,16384,clear-refill,lru,8,677515.625000
u64,sip,16384,clear-refill,hashlink,8,443847.250000
u64,sip,16384,clear-refill,micro,8,170461.100000
u64,sip,16384,clear-refill,baseline,8,202818.320000
u64,sip,16384,clear-refill,quick_cache,8,240422.619048
u64,sip,16384,clear-empty,micro,0,1.872798
u64,sip,16384,clear-empty,baseline,0,331.614672
u64,sip,16384,clear-empty,quick_cache,0,1.835781
