key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,5.746574
u64,sip,128,get-hit,baseline,0,5.987179
u64,sip,128,get-hit,quick_cache,0,5.635346
u64,sip,128,get-hit,lru,0,6.108806
u64,sip,128,get-hit,hashlink,0,5.476407
u64,sip,128,get-hit,baseline,1,4.939787
u64,sip,128,get-hit,quick_cache,1,5.020684
u64,sip,128,get-hit,lru,1,5.754608
u64,sip,128,get-hit,hashlink,1,5.453336
u64,sip,128,get-hit,micro,1,5.044480
u64,sip,128,get-hit,quick_cache,2,5.059739
u64,sip,128,get-hit,lru,2,5.739872
u64,sip,128,get-hit,hashlink,2,5.460739
u64,sip,128,get-hit,micro,2,5.018140
u64,sip,128,get-hit,baseline,2,5.003966
u64,sip,128,get-hit,lru,3,5.727084
u64,sip,128,get-hit,hashlink,3,5.466144
u64,sip,128,get-hit,micro,3,5.018808
u64,sip,128,get-hit,baseline,3,5.023059
u64,sip,128,get-hit,quick_cache,3,5.003548
u64,sip,128,get-hit,hashlink,4,5.442437
u64,sip,128,get-hit,micro,4,5.013263
u64,sip,128,get-hit,baseline,4,5.029356
u64,sip,128,get-hit,quick_cache,4,5.078066
u64,sip,128,get-hit,lru,4,5.727512
u64,sip,128,get-hit,micro,5,5.047423
u64,sip,128,get-hit,baseline,5,5.072349
u64,sip,128,get-hit,quick_cache,5,5.025520
u64,sip,128,get-hit,lru,5,5.745861
u64,sip,128,get-hit,hashlink,5,5.484898
u64,sip,128,get-hit,baseline,6,5.053476
u64,sip,128,get-hit,quick_cache,6,5.040237
u64,sip,128,get-hit,lru,6,5.768159
u64,sip,128,get-hit,hashlink,6,5.407238
u64,sip,128,get-hit,micro,6,5.014764
u64,sip,128,get-hit,quick_cache,7,5.022602
u64,sip,128,get-hit,lru,7,5.726942
u64,sip,128,get-hit,hashlink,7,5.443742
u64,sip,128,get-hit,micro,7,5.062135
u64,sip,128,get-hit,baseline,7,5.026853
u64,sip,128,get-hit,lru,8,5.751423
u64,sip,128,get-hit,hashlink,8,5.514059
u64,sip,128,get-hit,micro,8,5.075460
u64,sip,128,get-hit,baseline,8,5.009844
u64,sip,128,get-hit,quick_cache,8,5.027229
u64,sip,128,get-miss,micro,0,4.387120
u64,sip,128,get-miss,baseline,0,4.388864
u64,sip,128,get-miss,quick_cache,0,4.354780
u64,sip,128,get-miss,lru,0,4.690971
u64,sip,128,get-miss,hashlink,0,4.341324
u64,sip,128,get-miss,baseline,1,4.378546
u64,sip,128,get-miss,quick_cache,1,4.357773
u64,sip,128,get-miss,lru,1,4.672529
u64,sip,128,get-miss,hashlink,1,4.350811
u64,sip,128,get-miss,micro,1,4.463399
u64,sip,128,get-miss,quick_cache,2,4.224580
u64,sip,128,get-miss,lru,2,4.593967
u64,sip,128,get-miss,hashlink,2,4.166653
u64,sip,128,get-miss,micro,2,4.344245
u64,sip,128,get-miss,baseline,2,4.324864
u64,sip,128,get-miss,lru,3,4.629655
u64,sip,128,get-miss,hashlink,3,4.291099
u64,sip,128,get-miss,micro,3,4.335300
u64,sip,128,get-miss,baseline,3,4.334325
u64,sip,128,get-miss,quick_cache,3,4.310644
u64,sip,128,get-miss,hashlink,4,4.300292
u64,sip,128,get-miss,micro,4,4.340314
u64,sip,128,get-miss,baseline,4,4.329312
u64,sip,128,get-miss,quick_cache,4,4.328195
u64,sip,128,get-miss,lru,4,4.650038
u64,sip,128,get-miss,micro,5,4.362742
u64,sip,128,get-miss,baseline,5,4.362488
u64,sip,128,get-miss,quick_cache,5,4.325508
u64,sip,128,get-miss,lru,5,4.671286
u64,sip,128,get-miss,hashlink,5,4.361144
u64,sip,128,get-miss,baseline,6,4.344607
u64,sip,128,get-miss,quick_cache,6,4.317270
u64,sip,128,get-miss,lru,6,4.635088
u64,sip,128,get-miss,hashlink,6,4.314763
u64,sip,128,get-miss,micro,6,4.898804
u64,sip,128,get-miss,quick_cache,7,4.356979
u64,sip,128,get-miss,lru,7,4.591978
u64,sip,128,get-miss,hashlink,7,4.339736
u64,sip,128,get-miss,micro,7,4.263172
u64,sip,128,get-miss,baseline,7,4.351821
u64,sip,128,get-miss,lru,8,4.692446
u64,sip,128,get-miss,hashlink,8,4.347060
u64,sip,128,get-miss,micro,8,4.400934
u64,sip,128,get-miss,baseline,8,4.332811
u64,sip,128,get-miss,quick_cache,8,4.386103
u64,sip,128,update,micro,0,4.926415
u64,sip,128,update,baseline,0,4.889200
u64,sip,128,update,quick_cache,0,8.798436
u64,sip,128,update,lru,0,5.359181
u64,sip,128,update,hashlink,0,14.612229
u64,sip,128,update,baseline,1,4.884115
u64,sip,128,update,quick_cache,1,8.703385
u64,sip,128,update,lru,1,5.367525
u64,sip,128,update,hashlink,1,15.505219
u64,sip,128,update,micro,1,4.869007
u64,sip,128,update,quick_cache,2,8.637549
u64,sip,128,update,lru,2,5.415520
u64,sip,128,update,hashlink,2,15.739896
u64,sip,128,update,micro,2,4.857018
u64,sip,128,update,baseline,2,4.898560
u64,sip,128,update,lru,3,5.361055
u64,sip,128,update,hashlink,3,15.293503
u64,sip,128,update,micro,3,4.874578
u64,sip,128,update,baseline,3,4.933470
u64,sip,128,update,quick_cache,3,8.867126
u64,sip,128,update,hashlink,4,15.491357
u64,sip,128,update,micro,4,4.890340
u64,sip,128,update,baseline,4,4.900635
u64,sip,128,update,quick_cache,4,8.841234
u64,sip,128,update,lru,4,5.329165
u64,sip,128,update,micro,5,4.913777
u64,sip,128,update,baseline,5,4.914429
u64,sip,128,update,quick_cache,5,8.775038
u64,sip,128,update,lru,5,5.279891
u64,sip,128,update,hashlink,5,15.113394
u64,sip,128,update,baseline,6,4.860368
u64,sip,128,update,quick_cache,6,8.821106
u64,sip,128,update,lru,6,5.350705
u64,sip,128,update,hashlink,6,15.497083
u64,sip,128,update,micro,6,4.945160
u64,sip,128,update,quick_cache,7,8.743577
u64,sip,128,update,lru,7,5.357441
u64,sip,128,update,hashlink,7,15.544766
u64,sip,128,update,micro,7,4.948401
u64,sip,128,update,baseline,7,4.932978
u64,sip,128,update,lru,8,5.315145
u64,sip,128,update,hashlink,8,12.967321
u64,sip,128,update,micro,8,4.918497
u64,sip,128,update,baseline,8,4.975812
u64,sip,128,update,quick_cache,8,8.762542
u64,sip,128,insert-cycle,micro,0,11.773885
u64,sip,128,insert-cycle,baseline,0,11.803621
u64,sip,128,insert-cycle,quick_cache,0,16.214043
u64,sip,128,insert-cycle,lru,0,24.526589
u64,sip,128,insert-cycle,hashlink,0,31.019035
u64,sip,128,insert-cycle,baseline,1,11.891219
u64,sip,128,insert-cycle,quick_cache,1,15.675684
u64,sip,128,insert-cycle,lru,1,25.279663
u64,sip,128,insert-cycle,hashlink,1,32.028317
u64,sip,128,insert-cycle,micro,1,11.707633
u64,sip,128,insert-cycle,quick_cache,2,15.561505
u64,sip,128,insert-cycle,lru,2,24.877495
u64,sip,128,insert-cycle,hashlink,2,30.280240
u64,sip,128,insert-cycle,micro,2,11.618887
u64,sip,128,insert-cycle,baseline,2,12.142696
u64,sip,128,insert-cycle,lru,3,25.194099
u64,sip,128,insert-cycle,hashlink,3,31.712123
u64,sip,128,insert-cycle,micro,3,11.733805
u64,sip,128,insert-cycle,baseline,3,12.342955
u64,sip,128,insert-cycle,quick_cache,3,16.126979
u64,sip,128,insert-cycle,hashlink,4,31.393164
u64,sip,128,insert-cycle,micro,4,11.610243
u64,sip,128,insert-cycle,baseline,4,12.139340
u64,sip,128,insert-cycle,quick_cache,4,15.894766
u64,sip,128,insert-cycle,lru,4,24.542679
u64,sip,128,insert-cycle,micro,5,11.607825
u64,sip,128,insert-cycle,baseline,5,12.010158
u64,sip,128,insert-cycle,quick_cache,5,15.800917
u64,sip,128,insert-cycle,lru,5,25.039678
u64,sip,128,insert-cycle,hashlink,5,32.140631
u64,sip,128,insert-cycle,baseline,6,12.151158
u64,sip,128,insert-cycle,quick_cache,6,16.115296
u64,sip,128,insert-cycle,lru,6,24.849122
u64,sip,128,insert-cycle,hashlink,6,31.720316
u64,sip,128,insert-cycle,micro,6,11.706657
u64,sip,128,insert-cycle,quick_cache,7,15.938838
u64,sip,128,insert-cycle,lru,7,24.911465
u64,sip,128,insert-cycle,hashlink,7,31.442851
u64,sip,128,insert-cycle,micro,7,11.597719
u64,sip,128,insert-cycle,baseline,7,11.955420
u64,sip,128,insert-cycle,lru,8,24.761862
u64,sip,128,insert-cycle,hashlink,8,31.314165
u64,sip,128,insert-cycle,micro,8,11.643577
u64,sip,128,insert-cycle,baseline,8,11.843532
u64,sip,128,insert-cycle,quick_cache,8,15.875685
u64,sip,128,mixed-95,micro,0,15.393701
u64,sip,128,mixed-95,baseline,0,14.739386
u64,sip,128,mixed-95,quick_cache,0,12.410378
u64,sip,128,mixed-95,lru,0,13.515638
u64,sip,128,mixed-95,hashlink,0,11.080061
u64,sip,128,mixed-95,baseline,1,17.136044
u64,sip,128,mixed-95,quick_cache,1,12.034498
u64,sip,128,mixed-95,lru,1,13.361280
u64,sip,128,mixed-95,hashlink,1,10.999224
u64,sip,128,mixed-95,micro,1,10.803313
u64,sip,128,mixed-95,quick_cache,2,12.013253
u64,sip,128,mixed-95,lru,2,13.952429
u64,sip,128,mixed-95,hashlink,2,10.632657
u64,sip,128,mixed-95,micro,2,13.038148
u64,sip,128,mixed-95,baseline,2,15.330377
u64,sip,128,mixed-95,lru,3,13.161735
u64,sip,128,mixed-95,hashlink,3,10.649582
u64,sip,128,mixed-95,micro,3,10.105655
u64,sip,128,mixed-95,baseline,3,14.528380
u64,sip,128,mixed-95,quick_cache,3,12.386982
u64,sip,128,mixed-95,hashlink,4,11.187744
u64,sip,128,mixed-95,micro,4,11.144187
u64,sip,128,mixed-95,baseline,4,17.011993
u64,sip,128,mixed-95,quick_cache,4,12.499751
u64,sip,128,mixed-95,lru,4,13.493857
u64,sip,128,mixed-95,micro,5,13.890923
u64,sip,128,mixed-95,baseline,5,17.014964
u64,sip,128,mixed-95,quick_cache,5,12.377014
u64,sip,128,mixed-95,lru,5,14.327293
u64,sip,128,mixed-95,hashlink,5,10.540755
u64,sip,128,mixed-95,baseline,6,13.765123
u64,sip,128,mixed-95,quick_cache,6,12.289021
u64,sip,128,mixed-95,lru,6,12.873543
u64,sip,128,mixed-95,hashlink,6,10.906219
u64,sip,128,mixed-95,micro,6,11.175428
u64,sip,128,mixed-95,quick_cache,7,12.168435
u64,sip,128,mixed-95,lru,7,14.315112
u64,sip,128,mixed-95,hashlink,7,10.360029
u64,sip,128,mixed-95,micro,7,15.892616
u64,sip,128,mixed-95,baseline,7,17.057349
u64,sip,128,mixed-95,lru,8,12.709430
u64,sip,128,mixed-95,hashlink,8,10.646689
u64,sip,128,mixed-95,micro,8,13.193009
u64,sip,128,mixed-95,baseline,8,15.244647
u64,sip,128,mixed-95,quick_cache,8,12.746386
u64,sip,128,load-hit,micro,0,7.321372
u64,sip,128,load-hit,baseline,0,7.316650
u64,sip,128,load-hit,quick_cache,0,8.435811
u64,sip,128,load-hit,lru,0,5.121019
u64,sip,128,load-hit,hashlink,0,5.261457
u64,sip,128,load-hit,baseline,1,7.324400
u64,sip,128,load-hit,quick_cache,1,8.337346
u64,sip,128,load-hit,lru,1,5.473092
u64,sip,128,load-hit,hashlink,1,5.310103
u64,sip,128,load-hit,micro,1,7.247985
u64,sip,128,load-hit,quick_cache,2,8.334667
u64,sip,128,load-hit,lru,2,5.449659
u64,sip,128,load-hit,hashlink,2,5.282918
u64,sip,128,load-hit,micro,2,7.209928
u64,sip,128,load-hit,baseline,2,7.252413
u64,sip,128,load-hit,lru,3,5.411919
u64,sip,128,load-hit,hashlink,3,5.282785
u64,sip,128,load-hit,micro,3,7.425639
u64,sip,128,load-hit,baseline,3,7.289039
u64,sip,128,load-hit,quick_cache,3,8.440060
u64,sip,128,load-hit,hashlink,4,5.402147
u64,sip,128,load-hit,micro,4,8.575935
u64,sip,128,load-hit,baseline,4,8.669214
u64,sip,128,load-hit,quick_cache,4,8.440966
u64,sip,128,load-hit,lru,4,5.464872
u64,sip,128,load-hit,micro,5,7.263482
u64,sip,128,load-hit,baseline,5,7.254686
u64,sip,128,load-hit,quick_cache,5,8.354393
u64,sip,128,load-hit,lru,5,5.439736
u64,sip,128,load-hit,hashlink,5,5.286557
u64,sip,128,load-hit,baseline,6,7.268148
u64,sip,128,load-hit,quick_cache,6,8.339822
u64,sip,128,load-hit,lru,6,5.411965
u64,sip,128,load-hit,hashlink,6,5.320408
u64,sip,128,load-hit,micro,6,7.286253
u64,sip,128,load-hit,quick_cache,7,8.433930
u64,sip,128,load-hit,lru,7,5.434695
u64,sip,128,load-hit,hashlink,7,5.300413
u64,sip,128,load-hit,micro,7,7.253549
u64,sip,128,load-hit,baseline,7,7.565597
u64,sip,128,load-hit,lru,8,5.468595
u64,sip,128,load-hit,hashlink,8,5.282172
u64,sip,128,load-hit,micro,8,7.278928
u64,sip,128,load-hit,baseline,8,7.133839
u64,sip,128,load-hit,quick_cache,8,8.262567
u64,sip,128,load-cycle,micro,0,15.745137
u64,sip,128,load-cycle,baseline,0,15.438327
u64,sip,128,load-cycle,quick_cache,0,15.788021
u64,sip,128,load-cycle,lru,0,24.861552
u64,sip,128,load-cycle,hashlink,0,30.782739
u64,sip,128,load-cycle,baseline,1,15.895297
u64,sip,128,load-cycle,quick_cache,1,16.152964
u64,sip,128,load-cycle,lru,1,25.198710
u64,sip,128,load-cycle,hashlink,1,31.285675
u64,sip,128,load-cycle,micro,1,15.109405
u64,sip,128,load-cycle,quick_cache,2,16.293689
u64,sip,128,load-cycle,lru,2,25.323369
u64,sip,128,load-cycle,hashlink,2,31.726918
u64,sip,128,load-cycle,micro,2,15.235365
u64,sip,128,load-cycle,baseline,2,15.372090
u64,sip,128,load-cycle,lru,3,25.259826
u64,sip,128,load-cycle,hashlink,3,31.193929
u64,sip,128,load-cycle,micro,3,15.057218
u64,sip,128,load-cycle,baseline,3,15.359876
u64,sip,128,load-cycle,quick_cache,3,15.928634
u64,sip,128,load-cycle,hashlink,4,30.984579
u64,sip,128,load-cycle,micro,4,15.127649
u64,sip,128,load-cycle,baseline,4,21.340606
u64,sip,128,load-cycle,quick_cache,4,16.473934
u64,sip,128,load-cycle,lru,4,23.784405
u64,sip,128,load-cycle,micro,5,15.326032
u64,sip,128,load-cycle,baseline,5,16.025959
u64,sip,128,load-cycle,quick_cache,5,15.884356
u64,sip,128,load-cycle,lru,5,24.542679
u64,sip,128,load-cycle,hashlink,5,31.004699
u64,sip,128,load-cycle,baseline,6,15.500576
u64,sip,128,load-cycle,quick_cache,6,16.028763
u64,sip,128,load-cycle,lru,6,24.679165
u64,sip,128,load-cycle,hashlink,6,30.849006
u64,sip,128,load-cycle,micro,6,15.103135
u64,sip,128,load-cycle,quick_cache,7,16.004639
u64,sip,128,load-cycle,lru,7,24.571502
u64,sip,128,load-cycle,hashlink,7,30.991544
u64,sip,128,load-cycle,micro,7,15.437296
u64,sip,128,load-cycle,baseline,7,15.569232
u64,sip,128,load-cycle,lru,8,24.690262
u64,sip,128,load-cycle,hashlink,8,30.810750
u64,sip,128,load-cycle,micro,8,15.370934
u64,sip,128,load-cycle,baseline,8,15.570530
u64,sip,128,load-cycle,quick_cache,8,15.928105
u64,sip,128,clear-refill,micro,0,1610.373269
u64,sip,128,clear-refill,baseline,0,1282.508335
u64,sip,128,clear-refill,quick_cache,0,1202.900650
u64,sip,128,clear-refill,lru,0,4611.866359
u64,sip,128,clear-refill,hashlink,0,2930.978898
u64,sip,128,clear-refill,baseline,1,1389.753474
u64,sip,128,clear-refill,quick_cache,1,1219.286028
u64,sip,128,clear-refill,lru,1,4549.015455
u64,sip,128,clear-refill,hashlink,1,2949.415094
u64,sip,128,clear-refill,micro,1,1384.401717
u64,sip,128,clear-refill,quick_cache,2,1230.540600
u64,sip,128,clear-refill,lru,2,4491.546679
u64,sip,128,clear-refill,hashlink,2,2926.028672
u64,sip,128,clear-refill,micro,2,1612.450500
u64,sip,128,clear-refill,baseline,2,1682.368775
u64,sip,128,clear-refill,lru,3,4657.899441
u64,sip,128,clear-refill,hashlink,3,2939.741329
u64,sip,128,clear-refill,micro,3,1455.919360
u64,sip,128,clear-refill,baseline,3,1596.167252
u64,sip,128,clear-refill,quick_cache,3,1207.558561
u64,sip,128,clear-refill,hashlink,4,2928.351874
u64,sip,128,clear-refill,micro,4,1270.764676
u64,sip,128,clear-refill,baseline,4,1235.771189
u64,sip,128,clear-refill,quick_cache,4,1214.292861
u64,sip,128,clear-refill,lru,4,4475.961538
u64,sip,128,clear-refill,micro,5,1610.905284
u64,sip,128,clear-refill,baseline,5,1258.251384
u64,sip,128,clear-refill,quick_cache,5,1207.820048
u64,sip,128,clear-refill,lru,5,4437.149068
u64,sip,128,clear-refill,hashlink,5,2954.567631
u64,sip,128,clear-refill,baseline,6,1633.395820
u64,sip,128,clear-refill,quick_cache,6,1728.173462
u64,sip,128,clear-refill,lru,6,4481.070789
u64,sip,128,clear-refill,hashlink,6,2938.650411
u64,sip,128,clear-refill,micro,6,1357.724681
u64,sip,128,clear-refill,quick_cache,7,1223.047689
u64,sip,128,clear-refill,lru,7,4544.391462
u64,sip,128,clear-refill,hashlink,7,2918.611435
u64,sip,128,clear-refill,micro,7,1576.005988
u64,sip,128,clear-refill,baseline,7,1255.103916
u64,sip,128,clear-refill,lru,8,4470.361037
u64,sip,128,clear-refill,hashlink,8,2924.366082
u64,sip,128,clear-refill,micro,8,1316.443011
u64,sip,128,clear-refill,baseline,8,1406.355456
u64,sip,128,clear-refill,quick_cache,8,1745.086183
u64,sip,128,clear-empty,micro,0,49.383819
u64,sip,128,clear-empty,baseline,0,49.963285
u64,sip,128,clear-empty,quick_cache,0,1.720295
u64,sip,128,clear-empty,lru,0,0.600278
u64,sip,128,clear-empty,hashlink,0,0.592338
u64,sip,128,clear-empty,baseline,1,44.756132
u64,sip,128,clear-empty,quick_cache,1,1.664158
u64,sip,128,clear-empty,lru,1,0.586340
u64,sip,128,clear-empty,hashlink,1,0.610275
u64,sip,128,clear-empty,micro,1,48.024714
u64,sip,128,clear-empty,quick_cache,2,1.720692
u64,sip,128,clear-empty,lru,2,0.591306
u64,sip,128,clear-empty,hashlink,2,0.614461
u64,sip,128,clear-empty,micro,2,41.796383
u64,sip,128,clear-empty,baseline,2,41.351472
u64,sip,128,clear-empty,lru,3,0.595316
u64,sip,128,clear-empty,hashlink,3,0.608347
u64,sip,128,clear-empty,micro,3,49.324219
u64,sip,128,clear-empty,baseline,3,48.895264
u64,sip,128,clear-empty,quick_cache,3,1.741476
u64,sip,128,clear-empty,hashlink,4,0.604388
u64,sip,128,clear-empty,micro,4,49.174908
u64,sip,128,clear-empty,baseline,4,48.924971
u64,sip,128,clear-empty,quick_cache,4,1.740700
u64,sip,128,clear-empty,lru,4,0.590984
u64,sip,128,clear-empty,micro,5,48.719753
u64,sip,128,clear-empty,baseline,5,47.748742
u64,sip,128,clear-empty,quick_cache,5,1.738443
u64,sip,128,clear-empty,lru,5,0.599496
u64,sip,128,clear-empty,hashlink,5,0.602869
u64,sip,128,clear-empty,baseline,6,48.736391
u64,sip,128,clear-empty,quick_cache,6,1.748545
u64,sip,128,clear-empty,lru,6,0.594921
u64,sip,128,clear-empty,hashlink,6,0.616775
u64,sip,128,clear-empty,micro,6,41.118421
u64,sip,128,clear-empty,quick_cache,7,1.752526
u64,sip,128,clear-empty,lru,7,0.591938
u64,sip,128,clear-empty,hashlink,7,0.605124
u64,sip,128,clear-empty,micro,7,48.835039
u64,sip,128,clear-empty,baseline,7,50.205749
u64,sip,128,clear-empty,lru,8,0.600431
u64,sip,128,clear-empty,hashlink,8,0.612188
u64,sip,128,clear-empty,micro,8,48.765615
u64,sip,128,clear-empty,baseline,8,48.835850
u64,sip,128,clear-empty,quick_cache,8,1.748873
u64,sip,128,iter-dense,micro,0,38.853043
u64,sip,128,iter-dense,baseline,0,38.811204
u64,sip,128,iter-dense,quick_cache,0,28.695327
u64,sip,128,iter-dense,lru,0,130.899733
u64,sip,128,iter-dense,hashlink,0,132.065799
u64,sip,128,iter-dense,baseline,1,39.131957
u64,sip,128,iter-dense,quick_cache,1,29.055242
u64,sip,128,iter-dense,lru,1,131.039999
u64,sip,128,iter-dense,hashlink,1,128.350344
u64,sip,128,iter-dense,micro,1,38.423462
u64,sip,128,iter-dense,quick_cache,2,29.124680
u64,sip,128,iter-dense,lru,2,130.757505
u64,sip,128,iter-dense,hashlink,2,128.449389
u64,sip,128,iter-dense,micro,2,38.447981
u64,sip,128,iter-dense,baseline,2,38.348988
u64,sip,128,iter-dense,lru,3,128.686548
u64,sip,128,iter-dense,hashlink,3,129.440889
u64,sip,128,iter-dense,micro,3,38.281633
u64,sip,128,iter-dense,baseline,3,38.390663
u64,sip,128,iter-dense,quick_cache,3,28.859840
u64,sip,128,iter-dense,hashlink,4,141.549677
u64,sip,128,iter-dense,micro,4,38.741014
u64,sip,128,iter-dense,baseline,4,38.338943
u64,sip,128,iter-dense,quick_cache,4,29.044203
u64,sip,128,iter-dense,lru,4,133.304241
u64,sip,128,iter-dense,micro,5,38.521383
u64,sip,128,iter-dense,baseline,5,38.821817
u64,sip,128,iter-dense,quick_cache,5,28.701558
u64,sip,128,iter-dense,lru,5,129.141916
u64,sip,128,iter-dense,hashlink,5,127.695644
u64,sip,128,iter-dense,baseline,6,38.326029
u64,sip,128,iter-dense,quick_cache,6,28.765447
u64,sip,128,iter-dense,lru,6,130.831590
u64,sip,128,iter-dense,hashlink,6,133.038564
u64,sip,128,iter-dense,micro,6,37.942189
u64,sip,128,iter-dense,quick_cache,7,28.691982
u64,sip,128,iter-dense,lru,7,130.804367
u64,sip,128,iter-dense,hashlink,7,131.738574
u64,sip,128,iter-dense,micro,7,38.296121
u64,sip,128,iter-dense,baseline,7,38.390506
u64,sip,128,iter-dense,lru,8,127.402532
u64,sip,128,iter-dense,hashlink,8,126.248460
u64,sip,128,iter-dense,micro,8,37.374552
u64,sip,128,iter-dense,baseline,8,37.900952
u64,sip,128,iter-dense,quick_cache,8,28.531010
u64,sip,128,iter-front,micro,0,36.125441
u64,sip,128,iter-front,baseline,0,35.834012
u64,sip,128,iter-front,quick_cache,0,20.482251
u64,sip,128,iter-front,lru,0,1.181376
u64,sip,128,iter-front,hashlink,0,1.172916
u64,sip,128,iter-front,baseline,1,36.806391
u64,sip,128,iter-front,quick_cache,1,20.400045
u64,sip,128,iter-front,lru,1,1.193021
u64,sip,128,iter-front,hashlink,1,1.170991
u64,sip,128,iter-front,micro,1,36.973497
u64,sip,128,iter-front,quick_cache,2,20.450088
u64,sip,128,iter-front,lru,2,1.177734
u64,sip,128,iter-front,hashlink,2,1.144378
u64,sip,128,iter-front,micro,2,36.830272
u64,sip,128,iter-front,baseline,2,36.149607
u64,sip,128,iter-front,lru,3,1.190132
u64,sip,128,iter-front,hashlink,3,1.137447
u64,sip,128,iter-front,micro,3,36.756668
u64,sip,128,iter-front,baseline,3,36.196230
u64,sip,128,iter-front,quick_cache,3,20.593614
u64,sip,128,iter-front,hashlink,4,1.160373
u64,sip,128,iter-front,micro,4,36.691301
u64,sip,128,iter-front,baseline,4,36.002109
u64,sip,128,iter-front,quick_cache,4,20.590728
u64,sip,128,iter-front,lru,4,1.192821
u64,sip,128,iter-front,micro,5,36.435569
u64,sip,128,iter-front,baseline,5,36.071496
