key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,5.789156
u64,sip,128,get-hit,baseline,0,10.545807
u64,sip,128,get-hit,quick_cache,0,11.359013
u64,sip,128,get-hit,lru,0,6.152546
u64,sip,128,get-hit,hashlink,0,5.626713
u64,sip,128,get-hit,baseline,1,5.140801
u64,sip,128,get-hit,quick_cache,1,5.523362
u64,sip,128,get-hit,lru,1,5.913025
u64,sip,128,get-hit,hashlink,1,5.564187
u64,sip,128,get-hit,micro,1,8.179456
u64,sip,128,get-hit,quick_cache,2,9.038513
u64,sip,128,get-hit,lru,2,5.848379
u64,sip,128,get-hit,hashlink,2,9.301081
u64,sip,128,get-hit,micro,2,5.138280
u64,sip,128,get-hit,baseline,2,5.182040
u64,sip,128,get-hit,lru,3,5.940310
u64,sip,128,get-hit,hashlink,3,5.430644
u64,sip,128,get-hit,micro,3,5.029606
u64,sip,128,get-hit,baseline,3,5.041820
u64,sip,128,get-hit,quick_cache,3,5.051332
u64,sip,128,get-hit,hashlink,4,5.361724
u64,sip,128,get-hit,micro,4,5.018474
u64,sip,128,get-hit,baseline,4,5.024311
u64,sip,128,get-hit,quick_cache,4,5.065456
u64,sip,128,get-hit,lru,4,5.792342
u64,sip,128,get-hit,micro,5,5.017765
u64,sip,128,get-hit,baseline,5,5.018391
u64,sip,128,get-hit,quick_cache,5,5.050070
u64,sip,128,get-hit,lru,5,5.780298
u64,sip,128,get-hit,hashlink,5,5.431680
u64,sip,128,get-hit,baseline,6,5.108431
u64,sip,128,get-hit,quick_cache,6,5.100547
u64,sip,128,get-hit,lru,6,5.782649
u64,sip,128,get-hit,hashlink,6,5.430554
u64,sip,128,get-hit,micro,6,5.023393
u64,sip,128,get-hit,quick_cache,7,5.038985
u64,sip,128,get-hit,lru,7,5.748285
u64,sip,128,get-hit,hashlink,7,5.445902
u64,sip,128,get-hit,micro,7,5.007343
u64,sip,128,get-hit,baseline,7,5.028938
u64,sip,128,get-hit,lru,8,5.851043
u64,sip,128,get-hit,hashlink,8,5.490394
u64,sip,128,get-hit,micro,8,5.016055
u64,sip,128,get-hit,baseline,8,5.005300
u64,sip,128,get-hit,quick_cache,8,5.054737
u64,sip,128,get-miss,micro,0,4.445246
u64,sip,128,get-miss,baseline,0,4.525117
u64,sip,128,get-miss,quick_cache,0,4.563023
u64,sip,128,get-miss,lru,0,4.762280
u64,sip,128,get-miss,hashlink,0,4.407191
u64,sip,128,get-miss,baseline,1,4.421426
u64,sip,128,get-miss,quick_cache,1,4.506579
u64,sip,128,get-miss,lru,1,4.712345
u64,sip,128,get-miss,hashlink,1,4.413815
u64,sip,128,get-miss,micro,1,4.414181
u64,sip,128,get-miss,quick_cache,2,4.479809
u64,sip,128,get-miss,lru,2,4.713635
u64,sip,128,get-miss,hashlink,2,4.419413
u64,sip,128,get-miss,micro,2,4.401776
u64,sip,128,get-miss,baseline,2,4.408034
u64,sip,128,get-miss,lru,3,4.699902
u64,sip,128,get-miss,hashlink,3,4.433488
u64,sip,128,get-miss,micro,3,4.501455
u64,sip,128,get-miss,baseline,3,4.478622
u64,sip,128,get-miss,quick_cache,3,4.550999
u64,sip,128,get-miss,hashlink,4,4.408583
u64,sip,128,get-miss,micro,4,4.402106
u64,sip,128,get-miss,baseline,4,4.407522
u64,sip,128,get-miss,quick_cache,4,4.481889
u64,sip,128,get-miss,lru,4,4.701859
u64,sip,128,get-miss,micro,5,4.400825
u64,sip,128,get-miss,baseline,5,4.413998
u64,sip,128,get-miss,quick_cache,5,4.473610
u64,sip,128,get-miss,lru,5,4.701663
u64,sip,128,get-miss,hashlink,5,4.422085
u64,sip,128,get-miss,baseline,6,4.477136
u64,sip,128,get-miss,quick_cache,6,4.472162
u64,sip,128,get-miss,lru,6,4.744459
u64,sip,128,get-miss,hashlink,6,4.500445
u64,sip,128,get-miss,micro,6,4.433748
