key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,6.259996
u64,sip,128,get-hit,baseline,0,6.063631
u64,sip,128,get-hit,quick_cache,0,5.854143
u64,sip,128,get-hit,lru,0,6.337850
u64,sip,128,get-hit,hashlink,0,5.922807
u64,sip,128,get-hit,baseline,1,5.403862
u64,sip,128,get-hit,quick_cache,1,5.310324
u64,sip,128,get-hit,lru,1,5.963915
u64,sip,128,get-hit,hashlink,1,5.746812
u64,sip,128,get-hit,micro,1,5.329431
u64,sip,128,get-hit,quick_cache,2,5.303438
u64,sip,128,get-hit,lru,2,5.974729
u64,sip,128,get-hit,hashlink,2,5.737733
u64,sip,128,get-hit,micro,2,5.329210
u64,sip,128,get-hit,baseline,2,5.326865
u64,sip,128,get-hit,lru,3,5.957693
u64,sip,128,get-hit,hashlink,3,5.737447
u64,sip,128,get-hit,micro,3,5.324123
u64,sip,128,get-hit,baseline,3,5.351677
u64,sip,128,get-hit,quick_cache,3,5.427268
u64,sip,128,get-hit,hashlink,4,5.805633
u64,sip,128,get-hit,micro,4,5.393089
u64,sip,128,get-hit,baseline,4,5.333411
u64,sip,128,get-hit,quick_cache,4,5.314835
u64,sip,128,get-hit,lru,4,5.970977
u64,sip,128,get-hit,micro,5,5.336154
u64,sip,128,get-hit,baseline,5,5.329298
u64,sip,128,get-hit,quick_cache,5,5.305981
u64,sip,128,get-hit,lru,5,5.980014
u64,sip,128,get-hit,hashlink,5,5.767198
u64,sip,128,get-hit,baseline,6,5.328546
u64,sip,128,get-hit,quick_cache,6,5.309969
u64,sip,128,get-hit,lru,6,5.974186
u64,sip,128,get-hit,hashlink,6,5.707643
u64,sip,128,get-hit,micro,6,5.349421
u64,sip,128,get-hit,quick_cache,7,5.413810
u64,sip,128,get-hit,lru,7,6.083271
u64,sip,128,get-hit,hashlink,7,5.755369
u64,sip,128,get-hit,micro,7,5.368952
u64,sip,128,get-hit,baseline,7,5.345486
u64,sip,128,get-hit,lru,8,5.970285
u64,sip,128,get-hit,hashlink,8,5.736306
u64,sip,128,get-hit,micro,8,5.346768
u64,sip,128,get-hit,baseline,8,5.334516
u64,sip,128,get-hit,quick_cache,8,5.313951
u64,sip,128,get-miss,micro,0,4.263489
u64,sip,128,get-miss,baseline,0,4.280144
u64,sip,128,get-miss,quick_cache,0,4.920370
u64,sip,128,get-miss,lru,0,4.806319
u64,sip,128,get-miss,hashlink,0,4.323538
u64,sip,128,get-miss,baseline,1,4.262677
u64,sip,128,get-miss,quick_cache,1,4.930394
u64,sip,128,get-miss,lru,1,4.887939
u64,sip,128,get-miss,hashlink,1,4.309676
u64,sip,128,get-miss,micro,1,4.239082
u64,sip,128,get-miss,quick_cache,2,4.812286
u64,sip,128,get-miss,lru,2,4.713675
u64,sip,128,get-miss,hashlink,2,4.246218
u64,sip,128,get-miss,micro,2,4.285301
u64,sip,128,get-miss,baseline,2,4.290992
u64,sip,128,get-miss,lru,3,4.677381
u64,sip,128,get-miss,hashlink,3,4.200696
u64,sip,128,get-miss,micro,3,4.251692
u64,sip,128,get-miss,baseline,3,4.256708
u64,sip,128,get-miss,quick_cache,3,4.992229
u64,sip,128,get-miss,hashlink,4,4.186970
u64,sip,128,get-miss,micro,4,4.245793
u64,sip,128,get-miss,baseline,4,4.319634
