key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,6.146071
u64,sip,128,get-hit,baseline,0,6.406587
u64,sip,128,get-hit,quick_cache,0,6.052236
u64,sip,128,get-hit,lru,0,6.850254
u64,sip,128,get-hit,hashlink,0,6.175741
u64,sip,128,get-hit,baseline,1,5.652716
u64,sip,128,get-hit,quick_cache,1,5.594734
u64,sip,128,get-hit,lru,1,6.157601
u64,sip,128,get-hit,hashlink,1,5.756617
u64,sip,128,get-hit,micro,1,5.344778
u64,sip,128,get-hit,quick_cache,2,5.223734
u64,sip,128,get-hit,lru,2,5.932881
u64,sip,128,get-hit,hashlink,2,5.635188
u64,sip,128,get-hit,micro,2,5.219080
u64,sip,128,get-hit,baseline,2,5.245607
u64,sip,128,get-hit,lru,3,5.864058
u64,sip,128,get-hit,hashlink,3,5.552581
u64,sip,128,get-hit,micro,3,5.202387
u64,sip,128,get-hit,baseline,3,5.213205
u64,sip,128,get-hit,quick_cache,3,5.259487
u64,sip,128,get-hit,hashlink,4,5.545013
u64,sip,128,get-hit,micro,4,5.240231
u64,sip,128,get-hit,baseline,4,5.260067
u64,sip,128,get-hit,quick_cache,4,5.431680
u64,sip,128,get-hit,lru,4,5.909827
u64,sip,128,get-miss,micro,0,4.472314
u64,sip,128,get-miss,baseline,0,4.451216
u64,sip,128,get-miss,quick_cache,0,4.517656
u64,sip,128,get-miss,lru,0,5.022511
u64,sip,128,get-miss,hashlink,0,4.536758
u64,sip,128,get-miss,baseline,1,4.487510
u64,sip,128,get-miss,quick_cache,1,4.586157
u64,sip,128,get-miss,lru,1,5.006877
u64,sip,128,get-miss,hashlink,1,4.438959
u64,sip,128,get-miss,micro,1,4.446313
u64,sip,128,get-miss,quick_cache,2,4.566836
u64,sip,128,get-miss,lru,2,5.041880
u64,sip,128,get-miss,hashlink,2,4.439205
u64,sip,128,get-miss,micro,2,4.427868
u64,sip,128,get-miss,baseline,2,4.426581
u64,sip,128,get-miss,lru,3,4.963643
u64,sip,128,get-miss,hashlink,3,4.432157
u64,sip,128,get-miss,micro,3,4.401858
u64,sip,128,get-miss,baseline,3,4.415367
u64,sip,128,get-miss,quick_cache,3,4.521374
u64,sip,128,get-miss,hashlink,4,4.428482
u64,sip,128,get-miss,micro,4,4.511763
u64,sip,128,get-miss,baseline,4,4.934829
u64,sip,128,get-miss,quick_cache,4,5.062712
u64,sip,128,get-miss,lru,4,5.138397
u64,sip,128,update,micro,0,12.267574
u64,sip,128,update,baseline,0,15.747279
u64,sip,128,update,quick_cache,0,23.797989
u64,sip,128,update,lru,0,18.486786
u64,sip,128,update,hashlink,0,17.841157
u64,sip,128,update,baseline,1,8.197839
u64,sip,128,update,quick_cache,1,19.280685
u64,sip,128,update,lru,1,5.676583
u64,sip,128,update,hashlink,1,16.315403
u64,sip,128,update,micro,1,5.237762
u64,sip,128,update,quick_cache,2,9.033947
u64,sip,128,update,lru,2,5.538561
u64,sip,128,update,hashlink,2,16.344817
u64,sip,128,update,micro,2,5.134230
u64,sip,128,update,baseline,2,5.134654
u64,sip,128,update,lru,3,5.514116
u64,sip,128,update,hashlink,3,15.961574
u64,sip,128,update,micro,3,5.099191
u64,sip,128,update,baseline,3,5.138185
u64,sip,128,update,quick_cache,3,8.771261
u64,sip,128,update,hashlink,4,15.778651
u64,sip,128,update,micro,4,5.014162
u64,sip,128,update,baseline,4,5.061460
u64,sip,128,update,quick_cache,4,8.914766
u64,sip,128,update,lru,4,5.369916
u64,sip,128,insert-cycle,micro,0,12.388032
u64,sip,128,insert-cycle,baseline,0,12.287556
u64,sip,128,insert-cycle,quick_cache,0,16.235690
u64,sip,128,insert-cycle,lru,0,25.410706
u64,sip,128,insert-cycle,hashlink,0,30.795891
u64,sip,128,insert-cycle,baseline,1,12.550501
u64,sip,128,insert-cycle,quick_cache,1,16.315885
u64,sip,128,insert-cycle,lru,1,26.400179
u64,sip,128,insert-cycle,hashlink,1,32.114640
u64,sip,128,insert-cycle,micro,1,13.436775
u64,sip,128,insert-cycle,quick_cache,2,16.232985
u64,sip,128,insert-cycle,lru,2,28.635118
u64,sip,128,insert-cycle,hashlink,2,31.587801
u64,sip,128,insert-cycle,micro,2,12.590419
u64,sip,128,insert-cycle,baseline,2,13.019930
u64,sip,128,insert-cycle,lru,3,25.626237
u64,sip,128,insert-cycle,hashlink,3,31.080347
u64,sip,128,insert-cycle,micro,3,12.436759
u64,sip,128,insert-cycle,baseline,3,12.304720
u64,sip,128,insert-cycle,quick_cache,3,16.581075
u64,sip,128,insert-cycle,hashlink,4,31.551464
u64,sip,128,insert-cycle,micro,4,12.289775
u64,sip,128,insert-cycle,baseline,4,12.321067
u64,sip,128,insert-cycle,quick_cache,4,16.001817
u64,sip,128,insert-cycle,lru,4,25.674114
u64,sip,128,mixed-95,micro,0,16.463240
u64,sip,128,mixed-95,baseline,0,14.280558
u64,sip,128,mixed-95,quick_cache,0,12.206018
u64,sip,128,mixed-95,lru,0,13.762315
u64,sip,128,mixed-95,hashlink,0,10.415634
u64,sip,128,mixed-95,baseline,1,15.335917
u64,sip,128,mixed-95,quick_cache,1,12.728930
u64,sip,128,mixed-95,lru,1,12.836973
u64,sip,128,mixed-95,hashlink,1,10.446727
u64,sip,128,mixed-95,micro,1,13.676703
u64,sip,128,mixed-95,quick_cache,2,12.242734
u64,sip,128,mixed-95,lru,2,13.008515
u64,sip,128,mixed-95,hashlink,2,10.177454
u64,sip,128,mixed-95,micro,2,15.594582
u64,sip,128,mixed-95,baseline,2,16.015550
u64,sip,128,mixed-95,lru,3,13.206323
u64,sip,128,mixed-95,hashlink,3,10.538876
u64,sip,128,mixed-95,micro,3,14.393866
u64,sip,128,mixed-95,baseline,3,15.239338
u64,sip,128,mixed-95,quick_cache,3,12.223263
u64,sip,128,mixed-95,hashlink,4,9.865224
u64,sip,128,mixed-95,micro,4,15.567382
u64,sip,128,mixed-95,baseline,4,16.377827
u64,sip,128,mixed-95,quick_cache,4,12.280007
u64,sip,128,mixed-95,lru,4,12.782236
u64,sip,128,load-hit,micro,0,7.556008
u64,sip,128,load-hit,baseline,0,7.522583
u64,sip,128,load-hit,quick_cache,0,8.546222
u64,sip,128,load-hit,lru,0,5.570229
u64,sip,128,load-hit,hashlink,0,5.449483
u64,sip,128,load-hit,baseline,1,7.639038
u64,sip,128,load-hit,quick_cache,1,8.766779
u64,sip,128,load-hit,lru,1,5.722523
u64,sip,128,load-hit,hashlink,1,5.512750
u64,sip,128,load-hit,micro,1,7.521337
u64,sip,128,load-hit,quick_cache,2,8.561719
u64,sip,128,load-hit,lru,2,5.576085
u64,sip,128,load-hit,hashlink,2,5.458607
u64,sip,128,load-hit,micro,2,7.504833
u64,sip,128,load-hit,baseline,2,7.550091
