key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,5.091138
u64,sip,128,get-hit,baseline,0,5.099953
u64,sip,128,get-hit,quick_cache,0,5.116865
u64,sip,128,get-hit,lru,0,5.886665
u64,sip,128,get-hit,hashlink,0,5.406743
u64,sip,128,get-hit,baseline,1,5.075502
u64,sip,128,get-hit,quick_cache,1,5.050449
u64,sip,128,get-hit,lru,1,5.794885
u64,sip,128,get-hit,hashlink,1,5.375377
u64,sip,128,get-hit,micro,1,5.023561
u64,sip,128,get-hit,quick_cache,2,5.040945
u64,sip,128,get-hit,lru,2,5.753230
u64,sip,128,get-hit,hashlink,2,5.379928
u64,sip,128,get-hit,micro,2,5.028647
u64,sip,128,get-hit,baseline,2,5.029480
u64,sip,128,get-hit,lru,3,5.759665
u64,sip,128,get-hit,hashlink,3,5.445406
u64,sip,128,get-hit,micro,3,5.091434
u64,sip,128,get-hit,baseline,3,5.092748
u64,sip,128,get-hit,quick_cache,3,5.123944
u64,sip,128,get-hit,hashlink,4,5.375467
u64,sip,128,get-hit,micro,4,5.074577
u64,sip,128,get-hit,baseline,4,5.018474
u64,sip,128,get-hit,quick_cache,4,5.035025
u64,sip,128,get-hit,lru,4,5.802274
u64,sip,128,get-hit,micro,5,5.117459
u64,sip,128,get-hit,baseline,5,5.106311
u64,sip,128,get-hit,quick_cache,5,5.071214
u64,sip,128,get-hit,lru,5,5.773245
u64,sip,128,get-hit,hashlink,5,5.363331
u64,sip,128,get-hit,baseline,6,5.019266
u64,sip,128,get-hit,quick_cache,6,5.057637
u64,sip,128,get-hit,lru,6,5.885344
u64,sip,128,get-hit,hashlink,6,5.465644
u64,sip,128,get-hit,micro,6,5.102200
u64,sip,128,get-hit,quick_cache,7,5.119535
u64,sip,128,get-hit,lru,7,5.773053
u64,sip,128,get-hit,hashlink,7,5.429698
u64,sip,128,get-hit,micro,7,5.045993
u64,sip,128,get-hit,baseline,7,5.017265
u64,sip,128,get-hit,lru,8,5.822124
u64,sip,128,get-hit,hashlink,8,5.383586
u64,sip,128,get-hit,micro,8,5.029897
u64,sip,128,get-hit,baseline,8,5.002882
u64,sip,128,get-hit,quick_cache,8,5.041279
u64,sip,128,get-miss,micro,0,4.439018
u64,sip,128,get-miss,baseline,0,5.257718
u64,sip,128,get-miss,quick_cache,0,4.567654
u64,sip,128,get-miss,lru,0,4.802306
u64,sip,128,get-miss,hashlink,0,4.553750
u64,sip,128,get-miss,baseline,1,4.520791
u64,sip,128,get-miss,quick_cache,1,4.540790
u64,sip,128,get-miss,lru,1,4.740042
u64,sip,128,get-miss,hashlink,1,4.475392
u64,sip,128,get-miss,micro,1,4.466555
u64,sip,128,get-miss,quick_cache,2,4.469674
u64,sip,128,get-miss,lru,2,4.762792
u64,sip,128,get-miss,hashlink,2,4.465071
u64,sip,128,get-miss,micro,2,4.446020
u64,sip,128,get-miss,baseline,2,4.441376
u64,sip,128,get-miss,lru,3,4.747967
u64,sip,128,get-miss,hashlink,3,4.448010
u64,sip,128,get-miss,micro,3,4.432937
u64,sip,128,get-miss,baseline,3,4.455492
u64,sip,128,get-miss,quick_cache,3,4.537587
u64,sip,128,get-miss,hashlink,4,4.526059
u64,sip,128,get-miss,micro,4,4.513123
u64,sip,128,get-miss,baseline,4,4.495921
u64,sip,128,get-miss,quick_cache,4,4.464180
u64,sip,128,get-miss,lru,4,4.758022
u64,sip,128,get-miss,micro,5,4.444841
u64,sip,128,get-miss,baseline,5,4.506242
u64,sip,128,get-miss,quick_cache,5,4.495695
u64,sip,128,get-miss,lru,5,4.746903
u64,sip,128,get-miss,hashlink,5,4.440012
u64,sip,128,get-miss,baseline,6,4.467521
u64,sip,128,get-miss,quick_cache,6,4.550397
u64,sip,128,get-miss,lru,6,4.739175
u64,sip,128,get-miss,hashlink,6,4.491694
u64,sip,128,get-miss,micro,6,4.477100
u64,sip,128,get-miss,quick_cache,7,4.553336
u64,sip,128,get-miss,lru,7,4.802665
u64,sip,128,get-miss,hashlink,7,4.537851
u64,sip,128,get-miss,micro,7,4.486678
u64,sip,128,get-miss,baseline,7,4.437580
u64,sip,128,get-miss,lru,8,4.740003
u64,sip,128,get-miss,hashlink,8,4.461656
u64,sip,128,get-miss,micro,8,4.442482
u64,sip,128,get-miss,baseline,8,4.443699
u64,sip,128,get-miss,quick_cache,8,4.467669
u64,sip,128,update,micro,0,4.954020
u64,sip,128,update,baseline,0,4.938269
u64,sip,128,update,quick_cache,0,8.724104
u64,sip,128,update,lru,0,5.396703
u64,sip,128,update,hashlink,0,13.312407
u64,sip,128,update,baseline,1,4.994172
u64,sip,128,update,quick_cache,1,8.868895
u64,sip,128,update,lru,1,5.413449
u64,sip,128,update,hashlink,1,13.977281
u64,sip,128,update,micro,1,4.941756
u64,sip,128,update,quick_cache,2,8.804468
u64,sip,128,update,lru,2,5.327440
u64,sip,128,update,hashlink,2,15.879313
u64,sip,128,update,micro,2,4.960542
u64,sip,128,update,baseline,2,4.964895
u64,sip,128,update,lru,3,5.329784
u64,sip,128,update,hashlink,3,14.960062
u64,sip,128,update,micro,3,4.956563
u64,sip,128,update,baseline,3,4.947826
u64,sip,128,update,quick_cache,3,8.763267
u64,sip,128,update,hashlink,4,15.705466
u64,sip,128,update,micro,4,5.003632
u64,sip,128,update,baseline,4,5.054275
u64,sip,128,update,quick_cache,4,8.896465
u64,sip,128,update,lru,4,5.457469
u64,sip,128,update,micro,5,4.981023
u64,sip,128,update,baseline,5,4.981933
u64,sip,128,update,quick_cache,5,8.743867
u64,sip,128,update,lru,5,5.367033
u64,sip,128,update,hashlink,5,15.805238
u64,sip,128,update,baseline,6,4.970975
u64,sip,128,update,quick_cache,6,8.796038
u64,sip,128,update,lru,6,5.346636
u64,sip,128,update,hashlink,6,13.019534
u64,sip,128,update,micro,6,4.975440
u64,sip,128,update,quick_cache,7,8.721415
u64,sip,128,update,lru,7,5.364848
u64,sip,128,update,hashlink,7,15.983386
u64,sip,128,update,micro,7,5.039027
u64,sip,128,update,baseline,7,5.031981
u64,sip,128,update,lru,8,5.425917
u64,sip,128,update,hashlink,8,15.765719
u64,sip,128,update,micro,8,4.984372
u64,sip,128,update,baseline,8,4.956276
u64,sip,128,update,quick_cache,8,8.768645
u64,sip,128,insert-cycle,micro,0,11.379484
u64,sip,128,insert-cycle,baseline,0,11.352563
u64,sip,128,insert-cycle,quick_cache,0,15.924788
u64,sip,128,insert-cycle,lru,0,23.475060
u64,sip,128,insert-cycle,hashlink,0,31.120155
u64,sip,128,insert-cycle,baseline,1,11.350670
u64,sip,128,insert-cycle,quick_cache,1,15.923460
u64,sip,128,insert-cycle,lru,1,23.451957
u64,sip,128,insert-cycle,hashlink,1,30.585711
u64,sip,128,insert-cycle,micro,1,11.561670
u64,sip,128,insert-cycle,quick_cache,2,16.100542
u64,sip,128,insert-cycle,lru,2,24.181805
u64,sip,128,insert-cycle,hashlink,2,31.608705
u64,sip,128,insert-cycle,micro,2,11.595498
u64,sip,128,insert-cycle,baseline,2,11.588620
u64,sip,128,insert-cycle,lru,3,24.313856
u64,sip,128,insert-cycle,hashlink,3,30.820762
u64,sip,128,insert-cycle,micro,3,11.494334
u64,sip,128,insert-cycle,baseline,3,11.324162
u64,sip,128,insert-cycle,quick_cache,3,15.944809
u64,sip,128,insert-cycle,hashlink,4,30.600737
u64,sip,128,insert-cycle,micro,4,11.249678
u64,sip,128,insert-cycle,baseline,4,11.265386
u64,sip,128,insert-cycle,quick_cache,4,15.932068
u64,sip,128,insert-cycle,lru,4,23.655432
u64,sip,128,insert-cycle,micro,5,11.433802
u64,sip,128,insert-cycle,baseline,5,11.386780
u64,sip,128,insert-cycle,quick_cache,5,16.266285
u64,sip,128,insert-cycle,lru,5,23.635099
u64,sip,128,insert-cycle,hashlink,5,30.724609
u64,sip,128,insert-cycle,baseline,6,11.404916
u64,sip,128,insert-cycle,quick_cache,6,15.934855
u64,sip,128,insert-cycle,lru,6,23.999362
u64,sip,128,insert-cycle,hashlink,6,30.543268
u64,sip,128,insert-cycle,micro,6,11.266887
u64,sip,128,insert-cycle,quick_cache,7,16.131290
u64,sip,128,insert-cycle,lru,7,23.705543
u64,sip,128,insert-cycle,hashlink,7,30.283031
u64,sip,128,insert-cycle,micro,7,11.202845
u64,sip,128,insert-cycle,baseline,7,11.333468
u64,sip,128,insert-cycle,lru,8,23.818333
u64,sip,128,insert-cycle,hashlink,8,32.875420
u64,sip,128,insert-cycle,micro,8,11.585627
u64,sip,128,insert-cycle,baseline,8,11.608310
u64,sip,128,insert-cycle,quick_cache,8,16.128335
u64,sip,128,mixed-95,micro,0,15.633742
u64,sip,128,mixed-95,baseline,0,15.405416
u64,sip,128,mixed-95,quick_cache,0,12.297074
u64,sip,128,mixed-95,lru,0,12.829264
u64,sip,128,mixed-95,hashlink,0,10.067999
u64,sip,128,mixed-95,baseline,1,10.921916
u64,sip,128,mixed-95,quick_cache,1,12.285391
u64,sip,128,mixed-95,lru,1,13.065795
u64,sip,128,mixed-95,hashlink,1,10.062536
u64,sip,128,mixed-95,micro,1,14.202456
u64,sip,128,mixed-95,quick_cache,2,12.498836
u64,sip,128,mixed-95,lru,2,12.901445
u64,sip,128,mixed-95,hashlink,2,9.868205
u64,sip,128,mixed-95,micro,2,15.665611
u64,sip,128,mixed-95,baseline,2,16.348402
u64,sip,128,mixed-95,lru,3,13.117393
u64,sip,128,mixed-95,hashlink,3,10.157923
u64,sip,128,mixed-95,micro,3,15.142302
u64,sip,128,mixed-95,baseline,3,15.282849
u64,sip,128,mixed-95,quick_cache,3,12.447993
u64,sip,128,mixed-95,hashlink,4,9.900431
u64,sip,128,mixed-95,micro,4,16.709030
u64,sip,128,mixed-95,baseline,4,16.519527
u64,sip,128,mixed-95,quick_cache,4,11.948267
u64,sip,128,mixed-95,lru,4,13.086458
u64,sip,128,mixed-95,micro,5,16.378602
u64,sip,128,mixed-95,baseline,5,16.236504
u64,sip,128,mixed-95,quick_cache,5,12.078643
u64,sip,128,mixed-95,lru,5,13.249894
u64,sip,128,mixed-95,hashlink,5,9.568433
u64,sip,128,mixed-95,baseline,6,16.389072
u64,sip,128,mixed-95,quick_cache,6,11.714200
u64,sip,128,mixed-95,lru,6,12.979289
u64,sip,128,mixed-95,hashlink,6,9.681304
u64,sip,128,mixed-95,micro,6,11.636198
u64,sip,128,mixed-95,quick_cache,7,12.018124
u64,sip,128,mixed-95,lru,7,13.028065
u64,sip,128,mixed-95,hashlink,7,9.604891
u64,sip,128,mixed-95,micro,7,14.374931
u64,sip,128,mixed-95,baseline,7,16.219100
u64,sip,128,mixed-95,lru,8,13.005395
u64,sip,128,mixed-95,hashlink,8,10.208189
u64,sip,128,mixed-95,micro,8,13.588508
u64,sip,128,mixed-95,baseline,8,16.130428
u64,sip,128,mixed-95,quick_cache,8,12.413899
u64,sip,128,load-hit,micro,0,17.309543
u64,sip,128,load-hit,baseline,0,17.353339
