key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,5.084791
u64,sip,128,get-hit,baseline,0,5.087407
u64,sip,128,get-hit,quick_cache,0,5.057259
u64,sip,128,get-hit,lru,0,5.808176
u64,sip,128,get-hit,hashlink,0,5.490257
u64,sip,128,get-hit,baseline,1,5.113390
u64,sip,128,get-hit,quick_cache,1,4.993510
u64,sip,128,get-hit,lru,1,5.794789
u64,sip,128,get-hit,hashlink,1,5.398712
u64,sip,128,get-hit,micro,1,5.112373
u64,sip,128,get-hit,quick_cache,2,5.095588
u64,sip,128,get-hit,lru,2,6.022235
u64,sip,128,get-hit,hashlink,2,5.458968
u64,sip,128,get-hit,micro,2,5.104828
u64,sip,128,get-hit,baseline,2,5.029230
u64,sip,128,get-hit,lru,3,5.788887
u64,sip,128,get-hit,hashlink,3,5.436855
u64,sip,128,get-hit,micro,3,5.096987
u64,sip,128,get-hit,baseline,3,5.093554
u64,sip,128,get-hit,quick_cache,3,5.126783
u64,sip,128,get-hit,hashlink,4,5.525010
u64,sip,128,get-hit,micro,4,5.106057
u64,sip,128,get-hit,baseline,4,5.052592
u64,sip,128,get-hit,quick_cache,4,5.019474
u64,sip,128,get-hit,lru,4,5.829245
u64,sip,128,get-hit,micro,5,5.076301
u64,sip,128,get-hit,baseline,5,5.136869
u64,sip,128,get-hit,quick_cache,5,5.040987
u64,sip,128,get-hit,lru,5,5.846732
u64,sip,128,get-hit,hashlink,5,5.465417
u64,sip,128,get-hit,baseline,6,5.092112
u64,sip,128,get-hit,quick_cache,6,5.796804
u64,sip,128,get-hit,lru,6,5.868912
u64,sip,128,get-hit,hashlink,6,5.526386
u64,sip,128,get-hit,micro,6,5.039069
u64,sip,128,get-hit,quick_cache,7,5.066633
u64,sip,128,get-hit,lru,7,5.915568
u64,sip,128,get-hit,hashlink,7,5.475226
u64,sip,128,get-hit,micro,7,5.116781
u64,sip,128,get-hit,baseline,7,5.093723
u64,sip,128,get-hit,lru,8,5.861942
u64,sip,128,get-hit,hashlink,8,5.477134
u64,sip,128,get-hit,micro,8,5.103811
u64,sip,128,get-hit,baseline,8,5.026979
u64,sip,128,get-hit,quick_cache,8,5.018015
u64,sip,128,get-miss,micro,0,4.315407
u64,sip,128,get-miss,baseline,0,4.326189
u64,sip,128,get-miss,quick_cache,0,4.383595
u64,sip,128,get-miss,lru,0,4.606815
u64,sip,128,get-miss,hashlink,0,4.386902
u64,sip,128,get-miss,baseline,1,4.345869
u64,sip,128,get-miss,quick_cache,1,4.398446
u64,sip,128,get-miss,lru,1,4.610793
u64,sip,128,get-miss,hashlink,1,4.357376
u64,sip,128,get-miss,micro,1,4.316948
u64,sip,128,get-miss,quick_cache,2,4.339809
u64,sip,128,get-miss,lru,2,4.588151
u64,sip,128,get-miss,hashlink,2,4.373533
u64,sip,128,get-miss,micro,2,4.393653
u64,sip,128,get-miss,baseline,2,4.345941
u64,sip,128,get-miss,lru,3,4.585266
u64,sip,128,get-miss,hashlink,3,4.346555
u64,sip,128,get-miss,micro,3,4.349476
u64,sip,128,get-miss,baseline,3,4.485750
u64,sip,128,get-miss,quick_cache,3,4.368664
u64,sip,128,get-miss,hashlink,4,4.350956
u64,sip,128,get-miss,micro,4,4.344282
u64,sip,128,get-miss,baseline,4,4.365540
u64,sip,128,get-miss,quick_cache,4,4.429546
u64,sip,128,get-miss,lru,4,4.650270
u64,sip,128,get-miss,micro,5,4.378328
u64,sip,128,get-miss,baseline,5,4.340494
u64,sip,128,get-miss,quick_cache,5,4.378982
u64,sip,128,get-miss,lru,5,4.602150
u64,sip,128,get-miss,hashlink,5,4.406973
u64,sip,128,get-miss,baseline,6,4.351749
u64,sip,128,get-miss,quick_cache,6,4.374223
u64,sip,128,get-miss,lru,6,4.605401
u64,sip,128,get-miss,hashlink,6,4.357484
u64,sip,128,get-miss,micro,6,4.355320
u64,sip,128,get-miss,quick_cache,7,4.375240
u64,sip,128,get-miss,lru,7,4.599511
u64,sip,128,get-miss,hashlink,7,4.342875
u64,sip,128,get-miss,micro,7,4.324111
u64,sip,128,get-miss,baseline,7,4.341035
u64,sip,128,get-miss,lru,8,4.625609
u64,sip,128,get-miss,hashlink,8,4.411217
u64,sip,128,get-miss,micro,8,4.355862
u64,sip,128,get-miss,baseline,8,4.343199
u64,sip,128,get-miss,quick_cache,8,4.325401
u64,sip,128,update,micro,0,5.046665
u64,sip,128,update,baseline,0,5.005591
u64,sip,128,update,quick_cache,0,8.801052
u64,sip,128,update,lru,0,5.465916
u64,sip,128,update,hashlink,0,16.070184
u64,sip,128,update,baseline,1,5.026020
u64,sip,128,update,quick_cache,1,8.762469
u64,sip,128,update,lru,1,5.455880
u64,sip,128,update,hashlink,1,15.860014
u64,sip,128,update,micro,1,5.127886
u64,sip,128,update,quick_cache,2,8.838545
u64,sip,128,update,lru,2,7.040616
u64,sip,128,update,hashlink,2,17.457220
u64,sip,128,update,micro,2,5.074283
u64,sip,128,update,baseline,2,5.075250
u64,sip,128,update,lru,3,5.400853
u64,sip,128,update,hashlink,3,16.205101
u64,sip,128,update,micro,3,4.971512
u64,sip,128,update,baseline,3,4.978417
u64,sip,128,update,quick_cache,3,8.862482
u64,sip,128,update,hashlink,4,16.156513
u64,sip,128,update,micro,4,5.114406
u64,sip,128,update,baseline,4,5.042112
u64,sip,128,update,quick_cache,4,8.734567
u64,sip,128,update,lru,4,5.436855
u64,sip,128,update,micro,5,5.049650
u64,sip,128,update,baseline,5,5.084120
u64,sip,128,update,quick_cache,5,8.907446
u64,sip,128,update,lru,5,5.353181
u64,sip,128,update,hashlink,5,13.448964
u64,sip,128,update,baseline,6,4.990865
u64,sip,128,update,quick_cache,6,8.642564
u64,sip,128,update,lru,6,5.460739
u64,sip,128,update,hashlink,6,15.220456
u64,sip,128,update,micro,6,5.023685
u64,sip,128,update,quick_cache,7,8.648867
u64,sip,128,update,lru,7,5.362126
u64,sip,128,update,hashlink,7,15.877357
u64,sip,128,update,micro,7,5.041320
u64,sip,128,update,baseline,7,5.029814
u64,sip,128,update,lru,8,5.393447
u64,sip,128,update,hashlink,8,16.199479
u64,sip,128,update,micro,8,5.078865
u64,sip,128,update,baseline,8,5.022727
u64,sip,128,update,quick_cache,8,8.804539
u64,sip,128,insert-cycle,micro,0,11.833697
u64,sip,128,insert-cycle,baseline,0,11.749775
u64,sip,128,insert-cycle,quick_cache,0,15.740151
u64,sip,128,insert-cycle,lru,0,24.418130
u64,sip,128,insert-cycle,hashlink,0,32.957203
u64,sip,128,insert-cycle,baseline,1,11.754299
