key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,7.089762
u64,sip,128,get-hit,baseline,0,6.966357
u64,sip,128,get-hit,quick_cache,0,6.528620
u64,sip,128,get-hit,lru,0,7.862738
u64,sip,128,get-hit,hashlink,0,6.808246
u64,sip,128,get-hit,baseline,1,6.181421
u64,sip,128,get-hit,quick_cache,1,5.833541
u64,sip,128,get-hit,lru,1,6.723764
u64,sip,128,get-hit,hashlink,1,6.115552
u64,sip,128,get-hit,micro,1,5.647865
u64,sip,128,get-hit,quick_cache,2,5.446041
u64,sip,128,get-hit,lru,2,6.066162
u64,sip,128,get-hit,hashlink,2,5.717586
u64,sip,128,get-hit,micro,2,5.336889
u64,sip,128,get-hit,baseline,2,5.352590
u64,sip,128,get-hit,lru,3,5.909418
u64,sip,128,get-hit,hashlink,3,5.678538
u64,sip,128,get-hit,micro,3,5.344999
u64,sip,128,get-hit,baseline,3,5.329225
u64,sip,128,get-hit,quick_cache,3,5.243138
u64,sip,128,get-hit,hashlink,4,5.695754
u64,sip,128,get-hit,micro,4,5.487317
u64,sip,128,get-hit,baseline,4,5.375591
u64,sip,128,get-hit,quick_cache,4,5.237470
u64,sip,128,get-hit,lru,4,5.935669
u64,sip,128,get-miss,micro,0,4.801894
u64,sip,128,get-miss,baseline,0,4.472935
u64,sip,128,get-miss,quick_cache,0,4.836500
u64,sip,128,get-miss,lru,0,5.037213
u64,sip,128,get-miss,hashlink,0,4.736485
u64,sip,128,get-miss,baseline,1,4.473803
u64,sip,128,get-miss,quick_cache,1,4.719727
u64,sip,128,get-miss,lru,1,4.878195
u64,sip,128,get-miss,hashlink,1,4.655799
u64,sip,128,get-miss,micro,1,4.727747
u64,sip,128,get-miss,quick_cache,2,4.691788
u64,sip,128,get-miss,lru,2,4.881876
u64,sip,128,get-miss,hashlink,2,4.631615
u64,sip,128,get-miss,micro,2,4.710139
u64,sip,128,get-miss,baseline,2,4.455075
u64,sip,128,get-miss,lru,3,4.869361
u64,sip,128,get-miss,hashlink,3,4.633777
u64,sip,128,get-miss,micro,3,4.717052
u64,sip,128,get-miss,baseline,3,4.454525
u64,sip,128,get-miss,quick_cache,3,4.671765
u64,sip,128,get-miss,hashlink,4,4.654575
u64,sip,128,get-miss,micro,4,4.713728
u64,sip,128,get-miss,baseline,4,4.496070
u64,sip,128,get-miss,quick_cache,4,4.747048
u64,sip,128,get-miss,lru,4,4.922622
u64,sip,128,update,micro,0,5.351486
u64,sip,128,update,baseline,0,5.418665
u64,sip,128,update,quick_cache,0,9.280524
u64,sip,128,update,lru,0,5.702873
u64,sip,128,update,hashlink,0,14.272837
u64,sip,128,update,baseline,1,5.317061
u64,sip,128,update,quick_cache,1,9.227625
u64,sip,128,update,lru,1,5.665392
u64,sip,128,update,hashlink,1,16.353441
u64,sip,128,update,micro,1,5.290076
u64,sip,128,update,quick_cache,2,9.111605
u64,sip,128,update,lru,2,5.551118
u64,sip,128,update,hashlink,2,16.337302
u64,sip,128,update,micro,2,5.306644
u64,sip,128,update,baseline,2,5.290004
u64,sip,128,update,lru,3,5.505083
u64,sip,128,update,hashlink,3,16.592938
u64,sip,128,update,micro,3,5.300176
u64,sip,128,update,baseline,3,5.289205
u64,sip,128,update,quick_cache,3,9.103915
u64,sip,128,update,hashlink,4,15.418162
u64,sip,128,update,micro,4,5.275181
u64,sip,128,update,baseline,4,5.298141
u64,sip,128,update,quick_cache,4,9.152546
u64,sip,128,update,lru,4,5.510398
u64,sip,128,insert-cycle,micro,0,11.818013
u64,sip,128,insert-cycle,baseline,0,11.747616
u64,sip,128,insert-cycle,quick_cache,0,15.978015
u64,sip,128,insert-cycle,lru,0,24.018499
u64,sip,128,insert-cycle,hashlink,0,39.187826
u64,sip,128,insert-cycle,baseline,1,17.073969
u64,sip,128,insert-cycle,quick_cache,1,16.413959
u64,sip,128,insert-cycle,lru,1,24.497309
u64,sip,128,insert-cycle,hashlink,1,31.060113
u64,sip,128,insert-cycle,micro,1,12.745907
u64,sip,128,insert-cycle,quick_cache,2,16.044037
u64,sip,128,insert-cycle,lru,2,24.375487
u64,sip,128,insert-cycle,hashlink,2,30.128665
u64,sip,128,insert-cycle,micro,2,11.676116
u64,sip,128,insert-cycle,baseline,2,11.613517
u64,sip,128,insert-cycle,lru,3,24.160880
u64,sip,128,insert-cycle,hashlink,3,30.348302
u64,sip,128,insert-cycle,micro,3,11.637774
u64,sip,128,insert-cycle,baseline,3,11.705269
u64,sip,128,insert-cycle,quick_cache,3,15.751885
u64,sip,128,insert-cycle,hashlink,4,29.901826
u64,sip,128,insert-cycle,micro,4,11.654033
u64,sip,128,insert-cycle,baseline,4,11.699421
u64,sip,128,insert-cycle,quick_cache,4,15.894505
u64,sip,128,insert-cycle,lru,4,23.984695
u64,sip,128,mixed-95,micro,0,15.492121
u64,sip,128,mixed-95,baseline,0,16.521070
u64,sip,128,mixed-95,quick_cache,0,12.785110
u64,sip,128,mixed-95,lru,0,13.388497
u64,sip,128,mixed-95,hashlink,0,10.812798
u64,sip,128,mixed-95,baseline,1,15.688156
u64,sip,128,mixed-95,quick_cache,1,12.755821
u64,sip,128,mixed-95,lru,1,14.445186
u64,sip,128,mixed-95,hashlink,1,10.539607
u64,sip,128,mixed-95,micro,1,12.718641
u64,sip,128,mixed-95,quick_cache,2,12.295361
u64,sip,128,mixed-95,lru,2,12.634101
u64,sip,128,mixed-95,hashlink,2,10.300530
u64,sip,128,mixed-95,micro,2,9.653728
u64,sip,128,mixed-95,baseline,2,11.466820
u64,sip,128,mixed-95,lru,3,12.237876
u64,sip,128,mixed-95,hashlink,3,10.010864
u64,sip,128,mixed-95,micro,3,10.234694
u64,sip,128,mixed-95,baseline,3,14.400583
u64,sip,128,mixed-95,quick_cache,3,12.365381
u64,sip,128,mixed-95,hashlink,4,9.863336
u64,sip,128,mixed-95,micro,4,12.783531
u64,sip,128,mixed-95,baseline,4,9.492923
u64,sip,128,mixed-95,quick_cache,4,12.170772
u64,sip,128,mixed-95,lru,4,13.177599
u64,sip,128,load-hit,micro,0,7.632573
u64,sip,128,load-hit,baseline,0,7.460430
u64,sip,128,load-hit,quick_cache,0,8.713240
u64,sip,128,load-hit,lru,0,5.576163
u64,sip,128,load-hit,hashlink,0,5.521102
u64,sip,128,load-hit,baseline,1,7.537842
u64,sip,128,load-hit,quick_cache,1,8.692423
u64,sip,128,load-hit,lru,1,5.743343
u64,sip,128,load-hit,hashlink,1,5.743423
u64,sip,128,load-hit,micro,1,7.761955
u64,sip,128,load-hit,quick_cache,2,8.691239
u64,sip,128,load-hit,lru,2,5.567840
u64,sip,128,load-hit,hashlink,2,5.553352
u64,sip,128,load-hit,micro,2,7.717982
u64,sip,128,load-hit,baseline,2,7.477118
u64,sip,128,load-hit,lru,3,5.566144
u64,sip,128,load-hit,hashlink,3,5.576394
u64,sip,128,load-hit,micro,3,7.644971
u64,sip,128,load-hit,baseline,3,7.505974
u64,sip,128,load-hit,quick_cache,3,8.691951
u64,sip,128,load-hit,hashlink,4,5.533551
u64,sip,128,load-hit,micro,4,7.634903
u64,sip,128,load-hit,baseline,4,7.544172
u64,sip,128,load-hit,quick_cache,4,8.716672
u64,sip,128,load-hit,lru,4,5.567146
u64,sip,128,load-cycle,micro,0,14.429221
u64,sip,128,load-cycle,baseline,0,14.585685
u64,sip,128,load-cycle,quick_cache,0,16.564779
u64,sip,128,load-cycle,lru,0,24.475902
u64,sip,128,load-cycle,hashlink,0,29.715111
u64,sip,128,load-cycle,baseline,1,14.620631
u64,sip,128,load-cycle,quick_cache,1,16.396006
u64,sip,128,load-cycle,lru,1,24.291400
u64,sip,128,load-cycle,hashlink,1,30.317173
u64,sip,128,load-cycle,micro,1,14.781846
u64,sip,128,load-cycle,quick_cache,2,16.692551
u64,sip,128,load-cycle,lru,2,24.511580
u64,sip,128,load-cycle,hashlink,2,29.618697
u64,sip,128,load-cycle,micro,2,14.334061
u64,sip,128,load-cycle,baseline,2,14.468798
u64,sip,128,load-cycle,lru,3,24.516213
u64,sip,128,load-cycle,hashlink,3,29.758715
u64,sip,128,load-cycle,micro,3,14.478038
u64,sip,128,load-cycle,baseline,3,14.532673
u64,sip,128,load-cycle,quick_cache,3,16.344049
u64,sip,128,load-cycle,hashlink,4,29.994535
u64,sip,128,load-cycle,micro,4,14.337642
u64,sip,128,load-cycle,baseline,4,14.425618
u64,sip,128,load-cycle,quick_cache,4,16.383560
u64,sip,128,load-cycle,lru,4,24.381578
u64,sip,128,clear-refill,micro,0,936.576779
u64,sip,128,clear-refill,baseline,0,1314.334209
u64,sip,128,clear-refill,quick_cache,0,1270.700974
u64,sip,128,clear-refill,lru,0,4653.747287
u64,sip,128,clear-refill,hashlink,0,3011.952859
u64,sip,128,clear-refill,baseline,1,1321.751101
u64,sip,128,clear-refill,quick_cache,1,1273.885350
u64,sip,128,clear-refill,lru,1,4660.389752
u64,sip,128,clear-refill,hashlink,1,3004.796797
u64,sip,128,clear-refill,micro,1,935.823456
u64,sip,128,clear-refill,quick_cache,2,1270.603726
u64,sip,128,clear-refill,lru,2,4761.950872
u64,sip,128,clear-refill,hashlink,2,3070.552147
u64,sip,128,clear-refill,micro,2,949.944603
u64,sip,128,clear-refill,baseline,2,1316.842475
u64,sip,128,clear-refill,lru,3,4865.004862
u64,sip,128,clear-refill,hashlink,3,3012.843373
u64,sip,128,clear-refill,micro,3,937.734375
u64,sip,128,clear-refill,baseline,3,1378.311438
u64,sip,128,clear-refill,quick_cache,3,1805.129362
u64,sip,128,clear-refill,hashlink,4,3005.755756
u64,sip,128,clear-refill,micro,4,937.363324
u64,sip,128,clear-refill,baseline,4,1322.425297
u64,sip,128,clear-refill,quick_cache,4,1819.191515
u64,sip,128,clear-refill,lru,4,4831.655395
u64,sip,128,clear-empty,micro,0,0.365257
u64,sip,128,clear-empty,baseline,0,48.444086
u64,sip,128,clear-empty,quick_cache,0,1.798332
u64,sip,128,clear-empty,lru,0,0.606492
u64,sip,128,clear-empty,hashlink,0,0.601163
u64,sip,128,clear-empty,baseline,1,48.168401
u64,sip,128,clear-empty,quick_cache,1,1.807891
u64,sip,128,clear-empty,lru,1,0.602856
