key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,32,load-hit,micro,0,8.055046
u64,sip,32,load-hit,baseline,0,8.076035
u64,sip,32,load-hit,quick_cache,0,9.341291
u64,sip,32,load-hit,lru,0,6.225586
u64,sip,32,load-hit,hashlink,0,6.006877
u64,sip,32,load-cycle,micro,0,15.756915
u64,sip,32,load-cycle,baseline,0,15.661526
u64,sip,32,load-cycle,quick_cache,0,18.590684
u64,sip,32,load-cycle,lru,0,26.639480
u64,sip,32,load-cycle,hashlink,0,32.110947
u64,ahash,32,load-hit,micro,0,2.228247
u64,ahash,32,load-hit,baseline,0,2.149080
u64,ahash,32,load-hit,quick_cache,0,3.072485
u64,ahash,32,load-hit,lru,0,3.864288
u64,ahash,32,load-hit,hashlink,0,3.816605
u64,ahash,32,load-cycle,micro,0,11.265175
u64,ahash,32,load-cycle,baseline,0,11.274858
u64,ahash,32,load-cycle,quick_cache,0,8.025833
u64,ahash,32,load-cycle,lru,0,16.102375
u64,ahash,32,load-cycle,hashlink,0,13.992432
string24,sip,32,load-hit,micro,0,21.741231
string24,sip,32,load-hit,baseline,0,21.559814
string24,sip,32,load-hit,quick_cache,0,12.949634
string24,sip,32,load-hit,lru,0,12.734473
string24,sip,32,load-hit,hashlink,0,9.557871
string24,sip,32,load-cycle,micro,0,39.334014
string24,sip,32,load-cycle,baseline,0,39.827847
string24,sip,32,load-cycle,quick_cache,0,25.646773
string24,sip,32,load-cycle,lru,0,54.872533
string24,sip,32,load-cycle,hashlink,0,62.253611
string24,ahash,32,load-hit,micro,0,15.899017
string24,ahash,32,load-hit,baseline,0,16.244263
string24,ahash,32,load-hit,quick_cache,0,6.654971
string24,ahash,32,load-hit,lru,0,6.937663
string24,ahash,32,load-hit,hashlink,0,5.728288
string24,ahash,32,load-cycle,micro,0,33.138308
string24,ahash,32,load-cycle,baseline,0,32.959178
string24,ahash,32,load-cycle,quick_cache,0,16.613676
string24,ahash,32,load-cycle,lru,0,35.106607
string24,ahash,32,load-cycle,hashlink,0,37.848706
string128,sip,32,load-hit,micro,0,39.035797
string128,sip,32,load-hit,baseline,0,38.424164
string128,sip,32,load-hit,quick_cache,0,31.358093
string128,sip,32,load-hit,lru,0,30.832947
string128,sip,32,load-hit,hashlink,0,28.787231
string128,sip,32,load-cycle,micro,0,59.571590
string128,sip,32,load-cycle,baseline,0,60.708333
string128,sip,32,load-cycle,quick_cache,0,50.929713
string128,sip,32,load-cycle,lru,0,113.061151
string128,sip,32,load-cycle,hashlink,0,135.304418
string128,ahash,32,load-hit,micro,0,23.206930
string128,ahash,32,load-hit,baseline,0,23.040771
string128,ahash,32,load-hit,quick_cache,0,13.503015
string128,ahash,32,load-hit,lru,0,13.438916
string128,ahash,32,load-hit,hashlink,0,11.883356
string128,ahash,32,load-cycle,micro,0,36.938534
string128,ahash,32,load-cycle,baseline,0,37.152650
string128,ahash,32,load-cycle,quick_cache,0,23.510926
string128,ahash,32,load-cycle,lru,0,47.047063
string128,ahash,32,load-cycle,hashlink,0,50.900041
