key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,34.020861
u64,sip,128,iter-dense,baseline,0,40.117539
u64,sip,128,iter-dense,quick_cache,0,29.153306
u64,sip,128,iter-dense,lru,0,141.967302
u64,sip,128,iter-dense,hashlink,0,138.494852
u64,sip,128,iter-dense,baseline,1,38.581860
u64,sip,128,iter-dense,quick_cache,1,28.652520
u64,sip,128,iter-dense,lru,1,131.034551
u64,sip,128,iter-dense,hashlink,1,128.900866
u64,sip,128,iter-dense,micro,1,32.139661
u64,sip,128,iter-dense,quick_cache,2,28.751966
u64,sip,128,iter-dense,lru,2,129.389125
u64,sip,128,iter-dense,hashlink,2,130.907375
u64,sip,128,iter-dense,micro,2,32.907974
u64,sip,128,iter-dense,baseline,2,37.234870
u64,sip,128,iter-dense,lru,3,128.770027
u64,sip,128,iter-dense,hashlink,3,134.830215
u64,sip,128,iter-dense,micro,3,32.269784
u64,sip,128,iter-dense,baseline,3,38.361599
u64,sip,128,iter-dense,quick_cache,3,28.867379
u64,sip,128,iter-dense,hashlink,4,137.110499
u64,sip,128,iter-dense,micro,4,32.064975
u64,sip,128,iter-dense,baseline,4,38.610452
u64,sip,128,iter-dense,quick_cache,4,28.692693
u64,sip,128,iter-dense,lru,4,129.133316
u64,sip,128,iter-dense-for,micro,0,38.695866
u64,sip,128,iter-dense-for,baseline,0,38.400098
u64,sip,128,iter-dense-for,quick_cache,0,67.443084
u64,sip,128,iter-dense-for,lru,0,79.046409
u64,sip,128,iter-dense-for,hashlink,0,68.949534
u64,sip,128,iter-dense-for,baseline,1,38.387950
u64,sip,128,iter-dense-for,quick_cache,1,67.567607
u64,sip,128,iter-dense-for,lru,1,80.106484
u64,sip,128,iter-dense-for,hashlink,1,72.519098
u64,sip,128,iter-dense-for,micro,1,38.474289
u64,sip,128,iter-dense-for,quick_cache,2,68.904211
u64,sip,128,iter-dense-for,lru,2,84.401998
u64,sip,128,iter-dense-for,hashlink,2,69.614198
u64,sip,128,iter-dense-for,micro,2,38.398656
u64,sip,128,iter-dense-for,baseline,2,38.511890
u64,sip,128,iter-dense-for,lru,3,78.607709
u64,sip,128,iter-dense-for,hashlink,3,68.834320
u64,sip,128,iter-dense-for,micro,3,38.811530
u64,sip,128,iter-dense-for,baseline,3,38.019571
u64,sip,128,iter-dense-for,quick_cache,3,66.638913
u64,sip,128,iter-dense-for,hashlink,4,69.335071
u64,sip,128,iter-dense-for,micro,4,38.696191
u64,sip,128,iter-dense-for,baseline,4,38.705451
u64,sip,128,iter-dense-for,quick_cache,4,66.524319
u64,sip,128,iter-dense-for,lru,4,82.750182
u64,sip,128,iter-density-1pct,micro,0,1.530018
u64,sip,128,iter-density-1pct,baseline,0,33.613015
u64,sip,128,iter-density-1pct,quick_cache,0,22.976093
u64,sip,128,iter-density-1pct,lru,0,1.280496
u64,sip,128,iter-density-1pct,hashlink,0,1.263923
u64,sip,128,iter-density-1pct,baseline,1,33.753489
u64,sip,128,iter-density-1pct,quick_cache,1,22.738518
u64,sip,128,iter-density-1pct,lru,1,1.282904
u64,sip,128,iter-density-1pct,hashlink,1,1.262443
u64,sip,128,iter-density-1pct,micro,1,1.515034
u64,sip,128,iter-density-1pct,quick_cache,2,22.876903
u64,sip,128,iter-density-1pct,lru,2,1.282041
u64,sip,128,iter-density-1pct,hashlink,2,1.260721
u64,sip,128,iter-density-1pct,micro,2,1.511897
