key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,43.157173
u64,sip,128,iter-dense,baseline,0,41.960023
u64,sip,128,iter-dense,quick_cache,0,29.563156
u64,sip,128,iter-dense,lru,0,140.760942
u64,sip,128,iter-dense,hashlink,0,137.737472
u64,sip,128,iter-dense,baseline,1,38.369737
u64,sip,128,iter-dense,quick_cache,1,27.570947
u64,sip,128,iter-dense,lru,1,127.813905
u64,sip,128,iter-dense,hashlink,1,127.840530
u64,sip,128,iter-dense,micro,1,36.934110
u64,sip,128,iter-dense,quick_cache,2,28.133581
u64,sip,128,iter-dense,lru,2,130.164967
u64,sip,128,iter-dense,hashlink,2,132.415254
u64,sip,128,iter-dense,micro,2,37.176132
u64,sip,128,iter-dense,baseline,2,38.439168
u64,sip,128,iter-dense,lru,3,132.968617
u64,sip,128,iter-dense,hashlink,3,129.606965
u64,sip,128,iter-dense,micro,3,36.752616
u64,sip,128,iter-dense,baseline,3,38.059775
u64,sip,128,iter-dense,quick_cache,3,29.137965
u64,sip,128,iter-dense,hashlink,4,130.913892
u64,sip,128,iter-dense,micro,4,37.286619
u64,sip,128,iter-dense,baseline,4,37.926972
u64,sip,128,iter-dense,quick_cache,4,28.349130
u64,sip,128,iter-dense,lru,4,128.127126
u64,sip,128,iter-dense,micro,5,37.114014
u64,sip,128,iter-dense,baseline,5,37.836077
u64,sip,128,iter-dense,quick_cache,5,27.934042
u64,sip,128,iter-dense,lru,5,135.896739
u64,sip,128,iter-dense,hashlink,5,127.918499
u64,sip,128,iter-dense,baseline,6,37.184674
u64,sip,128,iter-dense,quick_cache,6,28.537168
u64,sip,128,iter-dense,lru,6,127.370721
u64,sip,128,iter-dense,hashlink,6,126.760417
u64,sip,128,iter-dense,micro,6,37.466345
u64,sip,128,iter-dense,quick_cache,7,28.698445
u64,sip,128,iter-dense,lru,7,134.711746
u64,sip,128,iter-dense,hashlink,7,127.175092
u64,sip,128,iter-dense,micro,7,37.946022
u64,sip,128,iter-dense,baseline,7,38.127318
u64,sip,128,iter-dense,lru,8,135.138694
u64,sip,128,iter-dense,hashlink,8,127.827754
u64,sip,128,iter-dense,micro,8,37.712657
u64,sip,128,iter-dense,baseline,8,38.717945
u64,sip,128,iter-dense,quick_cache,8,28.500496
u64,sip,128,iter-dense-for,micro,0,38.686610
u64,sip,128,iter-dense-for,baseline,0,39.336490
u64,sip,128,iter-dense-for,quick_cache,0,67.627204
u64,sip,128,iter-dense-for,lru,0,78.977040
u64,sip,128,iter-dense-for,hashlink,0,68.447492
u64,sip,128,iter-dense-for,baseline,1,38.121592
u64,sip,128,iter-dense-for,quick_cache,1,65.884209
u64,sip,128,iter-dense-for,lru,1,77.697223
u64,sip,128,iter-dense-for,hashlink,1,68.623284
u64,sip,128,iter-dense-for,micro,1,37.710455
u64,sip,128,iter-dense-for,quick_cache,2,65.619647
u64,sip,128,iter-dense-for,lru,2,78.332550
u64,sip,128,iter-dense-for,hashlink,2,73.203308
u64,sip,128,iter-dense-for,micro,2,37.559834
u64,sip,128,iter-dense-for,baseline,2,38.098161
u64,sip,128,iter-dense-for,lru,3,80.737910
u64,sip,128,iter-dense-for,hashlink,3,70.991637
u64,sip,128,iter-dense-for,micro,3,37.584739
u64,sip,128,iter-dense-for,baseline,3,38.845645
u64,sip,128,iter-dense-for,quick_cache,3,68.506012
u64,sip,128,iter-dense-for,hashlink,4,69.297977
u64,sip,128,iter-dense-for,micro,4,38.228313
u64,sip,128,iter-dense-for,baseline,4,38.813788
u64,sip,128,iter-dense-for,quick_cache,4,67.355321
u64,sip,128,iter-dense-for,lru,4,77.709318
u64,sip,128,iter-dense-for,micro,5,37.967938
u64,sip,128,iter-dense-for,baseline,5,38.244792
u64,sip,128,iter-dense-for,quick_cache,5,66.223623
u64,sip,128,iter-dense-for,lru,5,81.981375
u64,sip,128,iter-dense-for,hashlink,5,68.651142
u64,sip,128,iter-dense-for,baseline,6,38.344517
u64,sip,128,iter-dense-for,quick_cache,6,67.490191
u64,sip,128,iter-dense-for,lru,6,79.413189
u64,sip,128,iter-dense-for,hashlink,6,69.533446
u64,sip,128,iter-dense-for,micro,6,38.171967
u64,sip,128,iter-dense-for,quick_cache,7,68.734430
u64,sip,128,iter-dense-for,lru,7,78.428798
u64,sip,128,iter-dense-for,hashlink,7,68.722405
u64,sip,128,iter-dense-for,micro,7,38.008734
u64,sip,128,iter-dense-for,baseline,7,38.260016
u64,sip,128,iter-dense-for,lru,8,81.016719
u64,sip,128,iter-dense-for,hashlink,8,71.478185
u64,sip,128,iter-dense-for,micro,8,37.718931
u64,sip,128,iter-dense-for,baseline,8,38.422501
u64,sip,128,iter-dense-for,quick_cache,8,66.225278
u64,sip,128,iter-density-1pct,micro,0,32.558327
u64,sip,128,iter-density-1pct,baseline,0,31.683502
u64,sip,128,iter-density-1pct,quick_cache,0,21.890248
u64,sip,128,iter-density-1pct,lru,0,1.304116
u64,sip,128,iter-density-1pct,hashlink,0,1.266947
u64,sip,128,iter-density-1pct,baseline,1,33.400012
u64,sip,128,iter-density-1pct,quick_cache,1,23.163226
u64,sip,128,iter-density-1pct,lru,1,1.289660
u64,sip,128,iter-density-1pct,hashlink,1,1.261607
u64,sip,128,iter-density-1pct,micro,1,34.209904
u64,sip,128,iter-density-1pct,quick_cache,2,23.191113
u64,sip,128,iter-density-1pct,lru,2,1.289266
