key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,42.791544
u64,sip,128,iter-dense,baseline,0,41.040934
u64,sip,128,iter-dense,quick_cache,0,28.740430
u64,sip,128,iter-dense,lru,0,132.973055
u64,sip,128,iter-dense,hashlink,0,127.322119
u64,sip,128,iter-dense,baseline,1,37.444959
u64,sip,128,iter-dense,quick_cache,1,28.761113
u64,sip,128,iter-dense,lru,1,127.452284
u64,sip,128,iter-dense,hashlink,1,128.143135
u64,sip,128,iter-dense,micro,1,37.716102
u64,sip,128,iter-dense,quick_cache,2,28.472633
u64,sip,128,iter-dense,lru,2,127.286060
u64,sip,128,iter-dense,hashlink,2,127.672258
u64,sip,128,iter-dense,micro,2,37.894914
u64,sip,128,iter-dense,baseline,2,38.260338
u64,sip,128,iter-dense,lru,3,127.387683
u64,sip,128,iter-dense,hashlink,3,132.904416
u64,sip,128,iter-dense,micro,3,38.415614
u64,sip,128,iter-dense,baseline,3,38.222580
u64,sip,128,iter-dense,quick_cache,3,28.480670
u64,sip,128,iter-dense,hashlink,4,127.918499
u64,sip,128,iter-dense,micro,4,38.148880
u64,sip,128,iter-dense,baseline,4,38.198370
u64,sip,128,iter-dense,quick_cache,4,28.650131
u64,sip,128,iter-dense,lru,4,128.596808
u64,sip,128,iter-dense,micro,5,37.901899
u64,sip,128,iter-dense,baseline,5,38.115793
u64,sip,128,iter-dense,quick_cache,5,28.409091
u64,sip,128,iter-dense,lru,5,128.680144
u64,sip,128,iter-dense,hashlink,5,127.662658
u64,sip,128,iter-dense,baseline,6,37.882258
u64,sip,128,iter-dense,quick_cache,6,28.521542
u64,sip,128,iter-dense,lru,6,134.265598
u64,sip,128,iter-dense,hashlink,6,133.307571
u64,sip,128,iter-dense,micro,6,37.547678
u64,sip,128,iter-dense,quick_cache,7,28.364574
u64,sip,128,iter-dense,lru,7,128.255742
u64,sip,128,iter-dense,hashlink,7,128.117546
u64,sip,128,iter-dense,micro,7,38.522346
u64,sip,128,iter-dense,baseline,7,38.174195
u64,sip,128,iter-dense,lru,8,129.248733
u64,sip,128,iter-dense,hashlink,8,127.833069
u64,sip,128,iter-dense,micro,8,37.746573
u64,sip,128,iter-dense,baseline,8,38.453110
u64,sip,128,iter-dense,quick_cache,8,28.421795
u64,sip,128,iter-dense-for,micro,0,38.374363
u64,sip,128,iter-dense-for,baseline,0,38.201555
u64,sip,128,iter-dense-for,quick_cache,0,65.716884
u64,sip,128,iter-dense-for,lru,0,79.899045
u64,sip,128,iter-dense-for,hashlink,0,72.546715
u64,sip,128,iter-dense-for,baseline,1,37.721134
u64,sip,128,iter-dense-for,quick_cache,1,38.252249
u64,sip,128,iter-dense-for,lru,1,77.519810
u64,sip,128,iter-dense-for,hashlink,1,68.776023
u64,sip,128,iter-dense-for,micro,1,38.067144
u64,sip,128,iter-dense-for,quick_cache,2,46.779127
u64,sip,128,iter-dense-for,lru,2,77.697663
u64,sip,128,iter-dense-for,hashlink,2,69.546437
u64,sip,128,iter-dense-for,micro,2,36.594643
u64,sip,128,iter-dense-for,baseline,2,37.860431
u64,sip,128,iter-dense-for,lru,3,77.356652
u64,sip,128,iter-dense-for,hashlink,3,68.355383
u64,sip,128,iter-dense-for,micro,3,37.802620
u64,sip,128,iter-dense-for,baseline,3,37.879735
u64,sip,128,iter-dense-for,quick_cache,3,65.959951
u64,sip,128,iter-dense-for,hashlink,4,72.215082
u64,sip,128,iter-dense-for,micro,4,37.761675
u64,sip,128,iter-dense-for,baseline,4,38.218330
u64,sip,128,iter-dense-for,quick_cache,4,66.259988
u64,sip,128,iter-dense-for,lru,4,77.833852
u64,sip,128,iter-dense-for,micro,5,37.954290
u64,sip,128,iter-dense-for,baseline,5,37.903794
u64,sip,128,iter-dense-for,quick_cache,5,66.711348
u64,sip,128,iter-dense-for,lru,5,78.099622
u64,sip,128,iter-dense-for,hashlink,5,68.502370
u64,sip,128,iter-dense-for,baseline,6,37.647495
u64,sip,128,iter-dense-for,quick_cache,6,66.316756
u64,sip,128,iter-dense-for,lru,6,77.612308
u64,sip,128,iter-dense-for,hashlink,6,68.153524
u64,sip,128,iter-dense-for,micro,6,37.986403
u64,sip,128,iter-dense-for,quick_cache,7,65.976981
u64,sip,128,iter-dense-for,lru,7,84.063172
u64,sip,128,iter-dense-for,hashlink,7,68.830953
u64,sip,128,iter-dense-for,micro,7,37.947600
u64,sip,128,iter-dense-for,baseline,7,38.197415
u64,sip,128,iter-dense-for,lru,8,77.450725
u64,sip,128,iter-dense-for,hashlink,8,68.842346
u64,sip,128,iter-dense-for,micro,8,37.690379
u64,sip,128,iter-dense-for,baseline,8,37.959345
u64,sip,128,iter-dense-for,quick_cache,8,66.364782
u64,sip,128,iter-density-1pct,micro,0,32.360640
u64,sip,128,iter-density-1pct,baseline,0,32.244970
u64,sip,128,iter-density-1pct,quick_cache,0,22.082237
u64,sip,128,iter-density-1pct,lru,0,1.250610
u64,sip,128,iter-density-1pct,hashlink,0,1.252746
u64,sip,128,iter-density-1pct,baseline,1,32.614322
u64,sip,128,iter-density-1pct,quick_cache,1,21.068748
u64,sip,128,iter-density-1pct,lru,1,1.286209
u64,sip,128,iter-density-1pct,hashlink,1,1.265818
u64,sip,128,iter-density-1pct,micro,1,32.513609
u64,sip,128,iter-density-1pct,quick_cache,2,20.660824
u64,sip,128,iter-density-1pct,lru,2,1.276563
u64,sip,128,iter-density-1pct,hashlink,2,1.273068
u64,sip,128,iter-density-1pct,micro,2,32.538257
u64,sip,128,iter-density-1pct,baseline,2,32.340012
u64,sip,128,iter-density-1pct,lru,3,1.287471
u64,sip,128,iter-density-1pct,hashlink,3,1.262545
u64,sip,128,iter-density-1pct,micro,3,32.522002
u64,sip,128,iter-density-1pct,baseline,3,32.321833
u64,sip,128,iter-density-1pct,quick_cache,3,19.560098
u64,sip,128,iter-density-1pct,hashlink,4,1.241696
u64,sip,128,iter-density-1pct,micro,4,32.312183
u64,sip,128,iter-density-1pct,baseline,4,33.657017
u64,sip,128,iter-density-1pct,quick_cache,4,20.738118
u64,sip,128,iter-density-1pct,lru,4,1.295197
u64,sip,128,iter-density-1pct,micro,5,32.656302
u64,sip,128,iter-density-1pct,baseline,5,33.010588
u64,sip,128,iter-density-1pct,quick_cache,5,20.775522
u64,sip,128,iter-density-1pct,lru,5,1.285077
u64,sip,128,iter-density-1pct,hashlink,5,1.266823
u64,sip,128,iter-density-1pct,baseline,6,33.337723
u64,sip,128,iter-density-1pct,quick_cache,6,20.763786
u64,sip,128,iter-density-1pct,lru,6,1.290565
u64,sip,128,iter-density-1pct,hashlink,6,1.252957
u64,sip,128,iter-density-1pct,micro,6,33.181421
u64,sip,128,iter-density-1pct,quick_cache,7,20.860971
u64,sip,128,iter-density-1pct,lru,7,1.286866
u64,sip,128,iter-density-1pct,hashlink,7,1.276250
u64,sip,128,iter-density-1pct,micro,7,34.186878
u64,sip,128,iter-density-1pct,baseline,7,33.180175
u64,sip,128,iter-density-1pct,lru,8,1.290064
u64,sip,128,iter-density-1pct,hashlink,8,1.263596
u64,sip,128,iter-density-1pct,micro,8,33.490831
u64,sip,128,iter-density-1pct,baseline,8,32.924654
u64,sip,128,iter-density-1pct,quick_cache,8,20.739315
u64,sip,128,iter-density-6pct,micro,0,35.338810
u64,sip,128,iter-density-6pct,baseline,0,35.400204
u64,sip,128,iter-density-6pct,quick_cache,0,21.672014
u64,sip,128,iter-density-6pct,lru,0,3.210067
u64,sip,128,iter-density-6pct,hashlink,0,3.172202
u64,sip,128,iter-density-6pct,baseline,1,35.078213
u64,sip,128,iter-density-6pct,quick_cache,1,20.983529
u64,sip,128,iter-density-6pct,lru,1,3.218094
u64,sip,128,iter-density-6pct,hashlink,1,3.186564
u64,sip,128,iter-density-6pct,micro,1,35.958892
u64,sip,128,iter-density-6pct,quick_cache,2,21.255377
u64,sip,128,iter-density-6pct,lru,2,3.223631
u64,sip,128,iter-density-6pct,hashlink,2,3.164237
u64,sip,128,iter-density-6pct,micro,2,35.217877
u64,sip,128,iter-density-6pct,baseline,2,34.815138
u64,sip,128,iter-density-6pct,lru,3,3.203644
u64,sip,128,iter-density-6pct,hashlink,3,3.173066
u64,sip,128,iter-density-6pct,micro,3,35.265861
u64,sip,128,iter-density-6pct,baseline,3,35.208477
u64,sip,128,iter-density-6pct,quick_cache,3,21.018471
u64,sip,128,iter-density-6pct,hashlink,4,3.182087
u64,sip,128,iter-density-6pct,micro,4,34.988028
u64,sip,128,iter-density-6pct,baseline,4,33.930213
u64,sip,128,iter-density-6pct,quick_cache,4,19.760448
u64,sip,128,iter-density-6pct,lru,4,3.097494
u64,sip,128,iter-density-6pct,micro,5,34.873515
u64,sip,128,iter-density-6pct,baseline,5,34.653499
u64,sip,128,iter-density-6pct,quick_cache,5,20.016428
u64,sip,128,iter-density-6pct,lru,5,3.165251
u64,sip,128,iter-density-6pct,hashlink,5,3.179302
u64,sip,128,iter-density-6pct,baseline,6,34.969198
u64,sip,128,iter-density-6pct,quick_cache,6,20.098975
u64,sip,128,iter-density-6pct,lru,6,3.151716
u64,sip,128,iter-density-6pct,hashlink,6,3.142588
u64,sip,128,iter-density-6pct,micro,6,34.100829
u64,sip,128,iter-density-6pct,quick_cache,7,20.620101
u64,sip,128,iter-density-6pct,lru,7,3.157740
u64,sip,128,iter-density-6pct,hashlink,7,3.115094
u64,sip,128,iter-density-6pct,micro,7,34.162467
u64,sip,128,iter-density-6pct,baseline,7,33.856988
u64,sip,128,iter-density-6pct,lru,8,3.171005
u64,sip,128,iter-density-6pct,hashlink,8,3.188776
u64,sip,128,iter-density-6pct,micro,8,36.255017
u64,sip,128,iter-density-6pct,baseline,8,34.227820
u64,sip,128,iter-density-6pct,quick_cache,8,20.260538
u64,sip,128,iter-density-quarter,micro,0,36.493001
u64,sip,128,iter-density-quarter,baseline,0,35.700644
u64,sip,128,iter-density-quarter,quick_cache,0,24.319270
u64,sip,128,iter-density-quarter,lru,0,18.258534
u64,sip,128,iter-density-quarter,hashlink,0,18.129006
u64,sip,128,iter-density-quarter,baseline,1,35.594327
u64,sip,128,iter-density-quarter,quick_cache,1,24.108030
u64,sip,128,iter-density-quarter,lru,1,18.312636
u64,sip,128,iter-density-quarter,hashlink,1,18.105598
u64,sip,128,iter-density-quarter,micro,1,35.313086
u64,sip,128,iter-density-quarter,quick_cache,2,24.412079
u64,sip,128,iter-density-quarter,lru,2,18.421823
u64,sip,128,iter-density-quarter,hashlink,2,19.642061
u64,sip,128,iter-density-quarter,micro,2,39.051435
u64,sip,128,iter-density-quarter,baseline,2,37.492690
u64,sip,128,iter-density-quarter,lru,3,18.969919
u64,sip,128,iter-density-quarter,hashlink,3,19.154097
u64,sip,128,iter-density-quarter,micro,3,36.526176
u64,sip,128,iter-density-quarter,baseline,3,39.187226
u64,sip,128,iter-density-quarter,quick_cache,3,42.750017
u64,sip,128,iter-density-quarter,hashlink,4,18.111454
u64,sip,128,iter-density-quarter,micro,4,35.802069
u64,sip,128,iter-density-quarter,baseline,4,35.168263
u64,sip,128,iter-density-quarter,quick_cache,4,24.170007
u64,sip,128,iter-density-quarter,lru,4,18.232814
u64,sip,128,iter-density-quarter,micro,5,35.168263
u64,sip,128,iter-density-quarter,baseline,5,34.490413
u64,sip,128,iter-density-quarter,quick_cache,5,23.517057
u64,sip,128,iter-density-quarter,lru,5,17.837800
