key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,41.135068
u64,sip,128,iter-dense,baseline,0,39.752456
u64,sip,128,iter-dense,quick_cache,0,28.954164
u64,sip,128,iter-dense,lru,0,137.775330
u64,sip,128,iter-dense,hashlink,0,132.955331
u64,sip,128,iter-dense,baseline,1,38.956674
u64,sip,128,iter-dense,quick_cache,1,29.257501
u64,sip,128,iter-dense,lru,1,131.545481
u64,sip,128,iter-dense,hashlink,1,130.844665
u64,sip,128,iter-dense,micro,1,39.348102
u64,sip,128,iter-dense,quick_cache,2,28.812195
u64,sip,128,iter-dense,lru,2,136.274875
u64,sip,128,iter-dense,hashlink,2,144.356937
u64,sip,128,iter-dense,micro,2,39.422182
u64,sip,128,iter-dense,baseline,2,38.732381
u64,sip,128,iter-dense,lru,3,131.460050
u64,sip,128,iter-dense,hashlink,3,132.146582
u64,sip,128,iter-dense,micro,3,39.254160
u64,sip,128,iter-dense,baseline,3,39.091491
u64,sip,128,iter-dense,quick_cache,3,28.738275
u64,sip,128,iter-dense,hashlink,4,133.842573
u64,sip,128,iter-dense,micro,4,39.181670
u64,sip,128,iter-dense,baseline,4,38.712550
u64,sip,128,iter-dense,quick_cache,4,28.772901
u64,sip,128,iter-dense,lru,4,133.763714
u64,sip,128,iter-dense,micro,5,39.619121
u64,sip,128,iter-dense,baseline,5,39.461340
u64,sip,128,iter-dense,quick_cache,5,28.974191
u64,sip,128,iter-dense,lru,5,142.643448
u64,sip,128,iter-dense,hashlink,5,144.376154
u64,sip,128,iter-dense,baseline,6,39.572249
u64,sip,128,iter-dense,quick_cache,6,28.373922
u64,sip,128,iter-dense,lru,6,129.397765
u64,sip,128,iter-dense,hashlink,6,129.911757
u64,sip,128,iter-dense,micro,6,39.097034
u64,sip,128,iter-dense,quick_cache,7,28.939769
u64,sip,128,iter-dense,lru,7,130.458316
u64,sip,128,iter-dense,hashlink,7,128.856863
u64,sip,128,iter-dense,micro,7,39.170218
u64,sip,128,iter-dense,baseline,7,38.612383
u64,sip,128,iter-dense,lru,8,128.950289
u64,sip,128,iter-dense,hashlink,8,128.743230
u64,sip,128,iter-dense,micro,8,38.950858
u64,sip,128,iter-dense,baseline,8,39.133264
u64,sip,128,iter-dense,quick_cache,8,29.422278
u64,sip,1024,iter-dense,micro,0,285.550639
u64,sip,1024,iter-dense,baseline,0,277.484597
u64,sip,1024,iter-dense,quick_cache,0,248.131597
u64,sip,1024,iter-dense,lru,0,1257.187500
u64,sip,1024,iter-dense,hashlink,0,1239.183563
u64,sip,1024,iter-dense,baseline,1,271.750435
u64,sip,1024,iter-dense,quick_cache,1,248.859674
u64,sip,1024,iter-dense,lru,1,1242.290923
u64,sip,1024,iter-dense,hashlink,1,1242.859375
u64,sip,1024,iter-dense,micro,1,272.717114
u64,sip,1024,iter-dense,quick_cache,2,247.950921
u64,sip,1024,iter-dense,lru,2,1246.486359
u64,sip,1024,iter-dense,hashlink,2,1231.647884
