key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,39.567968
u64,sip,128,iter-dense,baseline,0,39.337465
u64,sip,128,iter-dense,quick_cache,0,30.095381
u64,sip,128,iter-dense,lru,0,128.190576
u64,sip,128,iter-dense,hashlink,0,129.622072
u64,sip,128,iter-dense,baseline,1,37.972418
u64,sip,128,iter-dense,quick_cache,1,29.715428
u64,sip,128,iter-dense,lru,1,129.601550
u64,sip,128,iter-dense,hashlink,1,126.957885
u64,sip,128,iter-dense,micro,1,38.849803
u64,sip,128,iter-dense,quick_cache,2,29.793506
u64,sip,128,iter-dense,lru,2,133.780153
u64,sip,128,iter-dense,hashlink,2,130.161714
u64,sip,128,iter-dense,micro,2,39.698322
u64,sip,128,iter-dense,baseline,2,39.700965
u64,sip,128,iter-dense,lru,3,129.502822
u64,sip,128,iter-dense,hashlink,3,127.443918
u64,sip,128,iter-dense,micro,3,38.750938
u64,sip,128,iter-dense,baseline,3,37.801675
u64,sip,128,iter-dense,quick_cache,3,30.493396
u64,sip,128,iter-dense,hashlink,4,130.699336
u64,sip,128,iter-dense,micro,4,39.674037
u64,sip,128,iter-dense,baseline,4,37.745003
u64,sip,128,iter-dense,quick_cache,4,29.960902
u64,sip,128,iter-dense,lru,4,135.641574
u64,sip,128,iter-dense-for,micro,0,38.488108
u64,sip,128,iter-dense-for,baseline,0,38.757968
u64,sip,128,iter-dense-for,quick_cache,0,66.616595
u64,sip,128,iter-dense-for,lru,0,82.280822
u64,sip,128,iter-dense-for,hashlink,0,71.816234
u64,sip,128,iter-dense-for,baseline,1,38.844030
u64,sip,128,iter-dense-for,quick_cache,1,38.572336
u64,sip,128,iter-dense-for,lru,1,79.139636
u64,sip,128,iter-dense-for,hashlink,1,69.441942
u64,sip,128,iter-dense-for,micro,1,38.760556
u64,sip,128,iter-dense-for,quick_cache,2,38.581211
u64,sip,128,iter-dense-for,lru,2,82.616230
u64,sip,128,iter-dense-for,hashlink,2,68.818912
u64,sip,128,iter-dense-for,micro,2,38.870429
u64,sip,128,iter-dense-for,baseline,2,38.664979
u64,sip,128,iter-dense-for,lru,3,78.398602
u64,sip,128,iter-dense-for,hashlink,3,69.131358
u64,sip,128,iter-dense-for,micro,3,38.748032
u64,sip,128,iter-dense-for,baseline,3,37.429828
