key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,40.550735
u64,sip,128,iter-dense,baseline,0,37.848405
u64,sip,128,iter-dense,quick_cache,0,30.017702
u64,sip,128,iter-dense,lru,0,132.874522
u64,sip,128,iter-dense,hashlink,0,130.534670
u64,sip,128,iter-dense,baseline,1,39.224609
u64,sip,128,iter-dense,quick_cache,1,30.338466
u64,sip,128,iter-dense,lru,1,139.179152
u64,sip,128,iter-dense,hashlink,1,129.934487
u64,sip,128,iter-dense,micro,1,39.236748
u64,sip,128,iter-dense,quick_cache,2,29.839263
u64,sip,128,iter-dense,lru,2,132.829094
u64,sip,128,iter-dense,hashlink,2,128.814999
u64,sip,128,iter-dense,micro,2,39.329930
u64,sip,128,iter-dense,baseline,2,37.955550
u64,sip,128,iter-dense,lru,3,134.078849
u64,sip,128,iter-dense,hashlink,3,133.007527
u64,sip,128,iter-dense,micro,3,39.071289
u64,sip,128,iter-dense,baseline,3,38.249250
u64,sip,128,iter-dense,quick_cache,3,30.197766
u64,sip,128,iter-dense,hashlink,4,129.912848
u64,sip,128,iter-dense,micro,4,38.424099
u64,sip,128,iter-dense,baseline,4,39.834191
u64,sip,128,iter-dense,quick_cache,4,30.490348
u64,sip,128,iter-dense,lru,4,133.595967
u64,sip,128,iter-dense,micro,5,39.792622
u64,sip,128,iter-dense,baseline,5,38.852390
u64,sip,128,iter-dense,quick_cache,5,29.866041
u64,sip,128,iter-dense,lru,5,134.948888
u64,sip,128,iter-dense,hashlink,5,131.519160
u64,sip,128,iter-dense,baseline,6,38.237980
u64,sip,128,iter-dense,quick_cache,6,29.974643
u64,sip,128,iter-dense,lru,6,138.658579
u64,sip,128,iter-dense,hashlink,6,131.171796
u64,sip,128,iter-dense,micro,6,39.361618
u64,sip,128,iter-dense,quick_cache,7,30.227726
u64,sip,128,iter-dense,lru,7,136.726733
u64,sip,128,iter-dense,hashlink,7,139.801571
u64,sip,128,iter-dense,micro,7,39.941207
u64,sip,128,iter-dense,baseline,7,38.976755
u64,sip,128,iter-dense,lru,8,135.399751
u64,sip,128,iter-dense,hashlink,8,131.780512
u64,sip,128,iter-dense,micro,8,39.610068
u64,sip,128,iter-dense,baseline,8,38.543144
u64,sip,128,iter-dense,quick_cache,8,29.729916
u64,sip,128,iter-dense-for,micro,0,39.687579
u64,sip,128,iter-dense-for,baseline,0,38.910436
u64,sip,128,iter-dense-for,quick_cache,0,68.616591
u64,sip,128,iter-dense-for,lru,0,81.439568
u64,sip,128,iter-dense-for,hashlink,0,71.135127
u64,sip,128,iter-dense-for,baseline,1,38.596528
u64,sip,128,iter-dense-for,quick_cache,1,68.238264
u64,sip,128,iter-dense-for,lru,1,81.414795
u64,sip,128,iter-dense-for,hashlink,1,74.304193
u64,sip,128,iter-dense-for,micro,1,40.653860
u64,sip,128,iter-dense-for,quick_cache,2,39.273569
u64,sip,128,iter-dense-for,lru,2,84.162813
u64,sip,128,iter-dense-for,hashlink,2,71.999036
u64,sip,128,iter-dense-for,micro,2,39.531558
u64,sip,128,iter-dense-for,baseline,2,39.119532
u64,sip,128,iter-dense-for,lru,3,81.995737
u64,sip,128,iter-dense-for,hashlink,3,72.762090
u64,sip,128,iter-dense-for,micro,3,39.350392
