key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,56.266227
u64,sip,128,iter-dense,baseline,0,40.814818
u64,sip,128,iter-dense,quick_cache,0,29.192159
u64,sip,128,iter-dense,lru,0,132.599343
u64,sip,128,iter-dense,hashlink,0,131.959836
u64,sip,128,iter-dense,baseline,1,38.733267
u64,sip,128,iter-dense,quick_cache,1,29.091092
u64,sip,128,iter-dense,lru,1,135.138694
u64,sip,128,iter-dense,hashlink,1,132.439513
u64,sip,128,iter-dense,micro,1,55.328175
u64,sip,128,iter-dense,quick_cache,2,28.829134
u64,sip,128,iter-dense,lru,2,134.764520
u64,sip,128,iter-dense,hashlink,2,132.105875
u64,sip,128,iter-dense,micro,2,53.098719
u64,sip,128,iter-dense,baseline,2,38.942772
u64,sip,128,iter-dense,lru,3,132.777108
u64,sip,128,iter-dense,hashlink,3,134.682090
u64,sip,128,iter-dense,micro,3,55.814732
u64,sip,128,iter-dense,baseline,3,40.370972
u64,sip,128,iter-dense,quick_cache,3,28.778436
u64,sip,128,iter-dense,hashlink,4,135.842040
u64,sip,128,iter-dense,micro,4,55.525942
u64,sip,128,iter-dense,baseline,4,40.809382
u64,sip,128,iter-dense,quick_cache,4,28.855269
u64,sip,128,iter-dense,lru,4,135.953370
u64,sip,128,iter-dense,micro,5,53.193956
u64,sip,128,iter-dense,baseline,5,38.952798
u64,sip,128,iter-dense,quick_cache,5,28.766885
u64,sip,128,iter-dense,lru,5,135.421198
u64,sip,128,iter-dense,hashlink,5,133.098648
u64,sip,128,iter-dense,baseline,6,38.795160
u64,sip,128,iter-dense,quick_cache,6,28.801575
u64,sip,128,iter-dense,lru,6,136.604922
u64,sip,128,iter-dense,hashlink,6,137.182863
u64,sip,128,iter-dense,micro,6,55.844856
u64,sip,128,iter-dense,quick_cache,7,28.773620
u64,sip,128,iter-dense,lru,7,135.713921
u64,sip,128,iter-dense,hashlink,7,132.251798
u64,sip,128,iter-dense,micro,7,53.557210
u64,sip,128,iter-dense,baseline,7,39.047531
u64,sip,128,iter-dense,lru,8,129.005079
u64,sip,128,iter-dense,hashlink,8,133.035239
u64,sip,128,iter-dense,micro,8,53.793298
u64,sip,128,iter-dense,baseline,8,38.599957
u64,sip,128,iter-dense,quick_cache,8,28.725299
u64,sip,128,iter-front,micro,0,1.008513
u64,sip,128,iter-front,baseline,0,38.600273
u64,sip,128,iter-front,quick_cache,0,22.516661
u64,sip,128,iter-front,lru,0,1.233773
u64,sip,128,iter-front,hashlink,0,1.169028
u64,sip,128,iter-front,baseline,1,38.017343
u64,sip,128,iter-front,quick_cache,1,22.301917
u64,sip,128,iter-front,lru,1,1.197685
u64,sip,128,iter-front,hashlink,1,1.173409
u64,sip,128,iter-front,micro,1,1.012546
u64,sip,128,iter-front,quick_cache,2,22.943510
u64,sip,128,iter-front,lru,2,1.204452
u64,sip,128,iter-front,hashlink,2,1.169729
u64,sip,128,iter-front,micro,2,1.005606
u64,sip,128,iter-front,baseline,2,38.612707
u64,sip,128,iter-front,lru,3,1.197364
u64,sip,128,iter-front,hashlink,3,1.161641
