key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,38.026596
u64,sip,128,iter-dense,baseline,0,43.428710
u64,sip,128,iter-dense,quick_cache,0,31.229185
u64,sip,128,iter-dense,lru,0,146.347846
u64,sip,128,iter-dense,hashlink,0,142.620894
u64,sip,128,iter-dense,baseline,1,39.574560
u64,sip,128,iter-dense,quick_cache,1,29.389811
u64,sip,128,iter-dense,lru,1,135.035487
u64,sip,128,iter-dense,hashlink,1,127.944072
u64,sip,128,iter-dense,micro,1,31.987007
u64,sip,128,iter-dense,quick_cache,2,28.729621
u64,sip,128,iter-dense,lru,2,129.487728
u64,sip,128,iter-dense,hashlink,2,127.312576
u64,sip,128,iter-dense,micro,2,32.067111
u64,sip,128,iter-dense,baseline,2,38.121912
u64,sip,128,iter-dense,lru,3,127.422703
u64,sip,128,iter-dense,hashlink,3,127.083333
u64,sip,128,iter-dense,micro,3,31.910481
u64,sip,128,iter-dense,baseline,3,38.312661
u64,sip,128,iter-dense,quick_cache,3,28.740672
u64,sip,128,iter-dense,hashlink,4,128.529323
u64,sip,128,iter-dense,micro,4,33.776218
u64,sip,128,iter-dense,baseline,4,40.801444
u64,sip,128,iter-dense,quick_cache,4,29.468385
u64,sip,128,iter-dense,lru,4,127.867354
u64,sip,128,iter-dense,micro,5,32.074758
u64,sip,128,iter-dense,baseline,5,38.697801
u64,sip,128,iter-dense,quick_cache,5,28.535028
u64,sip,128,iter-dense,lru,5,128.029663
u64,sip,128,iter-dense,hashlink,5,129.201085
u64,sip,128,iter-dense,baseline,6,37.369978
u64,sip,128,iter-dense,quick_cache,6,28.410273
u64,sip,128,iter-dense,lru,6,126.854835
u64,sip,128,iter-dense,hashlink,6,126.856965
u64,sip,128,iter-dense,micro,6,31.814625
u64,sip,128,iter-dense,quick_cache,7,28.439445
u64,sip,128,iter-dense,lru,7,128.972850
u64,sip,128,iter-dense,hashlink,7,130.009021
u64,sip,128,iter-dense,micro,7,32.492241
u64,sip,128,iter-dense,baseline,7,39.398363
u64,sip,128,iter-dense,lru,8,128.866550
u64,sip,128,iter-dense,hashlink,8,127.854354
u64,sip,128,iter-dense,micro,8,32.011883
u64,sip,128,iter-dense,baseline,8,38.180338
u64,sip,128,iter-dense,quick_cache,8,28.490577
u64,sip,128,iter-dense-for,micro,0,38.866265
u64,sip,128,iter-dense-for,baseline,0,38.421218
u64,sip,128,iter-dense-for,quick_cache,0,66.442243
u64,sip,128,iter-dense-for,lru,0,78.615568
u64,sip,128,iter-dense-for,hashlink,0,70.974781
u64,sip,128,iter-dense-for,baseline,1,37.892080
u64,sip,128,iter-dense-for,quick_cache,1,38.036491
u64,sip,128,iter-dense-for,lru,1,77.370189
u64,sip,128,iter-dense-for,hashlink,1,69.720687
u64,sip,128,iter-dense-for,micro,1,38.477345
u64,sip,128,iter-dense-for,quick_cache,2,39.074222
u64,sip,128,iter-dense-for,lru,2,79.845586
u64,sip,128,iter-dense-for,hashlink,2,69.209934
u64,sip,128,iter-dense-for,micro,2,38.424099
u64,sip,128,iter-dense-for,baseline,2,38.309466
u64,sip,128,iter-dense-for,lru,3,78.050215
u64,sip,128,iter-dense-for,hashlink,3,68.423790
u64,sip,128,iter-dense-for,micro,3,38.322692
u64,sip,128,iter-dense-for,baseline,3,38.443973
u64,sip,128,iter-dense-for,quick_cache,3,37.992151
u64,sip,128,iter-dense-for,hashlink,4,68.926555
u64,sip,128,iter-dense-for,micro,4,38.291649
u64,sip,128,iter-dense-for,baseline,4,38.181934
u64,sip,128,iter-dense-for,quick_cache,4,37.998541
u64,sip,128,iter-dense-for,lru,4,78.308304
u64,sip,128,iter-dense-for,micro,5,38.261929
u64,sip,128,iter-dense-for,baseline,5,39.702958
u64,sip,128,iter-dense-for,quick_cache,5,38.363660
u64,sip,128,iter-dense-for,lru,5,78.813146
u64,sip,128,iter-dense-for,hashlink,5,68.395555
u64,sip,128,iter-dense-for,baseline,6,37.893020
u64,sip,128,iter-dense-for,quick_cache,6,38.024316
u64,sip,128,iter-dense-for,lru,6,77.471059
u64,sip,128,iter-dense-for,hashlink,6,68.911665
u64,sip,128,iter-dense-for,micro,6,38.339579
u64,sip,128,iter-dense-for,quick_cache,7,38.018613
u64,sip,128,iter-dense-for,lru,7,78.181669
u64,sip,128,iter-dense-for,hashlink,7,68.181555
u64,sip,128,iter-dense-for,micro,7,38.319818
u64,sip,128,iter-dense-for,baseline,7,38.153008
u64,sip,128,iter-dense-for,lru,8,78.075565
u64,sip,128,iter-dense-for,hashlink,8,70.412796
u64,sip,128,iter-dense-for,micro,8,38.781661
u64,sip,128,iter-dense-for,baseline,8,38.745134
u64,sip,128,iter-dense-for,quick_cache,8,38.324286
u64,sip,128,iter-density-1pct,micro,0,1.508700
u64,sip,128,iter-density-1pct,baseline,0,32.630932
u64,sip,128,iter-density-1pct,quick_cache,0,22.358049
u64,sip,128,iter-density-1pct,lru,0,1.268006
u64,sip,128,iter-density-1pct,hashlink,0,1.263412
u64,sip,128,iter-density-1pct,baseline,1,32.413529
u64,sip,128,iter-density-1pct,quick_cache,1,20.772920
u64,sip,128,iter-density-1pct,lru,1,1.270935
u64,sip,128,iter-density-1pct,hashlink,1,1.250951
u64,sip,128,iter-density-1pct,micro,1,1.516974
u64,sip,128,iter-density-1pct,quick_cache,2,20.862191
u64,sip,128,iter-density-1pct,lru,2,1.279406
u64,sip,128,iter-density-1pct,hashlink,2,1.277095
u64,sip,128,iter-density-1pct,micro,2,1.538861
u64,sip,128,iter-density-1pct,baseline,2,34.118846
u64,sip,128,iter-density-1pct,lru,3,1.273307
u64,sip,128,iter-density-1pct,hashlink,3,1.275469
u64,sip,128,iter-density-1pct,micro,3,1.523662
u64,sip,128,iter-density-1pct,baseline,3,32.769141
u64,sip,128,iter-density-1pct,quick_cache,3,20.664763
u64,sip,128,iter-density-1pct,hashlink,4,1.260162
u64,sip,128,iter-density-1pct,micro,4,1.518361
u64,sip,128,iter-density-1pct,baseline,4,32.580862
u64,sip,128,iter-density-1pct,quick_cache,4,21.731754
u64,sip,128,iter-density-1pct,lru,4,1.267944
u64,sip,128,iter-density-1pct,micro,5,1.549546
u64,sip,128,iter-density-1pct,baseline,5,32.516860
u64,sip,128,iter-density-1pct,quick_cache,5,20.701192
u64,sip,128,iter-density-1pct,lru,5,1.343554
u64,sip,128,iter-density-1pct,hashlink,5,1.287343
u64,sip,128,iter-density-1pct,baseline,6,34.751174
u64,sip,128,iter-density-1pct,quick_cache,6,20.607362
u64,sip,128,iter-density-1pct,lru,6,1.304322
u64,sip,128,iter-density-1pct,hashlink,6,1.274709
u64,sip,128,iter-density-1pct,micro,6,1.537515
u64,sip,128,iter-density-1pct,quick_cache,7,21.019694
u64,sip,128,iter-density-1pct,lru,7,1.283094
u64,sip,128,iter-density-1pct,hashlink,7,1.265428
u64,sip,128,iter-density-1pct,micro,7,1.537452
u64,sip,128,iter-density-1pct,baseline,7,33.229288
u64,sip,128,iter-density-1pct,lru,8,1.286940
u64,sip,128,iter-density-1pct,hashlink,8,1.264373
u64,sip,128,iter-density-1pct,micro,8,1.533803
u64,sip,128,iter-density-1pct,baseline,8,32.871168
u64,sip,128,iter-density-1pct,quick_cache,8,20.798495
u64,sip,128,iter-density-6pct,micro,0,32.611318
u64,sip,128,iter-density-6pct,baseline,0,37.137848
u64,sip,128,iter-density-6pct,quick_cache,0,20.747241
u64,sip,128,iter-density-6pct,lru,0,3.083278
u64,sip,128,iter-density-6pct,hashlink,0,3.046106
u64,sip,128,iter-density-6pct,baseline,1,35.086671
u64,sip,128,iter-density-6pct,quick_cache,1,20.747241
u64,sip,128,iter-density-6pct,lru,1,3.184864
u64,sip,128,iter-density-6pct,hashlink,1,3.054741
u64,sip,128,iter-density-6pct,micro,1,32.230862
