key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,33.516496
u64,sip,128,iter-dense,baseline,0,40.867163
u64,sip,128,iter-dense,quick_cache,0,31.212290
u64,sip,128,iter-dense,lru,0,146.960438
u64,sip,128,iter-dense,hashlink,0,149.710908
u64,sip,128,iter-dense,baseline,1,40.059504
u64,sip,128,iter-dense,quick_cache,1,30.866550
u64,sip,128,iter-dense,lru,1,149.345332
u64,sip,128,iter-dense,hashlink,1,148.223993
u64,sip,128,iter-dense,micro,1,34.940498
u64,sip,128,iter-dense,quick_cache,2,30.916879
u64,sip,128,iter-dense,lru,2,143.067132
u64,sip,128,iter-dense,hashlink,2,137.713381
u64,sip,128,iter-dense,micro,2,35.121425
u64,sip,128,iter-dense,baseline,2,41.021265
u64,sip,128,iter-dense,lru,3,141.801838
u64,sip,128,iter-dense,hashlink,3,138.423356
u64,sip,128,iter-dense,micro,3,32.661770
u64,sip,128,iter-dense,baseline,3,39.024124
u64,sip,128,iter-dense,quick_cache,3,29.425467
u64,sip,128,iter-dense,hashlink,4,135.473083
u64,sip,128,iter-dense,micro,4,33.595766
u64,sip,128,iter-dense,baseline,4,39.898870
u64,sip,128,iter-dense,quick_cache,4,29.296143
u64,sip,128,iter-dense,lru,4,136.297570
u64,sip,128,iter-dense-for,micro,0,40.179770
u64,sip,128,iter-dense-for,baseline,0,40.235244
u64,sip,128,iter-dense-for,quick_cache,0,39.974522
u64,sip,128,iter-dense-for,lru,0,82.523495
u64,sip,128,iter-dense-for,hashlink,0,70.284397
u64,sip,128,iter-dense-for,baseline,1,39.577001
u64,sip,128,iter-dense-for,quick_cache,1,40.530723
u64,sip,128,iter-dense-for,lru,1,81.314500
u64,sip,128,iter-dense-for,hashlink,1,72.053423
u64,sip,128,iter-dense-for,micro,1,39.264361
u64,sip,128,iter-dense-for,quick_cache,2,68.185537
u64,sip,128,iter-dense-for,lru,2,83.884779
u64,sip,128,iter-dense-for,hashlink,2,71.458005
u64,sip,128,iter-dense-for,micro,2,39.427856
u64,sip,128,iter-dense-for,baseline,2,40.324258
u64,sip,128,iter-dense-for,lru,3,83.452216
u64,sip,128,iter-dense-for,hashlink,3,73.530632
u64,sip,128,iter-dense-for,micro,3,40.626560
u64,sip,128,iter-dense-for,baseline,3,40.440403
u64,sip,128,iter-dense-for,quick_cache,3,68.825228
u64,sip,128,iter-dense-for,hashlink,4,74.127950
u64,sip,128,iter-dense-for,micro,4,40.015469
u64,sip,128,iter-dense-for,baseline,4,39.761252
u64,sip,128,iter-dense-for,quick_cache,4,70.224719
u64,sip,128,iter-dense-for,lru,4,82.504917
u64,sip,128,iter-density-1pct,micro,0,1.536412
u64,sip,128,iter-density-1pct,baseline,0,34.797894
