key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,57.483220
u64,sip,128,iter-dense,baseline,0,40.528016
u64,sip,128,iter-dense,quick_cache,0,29.428555
u64,sip,128,iter-dense,lru,0,137.988664
u64,sip,128,iter-dense,hashlink,0,138.095600
u64,sip,128,iter-dense,baseline,1,39.337143
u64,sip,128,iter-dense,quick_cache,1,29.334393
u64,sip,128,iter-dense,lru,1,134.869553
u64,sip,128,iter-dense,hashlink,1,132.072371
u64,sip,128,iter-dense,micro,1,54.074751
u64,sip,128,iter-dense,quick_cache,2,28.900615
u64,sip,128,iter-dense,lru,2,135.673231
u64,sip,128,iter-dense,hashlink,2,132.867852
u64,sip,128,iter-dense,micro,2,54.552967
u64,sip,128,iter-dense,baseline,2,39.750803
u64,sip,128,iter-dense,lru,3,140.904447
u64,sip,128,iter-dense,hashlink,3,132.418898
u64,sip,128,iter-dense,micro,3,53.562575
u64,sip,128,iter-dense,baseline,3,39.238051
u64,sip,128,iter-dense,quick_cache,3,29.161661
u64,sip,128,iter-dense,hashlink,4,135.960163
u64,sip,128,iter-dense,micro,4,54.100684
u64,sip,128,iter-dense,baseline,4,40.233168
u64,sip,128,iter-dense,quick_cache,4,28.997872
u64,sip,128,iter-dense,lru,4,136.231746
u64,sip,128,iter-dense,micro,5,53.660414
u64,sip,128,iter-dense,baseline,5,39.002059
u64,sip,128,iter-dense,quick_cache,5,28.873672
u64,sip,128,iter-dense,lru,5,137.119655
u64,sip,128,iter-dense,hashlink,5,134.983781
u64,sip,128,iter-dense,baseline,6,39.198685
u64,sip,128,iter-dense,quick_cache,6,29.342964
u64,sip,128,iter-dense,lru,6,136.424466
u64,sip,128,iter-dense,hashlink,6,131.907068
u64,sip,128,iter-dense,micro,6,53.555871
u64,sip,128,iter-dense,quick_cache,7,28.777964
u64,sip,128,iter-dense,lru,7,135.847660
u64,sip,128,iter-dense,hashlink,7,134.135810
u64,sip,128,iter-dense,micro,7,54.132296
u64,sip,128,iter-dense,baseline,7,39.101922
u64,sip,128,iter-dense,lru,8,134.550479
u64,sip,128,iter-dense,hashlink,8,132.759399
u64,sip,128,iter-dense,micro,8,54.058749
u64,sip,128,iter-dense,baseline,8,39.265005
u64,sip,128,iter-dense,quick_cache,8,28.696051
u64,sip,128,iter-front,micro,0,1.154125
u64,sip,128,iter-front,baseline,0,38.403616
u64,sip,128,iter-front,quick_cache,0,61.135258
u64,sip,128,iter-front,lru,0,3.198894
u64,sip,128,iter-front,hashlink,0,2.965314
u64,sip,128,iter-front,baseline,1,56.338805
u64,sip,128,iter-front,quick_cache,1,28.558982
u64,sip,128,iter-front,lru,1,1.199828
u64,sip,128,iter-front,hashlink,1,1.168600
u64,sip,128,iter-front,micro,1,1.146924
u64,sip,128,iter-front,quick_cache,2,20.917524
u64,sip,128,iter-front,lru,2,1.247196
u64,sip,128,iter-front,hashlink,2,1.149370
u64,sip,128,iter-front,micro,2,1.109888
u64,sip,128,iter-front,baseline,2,35.305997
u64,sip,128,iter-front,lru,3,1.194271
u64,sip,128,iter-front,hashlink,3,1.126508
u64,sip,128,iter-front,micro,3,1.169072
u64,sip,128,iter-front,baseline,3,38.353929
