key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-density-1pct,micro,0,1.573039
u64,sip,128,iter-density-1pct,baseline,0,35.249655
u64,sip,128,iter-density-1pct,quick_cache,0,25.208617
u64,sip,128,iter-density-1pct,lru,0,1.452934
u64,sip,128,iter-density-1pct,hashlink,0,1.317931
u64,sip,128,iter-density-1pct,baseline,1,35.263209
u64,sip,128,iter-density-1pct,quick_cache,1,21.527694
u64,sip,128,iter-density-1pct,lru,1,1.400391
u64,sip,128,iter-density-1pct,hashlink,1,1.296035
u64,sip,128,iter-density-1pct,micro,1,1.603169
u64,sip,128,iter-density-1pct,quick_cache,2,21.439713
u64,sip,128,iter-density-1pct,lru,2,1.415052
u64,sip,128,iter-density-1pct,hashlink,2,1.315834
u64,sip,128,iter-density-1pct,micro,2,1.572862
u64,sip,128,iter-density-1pct,baseline,2,35.697550
u64,sip,128,iter-density-1pct,lru,3,1.439336
u64,sip,128,iter-density-1pct,hashlink,3,1.277053
u64,sip,128,iter-density-1pct,micro,3,1.548041
u64,sip,128,iter-density-1pct,baseline,3,34.357190
u64,sip,128,iter-density-1pct,quick_cache,3,21.403853
u64,sip,128,iter-density-1pct,hashlink,4,1.296014
u64,sip,128,iter-density-1pct,micro,4,1.542951
u64,sip,128,iter-density-1pct,baseline,4,34.506217
u64,sip,128,iter-density-1pct,quick_cache,4,21.383960
u64,sip,128,iter-density-1pct,lru,4,1.390335
u64,sip,128,iter-density-6pct,micro,0,39.401971
u64,sip,128,iter-density-6pct,baseline,0,39.119212
u64,sip,128,iter-density-6pct,quick_cache,0,20.932230
u64,sip,128,iter-density-6pct,lru,0,3.112240
u64,sip,128,iter-density-6pct,hashlink,0,3.071072
u64,sip,128,iter-density-6pct,baseline,1,39.029650
u64,sip,128,iter-density-6pct,quick_cache,1,20.934167
u64,sip,128,iter-density-6pct,lru,1,3.101086
u64,sip,128,iter-density-6pct,hashlink,1,3.018099
u64,sip,128,iter-density-6pct,micro,1,38.043148
u64,sip,128,iter-density-6pct,quick_cache,2,23.987796
u64,sip,128,iter-density-6pct,lru,2,3.475649
u64,sip,128,iter-density-6pct,hashlink,2,3.219512
u64,sip,128,iter-density-6pct,micro,2,37.782142
u64,sip,128,iter-density-6pct,baseline,2,37.136607
u64,sip,128,iter-density-6pct,lru,3,3.494177
u64,sip,128,iter-density-6pct,hashlink,3,3.233276
u64,sip,128,iter-density-6pct,micro,3,37.359177
u64,sip,128,iter-density-6pct,baseline,3,36.579639
u64,sip,128,iter-density-6pct,quick_cache,3,20.822403
u64,sip,128,iter-density-6pct,hashlink,4,3.202107
u64,sip,128,iter-density-6pct,micro,4,37.356682
u64,sip,128,iter-density-6pct,baseline,4,36.184591
u64,sip,128,iter-density-6pct,quick_cache,4,20.884327
u64,sip,128,iter-density-6pct,lru,4,3.468167
u64,sip,128,iter-density-quarter,micro,0,37.575702
u64,sip,128,iter-density-quarter,baseline,0,38.211530
u64,sip,128,iter-density-quarter,quick_cache,0,26.745187
u64,sip,128,iter-density-quarter,lru,0,19.730015
u64,sip,128,iter-density-quarter,hashlink,0,19.454249
u64,sip,128,iter-density-quarter,baseline,1,37.241569
u64,sip,128,iter-density-quarter,quick_cache,1,26.671931
u64,sip,128,iter-density-quarter,lru,1,19.781479
u64,sip,128,iter-density-quarter,hashlink,1,19.370324
u64,sip,128,iter-density-quarter,micro,1,38.005510
u64,sip,128,iter-density-quarter,quick_cache,2,26.248147
u64,sip,128,iter-density-quarter,lru,2,19.492429
u64,sip,128,iter-density-quarter,hashlink,2,19.514503
u64,sip,128,iter-density-quarter,micro,2,37.349008
u64,sip,128,iter-density-quarter,baseline,2,37.196940
u64,sip,128,iter-density-quarter,lru,3,19.428773
u64,sip,128,iter-density-quarter,hashlink,3,19.424266
u64,sip,128,iter-density-quarter,micro,3,37.510689
u64,sip,128,iter-density-quarter,baseline,3,37.067059
u64,sip,128,iter-density-quarter,quick_cache,3,25.676245
u64,sip,128,iter-density-quarter,hashlink,4,19.233136
u64,sip,128,iter-density-quarter,micro,4,36.950653
u64,sip,128,iter-density-quarter,baseline,4,37.255603
u64,sip,128,iter-density-quarter,quick_cache,4,25.970038
u64,sip,128,iter-density-quarter,lru,4,19.757294
u64,sip,128,iter-density-half,micro,0,38.316952
u64,sip,128,iter-density-half,baseline,0,38.928204
u64,sip,128,iter-density-half,quick_cache,0,33.578864
u64,sip,128,iter-density-half,lru,0,51.969883
u64,sip,128,iter-density-half,hashlink,0,51.180018
u64,sip,128,iter-density-half,baseline,1,38.343420
u64,sip,128,iter-density-half,quick_cache,1,34.394714
u64,sip,128,iter-density-half,lru,1,52.801235
u64,sip,128,iter-density-half,hashlink,1,50.599933
u64,sip,128,iter-density-half,micro,1,38.033889
u64,sip,128,iter-density-half,quick_cache,2,34.455106
u64,sip,128,iter-density-half,lru,2,53.679288
u64,sip,128,iter-density-half,hashlink,2,50.558830
u64,sip,128,iter-density-half,micro,2,38.537176
u64,sip,128,iter-density-half,baseline,2,39.836844
u64,sip,128,iter-density-half,lru,3,63.322170
u64,sip,128,iter-density-half,hashlink,3,54.654720
u64,sip,128,iter-density-half,micro,3,37.364688
u64,sip,128,iter-density-half,baseline,3,38.067776
u64,sip,128,iter-density-half,quick_cache,3,33.527878
u64,sip,128,iter-density-half,hashlink,4,52.155916
u64,sip,128,iter-density-half,micro,4,38.144656
u64,sip,128,iter-density-half,baseline,4,38.465135
u64,sip,128,iter-density-half,quick_cache,4,33.338556
u64,sip,128,iter-density-half,lru,4,52.528456
u64,sip,1024,iter-density-1pct,micro,0,6.269058
u64,sip,1024,iter-density-1pct,baseline,0,305.811216
u64,sip,1024,iter-density-1pct,quick_cache,0,165.615599
u64,sip,1024,iter-density-1pct,lru,0,4.525127
u64,sip,1024,iter-density-1pct,hashlink,0,4.368918
u64,sip,1024,iter-density-1pct,baseline,1,313.481087
u64,sip,1024,iter-density-1pct,quick_cache,1,168.955507
u64,sip,1024,iter-density-1pct,lru,1,4.493854
u64,sip,1024,iter-density-1pct,hashlink,1,4.363428
u64,sip,1024,iter-density-1pct,micro,1,6.295790
u64,sip,1024,iter-density-1pct,quick_cache,2,171.303087
u64,sip,1024,iter-density-1pct,lru,2,4.513548
u64,sip,1024,iter-density-1pct,hashlink,2,4.346146
u64,sip,1024,iter-density-1pct,micro,2,6.290215
u64,sip,1024,iter-density-1pct,baseline,2,310.874317
u64,sip,1024,iter-density-1pct,lru,3,4.561320
u64,sip,1024,iter-density-1pct,hashlink,3,4.370140
u64,sip,1024,iter-density-1pct,micro,3,6.325504
u64,sip,1024,iter-density-1pct,baseline,3,310.014418
u64,sip,1024,iter-density-1pct,quick_cache,3,167.694944
u64,sip,1024,iter-density-1pct,hashlink,4,4.378100
u64,sip,1024,iter-density-1pct,micro,4,6.316660
u64,sip,1024,iter-density-1pct,baseline,4,313.914533
u64,sip,1024,iter-density-1pct,quick_cache,4,168.836359
u64,sip,1024,iter-density-1pct,lru,4,4.558356
u64,sip,1024,iter-density-6pct,micro,0,327.933962
u64,sip,1024,iter-density-6pct,baseline,0,313.382014
u64,sip,1024,iter-density-6pct,quick_cache,0,165.983844
u64,sip,1024,iter-density-6pct,lru,0,55.310199
u64,sip,1024,iter-density-6pct,hashlink,0,54.589264
u64,sip,1024,iter-density-6pct,baseline,1,304.406311
u64,sip,1024,iter-density-6pct,quick_cache,1,167.161029
u64,sip,1024,iter-density-6pct,lru,1,55.482062
u64,sip,1024,iter-density-6pct,hashlink,1,54.801641
u64,sip,1024,iter-density-6pct,micro,1,304.175766
u64,sip,1024,iter-density-6pct,quick_cache,2,165.354960
u64,sip,1024,iter-density-6pct,lru,2,54.789775
