key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,49.018458
u64,sip,128,iter-dense,baseline,0,44.086812
u64,sip,128,iter-dense,quick_cache,0,31.628953
u64,sip,128,iter-dense,lru,0,146.467901
u64,sip,128,iter-dense,hashlink,0,143.621726
u64,sip,128,iter-dense,baseline,1,40.103966
u64,sip,128,iter-dense,quick_cache,1,28.562294
u64,sip,128,iter-dense,lru,1,136.502702
u64,sip,128,iter-dense,hashlink,1,128.757156
u64,sip,128,iter-dense,micro,1,36.892668
u64,sip,128,iter-dense,quick_cache,2,28.276602
u64,sip,128,iter-dense,lru,2,128.214084
u64,sip,128,iter-dense,hashlink,2,128.213033
u64,sip,128,iter-dense,micro,2,38.403938
u64,sip,128,iter-dense,baseline,2,36.201051
u64,sip,128,iter-dense,lru,3,129.288591
u64,sip,128,iter-dense,hashlink,3,128.610468
u64,sip,128,iter-dense,micro,3,36.677739
u64,sip,128,iter-dense,baseline,3,37.063664
u64,sip,128,iter-dense,quick_cache,3,28.448377
u64,sip,128,iter-dense,hashlink,4,128.429078
u64,sip,128,iter-dense,micro,4,37.448081
u64,sip,128,iter-dense,baseline,4,37.979063
u64,sip,128,iter-dense,quick_cache,4,28.316005
u64,sip,128,iter-dense,lru,4,128.029663
u64,sip,128,iter-dense,micro,5,37.524331
u64,sip,128,iter-dense,baseline,5,37.401082
u64,sip,128,iter-dense,quick_cache,5,28.291491
u64,sip,128,iter-dense,lru,5,129.305831
u64,sip,128,iter-dense,hashlink,5,132.313056
u64,sip,128,iter-dense,baseline,6,37.480264
u64,sip,128,iter-dense,quick_cache,6,28.354042
u64,sip,128,iter-dense,lru,6,129.750182
u64,sip,128,iter-dense,hashlink,6,126.618396
u64,sip,128,iter-dense,micro,6,37.544240
u64,sip,128,iter-dense,quick_cache,7,28.657299
u64,sip,128,iter-dense,lru,7,128.423711
u64,sip,128,iter-dense,hashlink,7,127.163446
u64,sip,128,iter-dense,micro,7,37.408479
u64,sip,128,iter-dense,baseline,7,37.895869
u64,sip,128,iter-dense,lru,8,128.315091
u64,sip,128,iter-dense,hashlink,8,127.441804
u64,sip,128,iter-dense,micro,8,37.487752
u64,sip,128,iter-dense,baseline,8,37.409721
u64,sip,128,iter-dense,quick_cache,8,28.442249
u64,sip,128,iter-dense-for,micro,0,38.622891
u64,sip,128,iter-dense-for,baseline,0,36.360480
u64,sip,128,iter-dense-for,quick_cache,0,64.874442
u64,sip,128,iter-dense-for,lru,0,77.063039
u64,sip,128,iter-dense-for,hashlink,0,69.486897
u64,sip,128,iter-dense-for,baseline,1,37.675032
u64,sip,128,iter-dense-for,quick_cache,1,69.027095
u64,sip,128,iter-dense-for,lru,1,81.690244
u64,sip,128,iter-dense-for,hashlink,1,68.202232
u64,sip,128,iter-dense-for,micro,1,38.290056
u64,sip,128,iter-dense-for,quick_cache,2,66.320071
u64,sip,128,iter-dense-for,lru,2,77.153258
u64,sip,128,iter-dense-for,hashlink,2,68.277755
u64,sip,128,iter-dense-for,micro,2,38.728508
u64,sip,128,iter-dense-for,baseline,2,38.519457
u64,sip,128,iter-dense-for,lru,3,81.927509
u64,sip,128,iter-dense-for,hashlink,3,69.817960
u64,sip,128,iter-dense-for,micro,3,39.473944
u64,sip,128,iter-dense-for,baseline,3,38.073876
u64,sip,128,iter-dense-for,quick_cache,3,66.019526
u64,sip,128,iter-dense-for,hashlink,4,69.335071
u64,sip,128,iter-dense-for,micro,4,38.348351
u64,sip,128,iter-dense-for,baseline,4,38.020522
u64,sip,128,iter-dense-for,quick_cache,4,66.934890
u64,sip,128,iter-dense-for,lru,4,77.875872
u64,sip,128,iter-dense-for,micro,5,38.217695
u64,sip,128,iter-dense-for,baseline,5,38.102048
u64,sip,128,iter-dense-for,quick_cache,5,66.383018
u64,sip,128,iter-dense-for,lru,5,77.344137
u64,sip,128,iter-dense-for,hashlink,5,68.463466
u64,sip,128,iter-dense-for,baseline,6,37.877492
u64,sip,128,iter-dense-for,quick_cache,6,66.462197
u64,sip,128,iter-dense-for,lru,6,79.841594
u64,sip,128,iter-dense-for,hashlink,6,74.223706
u64,sip,128,iter-dense-for,micro,6,36.745202
u64,sip,128,iter-dense-for,quick_cache,7,64.207041
u64,sip,128,iter-dense-for,lru,7,77.462339
u64,sip,128,iter-dense-for,hashlink,7,68.840047
u64,sip,128,iter-dense-for,micro,7,36.502745
u64,sip,128,iter-dense-for,baseline,7,36.868806
u64,sip,128,iter-dense-for,lru,8,77.747326
u64,sip,128,iter-dense-for,hashlink,8,68.554688
u64,sip,128,iter-dense-for,micro,8,36.911638
u64,sip,128,iter-dense-for,baseline,8,36.928772
u64,sip,128,iter-dense-for,quick_cache,8,37.320068
u64,sip,128,iter-density-1pct,micro,0,1.500038
u64,sip,128,iter-density-1pct,baseline,0,31.167680
u64,sip,128,iter-density-1pct,quick_cache,0,20.169437
u64,sip,128,iter-density-1pct,lru,0,1.261851
u64,sip,128,iter-density-1pct,hashlink,0,1.265572
u64,sip,128,iter-density-1pct,baseline,1,32.439096
u64,sip,128,iter-density-1pct,quick_cache,1,20.001448
u64,sip,128,iter-density-1pct,lru,1,1.263372
u64,sip,128,iter-density-1pct,hashlink,1,1.243346
u64,sip,128,iter-density-1pct,micro,1,1.506140
u64,sip,128,iter-density-1pct,quick_cache,2,20.433360
u64,sip,128,iter-density-1pct,lru,2,1.280108
u64,sip,128,iter-density-1pct,hashlink,2,1.255393
u64,sip,128,iter-density-1pct,micro,2,1.529778
u64,sip,128,iter-density-1pct,baseline,2,31.291193
u64,sip,128,iter-density-1pct,lru,3,1.246609
u64,sip,128,iter-density-1pct,hashlink,3,1.258497
u64,sip,128,iter-density-1pct,micro,3,1.531292
u64,sip,128,iter-density-1pct,baseline,3,31.409655
u64,sip,128,iter-density-1pct,quick_cache,3,20.294237
u64,sip,128,iter-density-1pct,hashlink,4,1.261872
u64,sip,128,iter-density-1pct,micro,4,1.538149
u64,sip,128,iter-density-1pct,baseline,4,31.804441
u64,sip,128,iter-density-1pct,quick_cache,4,20.157939
u64,sip,128,iter-density-1pct,lru,4,1.269046
u64,sip,128,iter-density-1pct,micro,5,1.533532
u64,sip,128,iter-density-1pct,baseline,5,31.274752
u64,sip,128,iter-density-1pct,quick_cache,5,20.318766
u64,sip,128,iter-density-1pct,lru,5,1.257414
u64,sip,128,iter-density-1pct,hashlink,5,1.250881
u64,sip,128,iter-density-1pct,baseline,6,31.437544
u64,sip,128,iter-density-1pct,quick_cache,6,20.162129
u64,sip,128,iter-density-1pct,lru,6,1.250901
u64,sip,128,iter-density-1pct,hashlink,6,1.247724
u64,sip,128,iter-density-1pct,micro,6,1.537621
u64,sip,128,iter-density-1pct,quick_cache,7,20.464498
u64,sip,128,iter-density-1pct,lru,7,1.304072
u64,sip,128,iter-density-1pct,hashlink,7,1.287290
u64,sip,128,iter-density-1pct,micro,7,1.545941
u64,sip,128,iter-density-1pct,baseline,7,32.051282
u64,sip,128,iter-density-1pct,lru,8,1.253771
u64,sip,128,iter-density-1pct,hashlink,8,1.264056
u64,sip,128,iter-density-1pct,micro,8,1.531953
u64,sip,128,iter-density-1pct,baseline,8,31.753791
u64,sip,128,iter-density-1pct,quick_cache,8,20.363333
u64,sip,128,iter-density-6pct,micro,0,34.002625
u64,sip,128,iter-density-6pct,baseline,0,33.981008
u64,sip,128,iter-density-6pct,quick_cache,0,20.579535
u64,sip,128,iter-density-6pct,lru,0,3.071796
u64,sip,128,iter-density-6pct,hashlink,0,3.088947
u64,sip,128,iter-density-6pct,baseline,1,33.938729
u64,sip,128,iter-density-6pct,quick_cache,1,20.083143
u64,sip,128,iter-density-6pct,lru,1,3.188060
u64,sip,128,iter-density-6pct,hashlink,1,3.173362
u64,sip,128,iter-density-6pct,micro,1,34.134038
u64,sip,128,iter-density-6pct,quick_cache,2,20.431199
u64,sip,128,iter-density-6pct,lru,2,3.179356
u64,sip,128,iter-density-6pct,hashlink,2,3.111708
u64,sip,128,iter-density-6pct,micro,2,34.466152
u64,sip,128,iter-density-6pct,baseline,2,33.540593
u64,sip,128,iter-density-6pct,lru,3,3.195754
u64,sip,128,iter-density-6pct,hashlink,3,3.122528
u64,sip,128,iter-density-6pct,micro,3,34.182531
u64,sip,128,iter-density-6pct,baseline,3,33.809376
u64,sip,128,iter-density-6pct,quick_cache,3,20.210416
u64,sip,128,iter-density-6pct,hashlink,4,3.112204
u64,sip,128,iter-density-6pct,micro,4,34.082490
u64,sip,128,iter-density-6pct,baseline,4,33.939292
u64,sip,128,iter-density-6pct,quick_cache,4,20.320119
u64,sip,128,iter-density-6pct,lru,4,3.197389
u64,sip,128,iter-density-6pct,micro,5,35.331704
u64,sip,128,iter-density-6pct,baseline,5,33.896251
u64,sip,128,iter-density-6pct,quick_cache,5,20.576825
u64,sip,128,iter-density-6pct,lru,5,3.166636
u64,sip,128,iter-density-6pct,hashlink,5,3.133423
u64,sip,128,iter-density-6pct,baseline,6,34.374313
u64,sip,128,iter-density-6pct,quick_cache,6,20.440067
u64,sip,128,iter-density-6pct,lru,6,3.190403
u64,sip,128,iter-density-6pct,hashlink,6,3.129935
u64,sip,128,iter-density-6pct,micro,6,34.210185
u64,sip,128,iter-density-6pct,quick_cache,7,20.267068
u64,sip,128,iter-density-6pct,lru,7,3.177647
u64,sip,128,iter-density-6pct,hashlink,7,3.118389
u64,sip,128,iter-density-6pct,micro,7,34.168509
u64,sip,128,iter-density-6pct,baseline,7,33.589101
u64,sip,128,iter-density-6pct,lru,8,3.048007
u64,sip,128,iter-density-6pct,hashlink,8,3.106362
u64,sip,128,iter-density-6pct,micro,8,34.646390
u64,sip,128,iter-density-6pct,baseline,8,33.802908
u64,sip,128,iter-density-6pct,quick_cache,8,22.557416
u64,sip,128,iter-density-quarter,micro,0,34.997319
u64,sip,128,iter-density-quarter,baseline,0,35.295078
u64,sip,128,iter-density-quarter,quick_cache,0,24.736905
u64,sip,128,iter-density-quarter,lru,0,18.207928
u64,sip,128,iter-density-quarter,hashlink,0,18.016434
u64,sip,128,iter-density-quarter,baseline,1,35.051978
u64,sip,128,iter-density-quarter,quick_cache,1,24.698628
u64,sip,128,iter-density-quarter,lru,1,18.089886
u64,sip,128,iter-density-quarter,hashlink,1,18.031286
u64,sip,128,iter-density-quarter,micro,1,35.326998
u64,sip,128,iter-density-quarter,quick_cache,2,25.198385
u64,sip,128,iter-density-quarter,lru,2,18.388213
u64,sip,128,iter-density-quarter,hashlink,2,18.546766
u64,sip,128,iter-density-quarter,micro,2,35.905431
u64,sip,128,iter-density-quarter,baseline,2,34.877232
u64,sip,128,iter-density-quarter,lru,3,18.361516
u64,sip,128,iter-density-quarter,hashlink,3,17.995084
u64,sip,128,iter-density-quarter,micro,3,35.212870
u64,sip,128,iter-density-quarter,baseline,3,35.188506
u64,sip,128,iter-density-quarter,quick_cache,3,28.369724
u64,sip,128,iter-density-quarter,hashlink,4,18.613818
u64,sip,128,iter-density-quarter,micro,4,34.304967
u64,sip,128,iter-density-quarter,baseline,4,34.699089
u64,sip,128,iter-density-quarter,quick_cache,4,24.405064
u64,sip,128,iter-density-quarter,lru,4,18.054051
u64,sip,128,iter-density-quarter,micro,5,35.485028
u64,sip,128,iter-density-quarter,baseline,5,35.066834
u64,sip,128,iter-density-quarter,quick_cache,5,24.664368
u64,sip,128,iter-density-quarter,lru,5,18.381264
u64,sip,128,iter-density-quarter,hashlink,5,18.587405
u64,sip,128,iter-density-quarter,baseline,6,34.801009
u64,sip,128,iter-density-quarter,quick_cache,6,24.690823
u64,sip,128,iter-density-quarter,lru,6,18.459436
u64,sip,128,iter-density-quarter,hashlink,6,17.927995
u64,sip,128,iter-density-quarter,micro,6,35.074116
u64,sip,128,iter-density-quarter,quick_cache,7,24.694315
u64,sip,128,iter-density-quarter,lru,7,18.258986
u64,sip,128,iter-density-quarter,hashlink,7,18.149470
