key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,iter-dense,micro,0,40.693498
u64,sip,128,iter-dense,baseline,0,39.050787
u64,sip,128,iter-dense,quick_cache,0,30.970794
u64,sip,128,iter-dense,lru,0,139.856328
u64,sip,128,iter-dense,hashlink,0,134.281250
u64,sip,128,iter-dense,baseline,1,38.203576
u64,sip,128,iter-dense,quick_cache,1,29.673454
u64,sip,128,iter-dense,lru,1,134.934696
u64,sip,128,iter-dense,hashlink,1,130.757029
u64,sip,128,iter-dense,micro,1,39.269642
u64,sip,128,iter-dense,quick_cache,2,29.774736
u64,sip,128,iter-dense,lru,2,133.867107
u64,sip,128,iter-dense,hashlink,2,131.982211
u64,sip,128,iter-dense,micro,2,39.190847
u64,sip,128,iter-dense,baseline,2,38.322700
u64,sip,128,iter-dense,lru,3,132.809181
u64,sip,128,iter-dense,hashlink,3,131.036751
u64,sip,128,iter-dense,micro,3,40.709185
u64,sip,128,iter-dense,baseline,3,39.678819
u64,sip,128,iter-dense,quick_cache,3,34.835809
u64,sip,128,iter-dense,hashlink,4,135.342262
u64,sip,128,iter-dense,micro,4,38.587323
u64,sip,128,iter-dense,baseline,4,38.131848
u64,sip,128,iter-dense,quick_cache,4,29.607226
u64,sip,128,iter-dense,lru,4,130.002522
u64,sip,128,iter-dense,micro,5,39.103557
u64,sip,128,iter-dense,baseline,5,37.945711
u64,sip,128,iter-dense,quick_cache,5,29.617460
u64,sip,128,iter-dense,lru,5,130.568400
u64,sip,128,iter-dense,hashlink,5,127.506449
u64,sip,128,iter-dense,baseline,6,37.833248
u64,sip,128,iter-dense,quick_cache,6,29.707052
u64,sip,128,iter-dense,lru,6,130.683006
u64,sip,128,iter-dense,hashlink,6,129.808191
u64,sip,128,iter-dense,micro,6,39.343766
u64,sip,128,iter-dense,quick_cache,7,31.154213
u64,sip,128,iter-dense,lru,7,134.689922
u64,sip,128,iter-dense,hashlink,7,130.644910
u64,sip,128,iter-dense,micro,7,39.260435
u64,sip,128,iter-dense,baseline,7,38.210575
u64,sip,128,iter-dense,lru,8,129.629638
u64,sip,128,iter-dense,hashlink,8,128.064855
u64,sip,128,iter-dense,micro,8,39.075519
u64,sip,128,iter-dense,baseline,8,37.901270
u64,sip,128,iter-dense,quick_cache,8,29.665154
u64,sip,128,iter-dense-for,micro,0,39.238702
u64,sip,128,iter-dense-for,baseline,0,38.393543
u64,sip,128,iter-dense-for,quick_cache,0,67.430287
u64,sip,128,iter-dense-for,lru,0,79.838052
u64,sip,128,iter-dense-for,hashlink,0,70.838990
u64,sip,128,iter-dense-for,baseline,1,39.068359
u64,sip,128,iter-dense-for,quick_cache,1,39.915589
u64,sip,128,iter-dense-for,lru,1,82.597648
u64,sip,128,iter-dense-for,hashlink,1,71.447274
u64,sip,128,iter-dense-for,micro,1,39.491921
u64,sip,128,iter-dense-for,quick_cache,2,38.708996
u64,sip,128,iter-dense-for,lru,2,80.112506
u64,sip,128,iter-dense-for,hashlink,2,70.418713
u64,sip,128,iter-dense-for,micro,2,39.275854
u64,sip,128,iter-dense-for,baseline,2,38.361922
u64,sip,128,iter-dense-for,lru,3,79.887733
u64,sip,128,iter-dense-for,hashlink,3,69.672202
u64,sip,128,iter-dense-for,micro,3,39.103228
u64,sip,128,iter-dense-for,baseline,3,38.303906
u64,sip,128,iter-dense-for,quick_cache,3,38.504836
u64,sip,128,iter-dense-for,hashlink,4,71.425931
u64,sip,128,iter-dense-for,micro,4,39.297908
u64,sip,128,iter-dense-for,baseline,4,39.513211
u64,sip,128,iter-dense-for,quick_cache,4,39.056322
u64,sip,128,iter-dense-for,lru,4,82.150368
u64,sip,128,iter-dense-for,micro,5,39.244962
u64,sip,128,iter-dense-for,baseline,5,38.677359
u64,sip,128,iter-dense-for,quick_cache,5,38.601238
u64,sip,128,iter-dense-for,lru,5,80.531942
u64,sip,128,iter-dense-for,hashlink,5,70.198436
u64,sip,128,iter-dense-for,baseline,6,38.303585
u64,sip,128,iter-dense-for,quick_cache,6,38.405543
u64,sip,128,iter-dense-for,lru,6,81.173571
u64,sip,128,iter-dense-for,hashlink,6,72.481838
