key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,8.714376
u64,sip,128,get-hit,baseline,0,8.800982
u64,sip,128,get-hit,quick_cache,0,9.394888
u64,sip,128,get-hit,lru,0,12.074202
u64,sip,128,get-hit,hashlink,0,12.762400
u64,sip,128,get-hit,baseline,1,9.332760
u64,sip,128,get-hit,quick_cache,1,9.504472
u64,sip,128,get-hit,lru,1,11.468002
u64,sip,128,get-hit,hashlink,1,12.933189
u64,sip,128,get-hit,micro,1,9.359177
u64,sip,128,get-hit,quick_cache,2,9.497179
u64,sip,128,get-hit,lru,2,11.472984
u64,sip,128,get-hit,hashlink,2,13.275752
u64,sip,128,get-hit,micro,2,9.129593
u64,sip,128,get-hit,baseline,2,9.296808
u64,sip,128,get-hit,lru,3,11.846849
u64,sip,128,get-hit,hashlink,3,12.734622
u64,sip,128,get-hit,micro,3,8.985384
u64,sip,128,get-hit,baseline,3,8.891343
u64,sip,128,get-hit,quick_cache,3,9.300587
u64,sip,128,get-hit,hashlink,4,12.556775
u64,sip,128,get-hit,micro,4,8.869019
u64,sip,128,get-hit,baseline,4,8.934728
u64,sip,128,get-hit,quick_cache,4,9.300609
u64,sip,128,get-hit,lru,4,11.968678
u64,sip,128,get-hit,micro,5,8.906846
u64,sip,128,get-hit,baseline,5,8.969265
u64,sip,128,get-hit,quick_cache,5,9.487975
u64,sip,128,get-hit,lru,5,12.069434
u64,sip,128,get-hit,hashlink,5,12.864360
u64,sip,128,get-hit,baseline,6,9.171545
u64,sip,128,get-hit,quick_cache,6,9.295937
u64,sip,128,get-hit,lru,6,12.086385
u64,sip,128,get-hit,hashlink,6,12.677528
u64,sip,128,get-hit,micro,6,9.089309
u64,sip,128,get-hit,quick_cache,7,9.234300
u64,sip,128,get-hit,lru,7,12.071665
u64,sip,128,get-hit,hashlink,7,13.131402
u64,sip,128,get-hit,micro,7,9.232808
u64,sip,128,get-hit,baseline,7,9.404840
u64,sip,128,get-hit,lru,8,12.470638
u64,sip,128,get-hit,hashlink,8,14.234579
u64,sip,128,get-hit,micro,8,9.444355
u64,sip,128,get-hit,baseline,8,9.364953
u64,sip,128,get-hit,quick_cache,8,9.210741
u64,sip,128,get-miss,micro,0,9.033124
u64,sip,128,get-miss,baseline,0,9.117638
u64,sip,128,get-miss,quick_cache,0,9.336074
u64,sip,128,get-miss,lru,0,8.905319
u64,sip,128,get-miss,hashlink,0,10.582372
u64,sip,128,get-miss,baseline,1,9.085153
u64,sip,128,get-miss,quick_cache,1,9.374164
u64,sip,128,get-miss,lru,1,8.858149
u64,sip,128,get-miss,hashlink,1,10.611120
u64,sip,128,get-miss,micro,1,8.924407
u64,sip,128,get-miss,quick_cache,2,9.115814
u64,sip,128,get-miss,lru,2,8.830326
u64,sip,128,get-miss,hashlink,2,10.359781
u64,sip,128,get-miss,micro,2,8.823788
u64,sip,128,get-miss,baseline,2,8.811802
u64,sip,128,get-miss,lru,3,8.638909
u64,sip,128,get-miss,hashlink,3,10.411534
u64,sip,128,get-miss,micro,3,9.021045
u64,sip,128,get-miss,baseline,3,8.962195
u64,sip,128,get-miss,quick_cache,3,9.364051
u64,sip,128,get-miss,hashlink,4,10.750131
u64,sip,128,get-miss,micro,4,9.022057
u64,sip,128,get-miss,baseline,4,9.216219
u64,sip,128,get-miss,quick_cache,4,9.378028
u64,sip,128,get-miss,lru,4,8.936844
u64,sip,128,get-miss,micro,5,9.020948
u64,sip,128,get-miss,baseline,5,9.101979
u64,sip,128,get-miss,quick_cache,5,9.338507
u64,sip,128,get-miss,lru,5,8.990724
u64,sip,128,get-miss,hashlink,5,10.788553
u64,sip,128,get-miss,baseline,6,9.324444
u64,sip,128,get-miss,quick_cache,6,9.370866
u64,sip,128,get-miss,lru,6,8.864530
u64,sip,128,get-miss,hashlink,6,10.547205
u64,sip,128,get-miss,micro,6,9.016040
u64,sip,128,get-miss,quick_cache,7,9.376487
u64,sip,128,get-miss,lru,7,8.839467
u64,sip,128,get-miss,hashlink,7,10.325635
u64,sip,128,get-miss,micro,7,8.837990
u64,sip,128,get-miss,baseline,7,9.089519
u64,sip,128,get-miss,lru,8,8.713501
u64,sip,128,get-miss,hashlink,8,10.356950
u64,sip,128,get-miss,micro,8,9.037494
u64,sip,128,get-miss,baseline,8,8.999113
u64,sip,128,get-miss,quick_cache,8,9.350704
u64,sip,128,update,micro,0,8.933774
u64,sip,128,update,baseline,0,8.947674
u64,sip,128,update,quick_cache,0,15.045229
u64,sip,128,update,lru,0,11.735476
u64,sip,128,update,hashlink,0,12.714697
u64,sip,128,update,baseline,1,9.202885
u64,sip,128,update,quick_cache,1,14.969482
u64,sip,128,update,lru,1,12.527722
u64,sip,128,update,hashlink,1,13.534806
u64,sip,128,update,micro,1,9.436585
u64,sip,128,update,quick_cache,2,15.147991
