key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,mixed-95,micro,0,16.762873
u64,sip,128,mixed-95,baseline,0,16.134182
u64,sip,128,mixed-95,quick_cache,0,11.620800
u64,sip,128,mixed-95,lru,0,12.733877
u64,sip,128,mixed-95,hashlink,0,10.164181
u64,sip,128,mixed-95,baseline,1,12.485087
u64,sip,128,mixed-95,quick_cache,1,11.453767
u64,sip,128,mixed-95,lru,1,13.258199
u64,sip,128,mixed-95,hashlink,1,10.618587
u64,sip,128,mixed-95,micro,1,12.902955
u64,sip,128,mixed-95,quick_cache,2,12.329519
u64,sip,128,mixed-95,lru,2,12.460847
u64,sip,128,mixed-95,hashlink,2,10.047654
u64,sip,128,mixed-95,micro,2,13.091822
u64,sip,128,mixed-95,baseline,2,14.178793
u64,sip,128,mixed-95,lru,3,12.665490
u64,sip,128,mixed-95,hashlink,3,10.173460
u64,sip,128,mixed-95,micro,3,15.805026
u64,sip,128,mixed-95,baseline,3,15.688022
u64,sip,128,mixed-95,quick_cache,3,11.586448
u64,sip,128,mixed-95,hashlink,4,11.159321
u64,sip,128,mixed-95,micro,4,14.084935
u64,sip,128,mixed-95,baseline,4,14.084061
u64,sip,128,mixed-95,quick_cache,4,11.574069
u64,sip,128,mixed-95,lru,4,14.093240
u64,sip,128,mixed-95,micro,5,13.781428
u64,sip,128,mixed-95,baseline,5,15.448570
u64,sip,128,mixed-95,quick_cache,5,11.565129
u64,sip,128,mixed-95,lru,5,13.749619
u64,sip,128,mixed-95,hashlink,5,9.795149
u64,sip,128,mixed-95,baseline,6,14.124652
u64,sip,128,mixed-95,quick_cache,6,12.824972
u64,sip,128,mixed-95,lru,6,12.847682
u64,sip,128,mixed-95,hashlink,6,10.633191
u64,sip,128,mixed-95,micro,6,15.260240
u64,sip,128,mixed-95,quick_cache,7,12.404402
u64,sip,128,mixed-95,lru,7,12.590329
u64,sip,128,mixed-95,hashlink,7,9.977500
u64,sip,128,mixed-95,micro,7,15.551925
u64,sip,128,mixed-95,baseline,7,15.149295
u64,sip,128,mixed-95,lru,8,12.485504
u64,sip,128,mixed-95,hashlink,8,9.937247
u64,sip,128,mixed-95,micro,8,10.838211
u64,sip,128,mixed-95,baseline,8,14.816245
u64,sip,128,mixed-95,quick_cache,8,11.791090
u64,sip,1024,mixed-95,micro,0,15.214960
u64,sip,1024,mixed-95,baseline,0,14.751514
u64,sip,1024,mixed-95,quick_cache,0,12.988965
u64,sip,1024,mixed-95,lru,0,13.773998
u64,sip,1024,mixed-95,hashlink,0,10.313809
u64,sip,1024,mixed-95,baseline,1,14.473756
u64,sip,1024,mixed-95,quick_cache,1,12.689213
