key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,5.213420
u64,sip,128,get-hit,baseline,0,5.164633
u64,sip,128,get-hit,quick_cache,0,5.098836
u64,sip,128,get-hit,lru,0,5.830148
u64,sip,128,get-hit,hashlink,0,5.568149
u64,sip,128,get-hit,baseline,1,5.128577
u64,sip,128,get-hit,quick_cache,1,5.139103
u64,sip,128,get-hit,lru,1,5.925169
u64,sip,128,get-hit,hashlink,1,5.634719
u64,sip,128,get-hit,micro,1,5.202602
u64,sip,128,get-hit,quick_cache,2,5.134301
u64,sip,128,get-hit,lru,2,5.836932
u64,sip,128,get-hit,hashlink,2,5.593811
u64,sip,128,get-hit,micro,2,5.108444
u64,sip,128,get-hit,baseline,2,5.137690
u64,sip,128,get-hit,lru,3,5.817313
u64,sip,128,get-hit,hashlink,3,5.543495
u64,sip,128,get-hit,micro,3,5.120807
u64,sip,128,get-hit,baseline,3,5.131049
u64,sip,128,get-hit,quick_cache,3,5.094811
u64,sip,128,get-hit,hashlink,4,5.516622
u64,sip,128,get-hit,micro,4,5.117910
u64,sip,128,get-hit,baseline,4,5.129284
u64,sip,128,get-hit,quick_cache,4,5.082849
u64,sip,128,get-hit,lru,4,5.851221
u64,sip,128,get-miss,micro,0,4.445945
u64,sip,128,get-miss,baseline,0,4.448641
u64,sip,128,get-miss,quick_cache,0,4.496691
u64,sip,128,get-miss,lru,0,4.782805
u64,sip,128,get-miss,hashlink,0,4.403736
u64,sip,128,get-miss,baseline,1,4.392170
u64,sip,128,get-miss,quick_cache,1,4.459183
u64,sip,128,get-miss,lru,1,4.770056
u64,sip,128,get-miss,hashlink,1,4.452687
u64,sip,128,get-miss,micro,1,4.472065
u64,sip,128,get-miss,quick_cache,2,5.226817
u64,sip,128,get-miss,lru,2,4.877123
u64,sip,128,get-miss,hashlink,2,4.426949
u64,sip,128,get-miss,micro,2,4.544105
u64,sip,128,get-miss,baseline,2,4.629962
u64,sip,128,get-miss,lru,3,4.738245
u64,sip,128,get-miss,hashlink,3,4.388839
u64,sip,128,get-miss,micro,3,4.398042
u64,sip,128,get-miss,baseline,3,4.405733
u64,sip,128,get-miss,quick_cache,3,4.480750
u64,sip,128,get-miss,hashlink,4,4.413467
u64,sip,128,get-miss,micro,4,4.391019
u64,sip,128,get-miss,baseline,4,4.400283
u64,sip,128,get-miss,quick_cache,4,4.468096
u64,sip,128,get-miss,lru,4,4.747504
u64,sip,128,update,micro,0,5.043134
u64,sip,128,update,baseline,0,5.090642
u64,sip,128,update,quick_cache,0,9.069675
u64,sip,128,update,lru,0,5.545622
u64,sip,128,update,hashlink,0,13.647352
u64,sip,128,update,baseline,1,5.056651
u64,sip,128,update,quick_cache,1,8.916460
u64,sip,128,update,lru,1,5.484661
u64,sip,128,update,hashlink,1,11.806805
u64,sip,128,update,micro,1,5.152030
u64,sip,128,update,quick_cache,2,9.191001
u64,sip,128,update,lru,2,5.579090
u64,sip,128,update,hashlink,2,15.960916
u64,sip,128,update,micro,2,5.052609
u64,sip,128,update,baseline,2,5.135218
u64,sip,128,update,lru,3,5.553363
u64,sip,128,update,hashlink,3,16.432389
u64,sip,128,update,micro,3,5.133523
u64,sip,128,update,baseline,3,5.038815
u64,sip,128,update,quick_cache,3,8.981844
u64,sip,128,update,hashlink,4,15.928631
u64,sip,128,update,micro,4,5.121796
u64,sip,128,update,baseline,4,5.087111
u64,sip,128,update,quick_cache,4,8.964102
u64,sip,128,update,lru,4,5.461823
u64,sip,128,insert-cycle,micro,0,12.170188
u64,sip,128,insert-cycle,baseline,0,11.933884
u64,sip,128,insert-cycle,quick_cache,0,16.248090
u64,sip,128,insert-cycle,lru,0,25.233821
u64,sip,128,insert-cycle,hashlink,0,33.151627
u64,sip,128,insert-cycle,baseline,1,12.059844
u64,sip,128,insert-cycle,quick_cache,1,15.996707
u64,sip,128,insert-cycle,lru,1,25.467598
u64,sip,128,insert-cycle,hashlink,1,29.938367
u64,sip,128,insert-cycle,micro,1,12.173059
u64,sip,128,insert-cycle,quick_cache,2,16.115964
u64,sip,128,insert-cycle,lru,2,26.117796
u64,sip,128,insert-cycle,hashlink,2,30.489042
u64,sip,128,insert-cycle,micro,2,12.397145
u64,sip,128,insert-cycle,baseline,2,11.880189
u64,sip,128,insert-cycle,lru,3,25.478015
u64,sip,128,insert-cycle,hashlink,3,30.295724
u64,sip,128,insert-cycle,micro,3,12.185039
u64,sip,128,insert-cycle,baseline,3,12.030417
u64,sip,128,insert-cycle,quick_cache,3,15.837468
u64,sip,128,insert-cycle,hashlink,4,30.105669
u64,sip,128,insert-cycle,micro,4,12.179485
u64,sip,128,insert-cycle,baseline,4,11.862898
u64,sip,128,insert-cycle,quick_cache,4,15.960709
u64,sip,128,insert-cycle,lru,4,25.129584
u64,sip,128,mixed-95,micro,0,15.973350
u64,sip,128,mixed-95,baseline,0,14.098664
u64,sip,128,mixed-95,quick_cache,0,11.480411
u64,sip,128,mixed-95,lru,0,12.767037
u64,sip,128,mixed-95,hashlink,0,10.113498
u64,sip,128,mixed-95,baseline,1,15.250484
u64,sip,128,mixed-95,quick_cache,1,12.204746
u64,sip,128,mixed-95,lru,1,12.893538
u64,sip,128,mixed-95,hashlink,1,10.046780
u64,sip,128,mixed-95,micro,1,15.847723
u64,sip,128,mixed-95,quick_cache,2,12.167593
u64,sip,128,mixed-95,lru,2,12.709518
u64,sip,128,mixed-95,hashlink,2,10.355134
u64,sip,128,mixed-95,micro,2,16.069353
u64,sip,128,mixed-95,baseline,2,16.784091
u64,sip,128,mixed-95,lru,3,14.032125
u64,sip,128,mixed-95,hashlink,3,10.098159
u64,sip,128,mixed-95,micro,3,15.066663
u64,sip,128,mixed-95,baseline,3,16.202470
u64,sip,128,mixed-95,quick_cache,3,12.338996
u64,sip,128,mixed-95,hashlink,4,10.812581
u64,sip,128,mixed-95,micro,4,16.665399
u64,sip,128,mixed-95,baseline,4,16.162992
u64,sip,128,mixed-95,quick_cache,4,11.955440
u64,sip,128,mixed-95,lru,4,13.804873
u64,sip,128,load-hit,micro,0,7.424521
u64,sip,128,load-hit,baseline,0,7.389629
u64,sip,128,load-hit,quick_cache,0,8.499146
u64,sip,128,load-hit,lru,0,5.493545
u64,sip,128,load-hit,hashlink,0,5.357383
u64,sip,128,load-hit,baseline,1,7.572096
u64,sip,128,load-hit,quick_cache,1,8.506545
u64,sip,128,load-hit,lru,1,5.479348
u64,sip,128,load-hit,hashlink,1,5.368589
u64,sip,128,load-hit,micro,1,7.522999
u64,sip,128,load-hit,quick_cache,2,8.605128
u64,sip,128,load-hit,lru,2,5.552350
u64,sip,128,load-hit,hashlink,2,5.356792
u64,sip,128,load-hit,micro,2,7.430015
u64,sip,128,load-hit,baseline,2,7.397664
u64,sip,128,load-hit,lru,3,5.484435
u64,sip,128,load-hit,hashlink,3,5.382077
u64,sip,128,load-hit,micro,3,7.504728
u64,sip,128,load-hit,baseline,3,7.497048
u64,sip,128,load-hit,quick_cache,3,8.686038
u64,sip,128,load-hit,hashlink,4,5.411635
u64,sip,128,load-hit,micro,4,7.562027
u64,sip,128,load-hit,baseline,4,7.431538
u64,sip,128,load-hit,quick_cache,4,8.668412
u64,sip,128,load-hit,lru,4,5.565141
u64,sip,128,load-cycle,micro,0,16.845002
u64,sip,128,load-cycle,baseline,0,15.743844
u64,sip,128,load-cycle,quick_cache,0,17.074679
u64,sip,128,load-cycle,lru,0,26.518533
u64,sip,128,load-cycle,hashlink,0,32.717564
u64,sip,128,load-cycle,baseline,1,16.435153
u64,sip,128,load-cycle,quick_cache,1,17.151470
u64,sip,128,load-cycle,lru,1,26.785611
u64,sip,128,load-cycle,hashlink,1,32.473186
u64,sip,128,load-cycle,micro,1,15.927304
u64,sip,128,load-cycle,quick_cache,2,16.938120
u64,sip,128,load-cycle,lru,2,29.335527
u64,sip,128,load-cycle,hashlink,2,33.198511
u64,sip,128,load-cycle,micro,2,18.429036
u64,sip,128,load-cycle,baseline,2,50.313835
u64,sip,128,load-cycle,lru,3,30.839669
u64,sip,128,load-cycle,hashlink,3,32.563845
u64,sip,128,load-cycle,micro,3,15.871014
u64,sip,128,load-cycle,baseline,3,15.908338
u64,sip,128,load-cycle,quick_cache,3,16.767816
u64,sip,128,load-cycle,hashlink,4,31.385779
u64,sip,128,load-cycle,micro,4,16.017226
u64,sip,128,load-cycle,baseline,4,15.592534
u64,sip,128,load-cycle,quick_cache,4,16.895421
u64,sip,128,load-cycle,lru,4,25.884649
u64,sip,128,clear-refill,micro,0,884.271441
u64,sip,128,clear-refill,baseline,0,1263.970514
u64,sip,128,clear-refill,quick_cache,0,1237.032976
u64,sip,128,clear-refill,lru,0,4133.206612
u64,sip,128,clear-refill,hashlink,0,2989.873506
u64,sip,128,clear-refill,baseline,1,1414.721829
u64,sip,128,clear-refill,quick_cache,1,1231.124333
u64,sip,128,clear-refill,lru,1,4289.107143
u64,sip,128,clear-refill,hashlink,1,3033.619818
u64,sip,128,clear-refill,micro,1,866.086894
u64,sip,128,clear-refill,quick_cache,2,1292.151163
u64,sip,128,clear-refill,lru,2,4207.166667
u64,sip,128,clear-refill,hashlink,2,2995.384232
u64,sip,128,clear-refill,micro,2,889.753855
u64,sip,128,clear-refill,baseline,2,1323.904279
u64,sip,128,clear-refill,lru,3,4214.185393
u64,sip,128,clear-refill,hashlink,3,3001.208000
u64,sip,128,clear-refill,micro,3,867.840613
u64,sip,128,clear-refill,baseline,3,1602.853632
u64,sip,128,clear-refill,quick_cache,3,1339.397321
u64,sip,128,clear-refill,hashlink,4,3007.640281
u64,sip,128,clear-refill,micro,4,883.068570
u64,sip,128,clear-refill,baseline,4,1673.522030
u64,sip,128,clear-refill,quick_cache,4,1264.257480
u64,sip,128,clear-refill,lru,4,4275.166667
u64,sip,128,clear-empty,micro,0,0.367175
u64,sip,128,clear-empty,baseline,0,45.129087
u64,sip,128,clear-empty,quick_cache,0,1.772006
u64,sip,128,clear-empty,lru,0,0.590195
u64,sip,128,clear-empty,hashlink,0,0.597621
u64,sip,128,clear-empty,baseline,1,49.314355
u64,sip,128,clear-empty,quick_cache,1,1.791310
u64,sip,128,clear-empty,lru,1,0.583138
u64,sip,128,clear-empty,hashlink,1,0.601888
u64,sip,128,clear-empty,micro,1,0.365708
u64,sip,128,clear-empty,quick_cache,2,1.785703
u64,sip,128,clear-empty,lru,2,0.580481
u64,sip,128,clear-empty,hashlink,2,0.597965
u64,sip,128,clear-empty,micro,2,0.365878
u64,sip,128,clear-empty,baseline,2,49.032427
u64,sip,128,clear-empty,lru,3,0.603112
u64,sip,128,clear-empty,hashlink,3,0.609448
u64,sip,128,clear-empty,micro,3,0.365811
u64,sip,128,clear-empty,baseline,3,48.682248
u64,sip,128,clear-empty,quick_cache,3,1.788676
u64,sip,128,clear-empty,hashlink,4,0.598628
u64,sip,128,clear-empty,micro,4,0.366858
u64,sip,128,clear-empty,baseline,4,49.265116
u64,sip,128,clear-empty,quick_cache,4,1.816780
u64,sip,128,clear-empty,lru,4,0.611268
u64,sip,128,iter-dense,micro,0,39.900266
u64,sip,128,iter-dense,baseline,0,39.385145
u64,sip,128,iter-dense,quick_cache,0,28.924564
u64,sip,128,iter-dense,lru,0,139.815807
u64,sip,128,iter-dense,hashlink,0,139.280415
u64,sip,128,iter-dense,baseline,1,39.325202
u64,sip,128,iter-dense,quick_cache,1,29.029199
u64,sip,128,iter-dense,lru,1,139.456445
u64,sip,128,iter-dense,hashlink,1,139.239846
u64,sip,128,iter-dense,micro,1,39.253807
u64,sip,128,iter-dense,quick_cache,2,29.095486
u64,sip,128,iter-dense,lru,2,139.617467
u64,sip,128,iter-dense,hashlink,2,139.232149
u64,sip,128,iter-dense,micro,2,39.064128
u64,sip,128,iter-dense,baseline,2,39.076602
u64,sip,128,iter-dense,lru,3,139.284264
u64,sip,128,iter-dense,hashlink,3,139.875978
u64,sip,128,iter-dense,micro,3,39.753007
u64,sip,128,iter-dense,baseline,3,39.392949
u64,sip,128,iter-dense,quick_cache,3,28.747615
u64,sip,128,iter-dense,hashlink,4,139.452545
u64,sip,128,iter-dense,micro,4,39.138577
u64,sip,128,iter-dense,baseline,4,39.734507
u64,sip,128,iter-dense,quick_cache,4,28.953858
u64,sip,128,iter-dense,lru,4,141.069502
u64,sip,128,iter-dense-for,micro,0,39.003458
u64,sip,128,iter-dense-for,baseline,0,39.403348
u64,sip,128,iter-dense-for,quick_cache,0,72.166466
u64,sip,128,iter-dense-for,lru,0,85.714922
u64,sip,128,iter-dense-for,hashlink,0,75.355572
u64,sip,128,iter-dense-for,baseline,1,38.653519
u64,sip,128,iter-dense-for,quick_cache,1,70.563323
u64,sip,128,iter-dense-for,lru,1,85.109233
u64,sip,128,iter-dense-for,hashlink,1,75.718422
u64,sip,128,iter-dense-for,micro,1,38.700294
u64,sip,128,iter-dense-for,quick_cache,2,38.549599
u64,sip,128,iter-dense-for,lru,2,85.243835
u64,sip,128,iter-dense-for,hashlink,2,75.255417
u64,sip,128,iter-dense-for,micro,2,38.637593
u64,sip,128,iter-dense-for,baseline,2,38.605239
u64,sip,128,iter-dense-for,lru,3,85.414532
u64,sip,128,iter-dense-for,hashlink,3,75.283633
u64,sip,128,iter-dense-for,micro,3,38.553338
u64,sip,128,iter-dense-for,baseline,3,39.117908
u64,sip,128,iter-dense-for,quick_cache,3,39.871320
u64,sip,128,iter-dense-for,hashlink,4,76.944678
u64,sip,128,iter-dense-for,micro,4,39.612048
u64,sip,128,iter-dense-for,baseline,4,38.911216
u64,sip,128,iter-dense-for,quick_cache,4,38.781405
u64,sip,128,iter-dense-for,lru,4,85.315486
u64,sip,128,iter-density-1pct,micro,0,35.493849
u64,sip,128,iter-density-1pct,baseline,0,35.311229
u64,sip,128,iter-density-1pct,quick_cache,0,24.853474
u64,sip,128,iter-density-1pct,lru,0,1.335489
u64,sip,128,iter-density-1pct,hashlink,0,1.296896
u64,sip,128,iter-density-1pct,baseline,1,34.289305
u64,sip,128,iter-density-1pct,quick_cache,1,21.338580
u64,sip,128,iter-density-1pct,lru,1,1.298854
u64,sip,128,iter-density-1pct,hashlink,1,1.264005
u64,sip,128,iter-density-1pct,micro,1,34.225787
u64,sip,128,iter-density-1pct,quick_cache,2,21.126141
u64,sip,128,iter-density-1pct,lru,2,1.292872
u64,sip,128,iter-density-1pct,hashlink,2,1.257157
u64,sip,128,iter-density-1pct,micro,2,34.264249
u64,sip,128,iter-density-1pct,baseline,2,34.225787
u64,sip,128,iter-density-1pct,lru,3,1.297452
u64,sip,128,iter-density-1pct,hashlink,3,1.257124
u64,sip,128,iter-density-1pct,micro,3,34.225308
u64,sip,128,iter-density-1pct,baseline,3,34.991546
u64,sip,128,iter-density-1pct,quick_cache,3,21.095860
u64,sip,128,iter-density-1pct,hashlink,4,1.267920
u64,sip,128,iter-density-1pct,micro,4,35.477464
u64,sip,128,iter-density-1pct,baseline,4,35.217881
u64,sip,128,iter-density-1pct,quick_cache,4,22.290515
u64,sip,128,iter-density-1pct,lru,4,1.288483
u64,sip,128,iter-density-6pct,micro,0,38.498050
u64,sip,128,iter-density-6pct,baseline,0,37.851357
u64,sip,128,iter-density-6pct,quick_cache,0,20.979008
u64,sip,128,iter-density-6pct,lru,0,3.116482
u64,sip,128,iter-density-6pct,hashlink,0,3.132667
u64,sip,128,iter-density-6pct,baseline,1,39.384594
u64,sip,128,iter-density-6pct,quick_cache,1,22.409282
u64,sip,128,iter-density-6pct,lru,1,3.083315
u64,sip,128,iter-density-6pct,hashlink,1,3.084896
u64,sip,128,iter-density-6pct,micro,1,38.423207
u64,sip,128,iter-density-6pct,quick_cache,2,20.980763
u64,sip,128,iter-density-6pct,lru,2,3.075729
u64,sip,128,iter-density-6pct,hashlink,2,3.009244
u64,sip,128,iter-density-6pct,micro,2,38.533742
u64,sip,128,iter-density-6pct,baseline,2,38.401323
u64,sip,128,iter-density-6pct,lru,3,3.103731
u64,sip,128,iter-density-6pct,hashlink,3,2.991713
u64,sip,128,iter-density-6pct,micro,3,38.407466
u64,sip,128,iter-density-6pct,baseline,3,38.444291
u64,sip,128,iter-density-6pct,quick_cache,3,22.014653
u64,sip,128,iter-density-6pct,hashlink,4,3.027025
u64,sip,128,iter-density-6pct,micro,4,38.504761
u64,sip,128,iter-density-6pct,baseline,4,39.002925
u64,sip,128,iter-density-6pct,quick_cache,4,21.547073
u64,sip,128,iter-density-6pct,lru,4,3.102131
u64,sip,128,iter-density-quarter,micro,0,37.665729
u64,sip,128,iter-density-quarter,baseline,0,37.614170
u64,sip,128,iter-density-quarter,quick_cache,0,24.779838
u64,sip,128,iter-density-quarter,lru,0,19.132199
u64,sip,128,iter-density-quarter,hashlink,0,19.244477
u64,sip,128,iter-density-quarter,baseline,1,38.110277
u64,sip,128,iter-density-quarter,quick_cache,1,25.100745
u64,sip,128,iter-density-quarter,lru,1,19.720788
u64,sip,128,iter-density-quarter,hashlink,1,19.660667
u64,sip,128,iter-density-quarter,micro,1,37.739462
u64,sip,128,iter-density-quarter,quick_cache,2,24.783984
u64,sip,128,iter-density-quarter,lru,2,19.427379
u64,sip,128,iter-density-quarter,hashlink,2,19.251052
u64,sip,128,iter-density-quarter,micro,2,37.879306
u64,sip,128,iter-density-quarter,baseline,2,37.577229
u64,sip,128,iter-density-quarter,lru,3,19.383463
u64,sip,128,iter-density-quarter,hashlink,3,19.213730
u64,sip,128,iter-density-quarter,micro,3,37.724268
u64,sip,128,iter-density-quarter,baseline,3,37.751510
u64,sip,128,iter-density-quarter,quick_cache,3,24.761932
u64,sip,128,iter-density-quarter,hashlink,4,19.398433
u64,sip,128,iter-density-quarter,micro,4,37.740506
u64,sip,128,iter-density-quarter,baseline,4,37.735262
u64,sip,128,iter-density-quarter,quick_cache,4,24.832346
u64,sip,128,iter-density-quarter,lru,4,19.446711
u64,sip,128,iter-density-half,micro,0,38.677896
u64,sip,128,iter-density-half,baseline,0,38.289442
u64,sip,128,iter-density-half,quick_cache,0,29.776735
u64,sip,128,iter-density-half,lru,0,53.170617
u64,sip,128,iter-density-half,hashlink,0,53.383199
u64,sip,128,iter-density-half,baseline,1,38.131608
u64,sip,128,iter-density-half,quick_cache,1,29.627439
u64,sip,128,iter-density-half,lru,1,53.927509
u64,sip,128,iter-density-half,hashlink,1,54.156755
u64,sip,128,iter-density-half,micro,1,39.112471
u64,sip,128,iter-density-half,quick_cache,2,30.024626
u64,sip,128,iter-density-half,lru,2,53.403207
u64,sip,128,iter-density-half,hashlink,2,53.244925
u64,sip,128,iter-density-half,micro,2,38.122993
u64,sip,128,iter-density-half,baseline,2,38.564377
u64,sip,128,iter-density-half,lru,3,53.205208
u64,sip,128,iter-density-half,hashlink,3,52.958992
u64,sip,128,iter-density-half,micro,3,38.150821
u64,sip,128,iter-density-half,baseline,3,38.185070
u64,sip,128,iter-density-half,quick_cache,3,29.628663
u64,sip,128,iter-density-half,hashlink,4,53.089025
u64,sip,128,iter-density-half,micro,4,38.175005
u64,sip,128,iter-density-half,baseline,4,38.200102
u64,sip,128,iter-density-half,quick_cache,4,29.667722
u64,sip,128,iter-density-half,lru,4,53.089769
u64,sip,128,iter-front,micro,0,38.284121
u64,sip,128,iter-front,baseline,0,38.768603
u64,sip,128,iter-front,quick_cache,0,21.140727
u64,sip,128,iter-front,lru,0,1.193507
u64,sip,128,iter-front,hashlink,0,1.150956
u64,sip,128,iter-front,baseline,1,38.221158
u64,sip,128,iter-front,quick_cache,1,20.837382
u64,sip,128,iter-front,lru,1,1.194055
u64,sip,128,iter-front,hashlink,1,1.160143
u64,sip,128,iter-front,micro,1,38.963505
u64,sip,128,iter-front,quick_cache,2,21.154741
u64,sip,128,iter-front,lru,2,1.211334
u64,sip,128,iter-front,hashlink,2,1.188650
u64,sip,128,iter-front,micro,2,38.200102
u64,sip,128,iter-front,baseline,2,38.377085
u64,sip,128,iter-front,lru,3,1.180968
u64,sip,128,iter-front,hashlink,3,1.169959
u64,sip,128,iter-front,micro,3,38.157344
u64,sip,128,iter-front,baseline,3,38.191612
u64,sip,128,iter-front,quick_cache,3,20.824661
u64,sip,128,iter-front,hashlink,4,1.184774
u64,sip,128,iter-front,micro,4,38.220100
u64,sip,128,iter-front,baseline,4,38.169007
u64,sip,128,iter-front,quick_cache,4,20.871014
u64,sip,128,iter-front,lru,4,1.181832
u64,sip,128,iter-back,micro,0,38.968880
u64,sip,128,iter-back,baseline,0,39.288333
u64,sip,128,iter-back,quick_cache,0,21.169656
u64,sip,128,iter-back,lru,0,1.218086
u64,sip,128,iter-back,hashlink,0,1.179824
u64,sip,128,iter-back,baseline,1,39.005629
u64,sip,128,iter-back,quick_cache,1,21.068006
u64,sip,128,iter-back,lru,1,1.178045
u64,sip,128,iter-back,hashlink,1,1.154670
u64,sip,128,iter-back,micro,1,38.961337
u64,sip,128,iter-back,quick_cache,2,21.078055
u64,sip,128,iter-back,lru,2,1.208617
u64,sip,128,iter-back,hashlink,2,1.213121
u64,sip,128,iter-back,micro,2,39.993110
u64,sip,128,iter-back,baseline,2,39.717678
u64,sip,128,iter-back,lru,3,1.167104
u64,sip,128,iter-back,hashlink,3,1.136171
u64,sip,128,iter-back,micro,3,38.968880
u64,sip,128,iter-back,baseline,3,39.282324
u64,sip,128,iter-back,quick_cache,3,21.309190
u64,sip,128,iter-back,hashlink,4,1.137853
u64,sip,128,iter-back,micro,4,39.421540
u64,sip,128,iter-back,baseline,4,39.266973
u64,sip,128,iter-back,quick_cache,4,21.136546
u64,sip,128,iter-back,lru,4,1.195699
u64,sip,128,iter-empty,micro,0,37.990453
u64,sip,128,iter-empty,baseline,0,37.733690
u64,sip,128,iter-empty,quick_cache,0,20.807902
u64,sip,128,iter-empty,lru,0,0.989394
u64,sip,128,iter-empty,hashlink,0,0.994494
u64,sip,128,iter-empty,baseline,1,38.323917
u64,sip,128,iter-empty,quick_cache,1,21.151146
u64,sip,128,iter-empty,lru,1,0.982323
u64,sip,128,iter-empty,hashlink,1,0.993693
u64,sip,128,iter-empty,micro,1,37.735790
u64,sip,128,iter-empty,quick_cache,2,20.935979
u64,sip,128,iter-empty,lru,2,0.982004
u64,sip,128,iter-empty,hashlink,2,1.000822
u64,sip,128,iter-empty,micro,2,38.348875
u64,sip,128,iter-empty,baseline,2,38.502631
u64,sip,128,iter-empty,lru,3,1.014808
u64,sip,128,iter-empty,hashlink,3,0.992252
u64,sip,128,iter-empty,micro,3,37.818715
u64,sip,128,iter-empty,baseline,3,37.825547
u64,sip,128,iter-empty,quick_cache,3,20.886709
u64,sip,128,iter-empty,hashlink,4,0.997330
u64,sip,128,iter-empty,micro,4,37.769860
u64,sip,128,iter-empty,baseline,4,38.245769
u64,sip,128,iter-empty,quick_cache,4,20.927790
u64,sip,128,iter-empty,lru,4,0.986946
u64,sip,128,iter-count,micro,0,0.395562
u64,sip,128,iter-count,baseline,0,38.131379
u64,sip,128,iter-count,quick_cache,0,55.569183
u64,sip,128,iter-count,lru,0,0.396679
u64,sip,128,iter-count,hashlink,0,0.396445
u64,sip,128,iter-count,baseline,1,37.796523
u64,sip,128,iter-count,quick_cache,1,55.810547
u64,sip,128,iter-count,lru,1,0.405120
u64,sip,128,iter-count,hashlink,1,0.404273
u64,sip,128,iter-count,micro,1,0.398101
u64,sip,128,iter-count,quick_cache,2,55.474425
