key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,6.531627
u64,sip,128,get-hit,baseline,0,6.195325
u64,sip,128,get-hit,quick_cache,0,5.779578
u64,sip,128,get-hit,lru,0,6.288904
u64,sip,128,get-hit,hashlink,0,5.789175
u64,sip,128,get-hit,baseline,1,5.415790
u64,sip,128,get-hit,quick_cache,1,5.374038
u64,sip,128,get-hit,lru,1,6.092236
u64,sip,128,get-hit,hashlink,1,5.724755
u64,sip,128,get-hit,micro,1,5.375064
u64,sip,128,get-hit,quick_cache,2,5.247719
u64,sip,128,get-hit,lru,2,6.043728
u64,sip,128,get-hit,hashlink,2,5.733216
u64,sip,128,get-hit,micro,2,5.341638
u64,sip,128,get-hit,baseline,2,5.357130
u64,sip,128,get-hit,lru,3,6.007874
u64,sip,128,get-hit,hashlink,3,5.766334
u64,sip,128,get-hit,micro,3,5.417950
u64,sip,128,get-hit,baseline,3,5.380955
u64,sip,128,get-hit,quick_cache,3,5.254631
u64,sip,128,get-hit,hashlink,4,5.727228
u64,sip,128,get-hit,micro,4,5.382381
u64,sip,128,get-hit,baseline,4,5.458196
u64,sip,128,get-hit,quick_cache,4,5.354764
u64,sip,128,get-hit,lru,4,6.043278
u64,sip,128,get-hit,micro,5,5.372476
u64,sip,128,get-hit,baseline,5,5.356861
u64,sip,128,get-hit,quick_cache,5,5.263669
u64,sip,128,get-hit,lru,5,6.033006
u64,sip,128,get-hit,hashlink,5,5.747857
u64,sip,128,get-hit,baseline,6,5.358423
u64,sip,128,get-hit,quick_cache,6,5.294931
u64,sip,128,get-hit,lru,6,6.117096
u64,sip,128,get-hit,hashlink,6,5.751945
u64,sip,128,get-hit,micro,6,5.330757
u64,sip,128,get-hit,quick_cache,7,5.274499
u64,sip,128,get-hit,lru,7,6.093594
u64,sip,128,get-hit,hashlink,7,5.775500
u64,sip,128,get-hit,micro,7,5.455198
u64,sip,128,get-hit,baseline,7,5.402557
u64,sip,128,get-hit,lru,8,6.041533
u64,sip,128,get-hit,hashlink,8,5.720668
u64,sip,128,get-hit,micro,8,5.367836
u64,sip,128,get-hit,baseline,8,5.355300
u64,sip,128,get-hit,quick_cache,8,5.287258
u64,sip,128,get-miss,micro,0,4.523421
u64,sip,128,get-miss,baseline,0,4.538944
u64,sip,128,get-miss,quick_cache,0,4.608689
u64,sip,128,get-miss,lru,0,5.060874
u64,sip,128,get-miss,hashlink,0,4.641754
u64,sip,128,get-miss,baseline,1,4.522441
u64,sip,128,get-miss,quick_cache,1,4.584583
u64,sip,128,get-miss,lru,1,4.981354
u64,sip,128,get-miss,hashlink,1,4.624338
u64,sip,128,get-miss,micro,1,4.610296
u64,sip,128,get-miss,quick_cache,2,4.643874
u64,sip,128,get-miss,lru,2,4.977756
u64,sip,128,get-miss,hashlink,2,4.558811
u64,sip,128,get-miss,micro,2,4.560063
u64,sip,128,get-miss,baseline,2,4.538228
u64,sip,128,get-miss,lru,3,4.981809
u64,sip,128,get-miss,hashlink,3,4.580750
u64,sip,128,get-miss,micro,3,4.514096
u64,sip,128,get-miss,baseline,3,4.534987
u64,sip,128,get-miss,quick_cache,3,4.672257
u64,sip,128,get-miss,hashlink,4,4.596414
u64,sip,128,get-miss,micro,4,4.510805
u64,sip,128,get-miss,baseline,4,4.550020
u64,sip,128,get-miss,quick_cache,4,4.587164
u64,sip,128,get-miss,lru,4,5.042864
u64,sip,128,get-miss,micro,5,4.628076
u64,sip,128,get-miss,baseline,5,4.528092
u64,sip,128,get-miss,quick_cache,5,4.573044
u64,sip,128,get-miss,lru,5,4.990823
