key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,5.240807
u64,sip,128,get-hit,baseline,0,5.487987
u64,sip,128,get-hit,quick_cache,0,5.054232
u64,sip,128,get-hit,lru,0,5.758753
u64,sip,128,get-hit,hashlink,0,5.597895
u64,sip,128,get-hit,baseline,1,5.025978
u64,sip,128,get-hit,quick_cache,1,5.032191
u64,sip,128,get-hit,lru,1,5.793877
u64,sip,128,get-hit,hashlink,1,5.470322
u64,sip,128,get-hit,micro,1,5.076216
u64,sip,128,get-hit,quick_cache,2,5.086011
u64,sip,128,get-hit,lru,2,6.054365
u64,sip,128,get-hit,hashlink,2,5.440906
u64,sip,128,get-hit,micro,2,5.041821
u64,sip,128,get-hit,baseline,2,5.229722
u64,sip,128,get-hit,lru,3,5.803666
u64,sip,128,get-hit,hashlink,3,5.501475
u64,sip,128,get-hit,micro,3,5.134092
u64,sip,128,get-hit,baseline,3,5.244155
u64,sip,128,get-hit,quick_cache,3,5.049231
u64,sip,128,get-hit,hashlink,4,5.426277
u64,sip,128,get-hit,micro,4,5.055494
u64,sip,128,get-hit,baseline,4,5.029772
u64,sip,128,get-hit,quick_cache,4,5.009093
u64,sip,128,get-hit,lru,4,5.856178
u64,sip,128,get-hit,micro,5,5.035566
u64,sip,128,get-hit,baseline,5,5.025811
u64,sip,128,get-hit,quick_cache,5,4.999756
u64,sip,128,get-hit,lru,5,5.844262
u64,sip,128,get-hit,hashlink,5,5.484491
u64,sip,128,get-hit,baseline,6,5.068777
u64,sip,128,get-hit,quick_cache,6,5.142084
u64,sip,128,get-hit,lru,6,5.869009
u64,sip,128,get-hit,hashlink,6,5.590080
u64,sip,128,get-hit,micro,6,5.560811
u64,sip,128,get-hit,quick_cache,7,5.047339
u64,sip,128,get-hit,lru,7,5.761201
u64,sip,128,get-hit,hashlink,7,5.604595
u64,sip,128,get-hit,micro,7,5.020017
u64,sip,128,get-hit,baseline,7,5.037361
u64,sip,128,get-hit,lru,8,5.756747
u64,sip,128,get-hit,hashlink,8,5.527486
u64,sip,128,get-hit,micro,8,5.044395
u64,sip,128,get-hit,baseline,8,5.107668
u64,sip,128,get-hit,quick_cache,8,4.976392
u64,sip,128,get-miss,micro,0,11.101586
u64,sip,128,get-miss,baseline,0,16.529337
u64,sip,128,get-miss,quick_cache,0,13.618186
u64,sip,128,get-miss,lru,0,16.089960
u64,sip,128,get-miss,hashlink,0,11.626041
u64,sip,128,get-miss,baseline,1,6.148834
u64,sip,128,get-miss,quick_cache,1,12.461966
u64,sip,128,get-miss,lru,1,4.644837
u64,sip,128,get-miss,hashlink,1,4.297502
u64,sip,128,get-miss,micro,1,4.093763
u64,sip,128,get-miss,quick_cache,2,4.290494
u64,sip,128,get-miss,lru,2,4.615497
u64,sip,128,get-miss,hashlink,2,4.219634
u64,sip,128,get-miss,micro,2,4.130562
u64,sip,128,get-miss,baseline,2,4.298573
u64,sip,128,get-miss,lru,3,4.376548
u64,sip,128,get-miss,hashlink,3,4.216933
u64,sip,128,get-miss,micro,3,4.244048
u64,sip,128,get-miss,baseline,3,4.114480
u64,sip,128,get-miss,quick_cache,3,4.307348
u64,sip,128,get-miss,hashlink,4,4.312542
u64,sip,128,get-miss,micro,4,4.172569
u64,sip,128,get-miss,baseline,4,4.139600
u64,sip,128,get-miss,quick_cache,4,4.247171
u64,sip,128,get-miss,lru,4,4.450444
u64,sip,128,get-miss,micro,5,4.157622
u64,sip,128,get-miss,baseline,5,4.124960
u64,sip,128,get-miss,quick_cache,5,4.226019
u64,sip,128,get-miss,lru,5,4.423906
u64,sip,128,get-miss,hashlink,5,4.219459
u64,sip,128,get-miss,baseline,6,4.120828
u64,sip,128,get-miss,quick_cache,6,4.277085
u64,sip,128,get-miss,lru,6,4.363760
u64,sip,128,get-miss,hashlink,6,4.186343
u64,sip,128,get-miss,micro,6,4.207315
u64,sip,128,get-miss,quick_cache,7,4.303982
u64,sip,128,get-miss,lru,7,4.476209
u64,sip,128,get-miss,hashlink,7,4.235735
u64,sip,128,get-miss,micro,7,4.074877
u64,sip,128,get-miss,baseline,7,4.115060
u64,sip,128,get-miss,lru,8,4.453797
u64,sip,128,get-miss,hashlink,8,4.199442
u64,sip,128,get-miss,micro,8,4.132726
u64,sip,128,get-miss,baseline,8,4.117825
u64,sip,128,get-miss,quick_cache,8,4.262253
u64,sip,128,update,micro,0,4.938228
u64,sip,128,update,baseline,0,4.938679
u64,sip,128,update,quick_cache,0,9.071276
u64,sip,128,update,lru,0,5.384166
u64,sip,128,update,hashlink,0,14.234792
u64,sip,128,update,baseline,1,5.024519
u64,sip,128,update,quick_cache,1,10.274251
u64,sip,128,update,lru,1,5.459922
u64,sip,128,update,hashlink,1,14.930484
u64,sip,128,update,micro,1,4.990244
u64,sip,128,update,quick_cache,2,8.899338
u64,sip,128,update,lru,2,5.425242
u64,sip,128,update,hashlink,2,14.048143
u64,sip,128,update,micro,2,4.924692
u64,sip,128,update,baseline,2,5.012428
u64,sip,128,update,lru,3,5.730508
