key,hasher,capacity,operation,library,sample,ns_per_op
u64,sip,128,get-hit,micro,0,5.246116
u64,sip,128,get-hit,baseline,0,5.171010
u64,sip,128,get-hit,quick_cache,0,5.076857
u64,sip,128,get-hit,lru,0,5.814083
u64,sip,128,get-hit,hashlink,0,5.537878
u64,sip,128,get-hit,baseline,1,5.135006
u64,sip,128,get-hit,quick_cache,1,5.135573
u64,sip,128,get-hit,lru,1,5.975293
u64,sip,128,get-hit,hashlink,1,5.598742
u64,sip,128,get-hit,micro,1,5.238053
u64,sip,128,get-hit,quick_cache,2,5.153302
u64,sip,128,get-hit,lru,2,5.903214
u64,sip,128,get-hit,hashlink,2,5.512826
u64,sip,128,get-hit,micro,2,5.125398
u64,sip,128,get-hit,baseline,2,5.155706
u64,sip,128,get-hit,lru,3,5.913144
u64,sip,128,get-hit,hashlink,3,5.555742
u64,sip,128,get-hit,micro,3,5.170078
u64,sip,128,get-hit,baseline,3,5.189420
u64,sip,128,get-hit,quick_cache,3,5.161554
u64,sip,128,get-hit,hashlink,4,5.496808
u64,sip,128,get-hit,micro,4,5.116145
u64,sip,128,get-hit,baseline,4,5.181398
u64,sip,128,get-hit,quick_cache,4,5.168574
u64,sip,128,get-hit,lru,4,5.981199
u64,sip,128,get-miss,micro,0,4.503390
u64,sip,128,get-miss,baseline,0,4.488875
u64,sip,128,get-miss,quick_cache,0,4.643566
u64,sip,128,get-miss,lru,0,4.993405
u64,sip,128,get-miss,hashlink,0,4.527653
u64,sip,128,get-miss,baseline,1,4.475415
u64,sip,128,get-miss,quick_cache,1,4.556288
u64,sip,128,get-miss,lru,1,4.978626
u64,sip,128,get-miss,hashlink,1,4.529600
u64,sip,128,get-miss,micro,1,4.547621
u64,sip,128,get-miss,quick_cache,2,4.605930
u64,sip,128,get-miss,lru,2,4.973608
u64,sip,128,get-miss,hashlink,2,4.510584
u64,sip,128,get-miss,micro,2,4.488380
u64,sip,128,get-miss,baseline,2,4.426825
u64,sip,128,get-miss,lru,3,4.911566
u64,sip,128,get-miss,hashlink,3,4.507111
u64,sip,128,get-miss,micro,3,4.476284
u64,sip,128,get-miss,baseline,3,4.496070
u64,sip,128,get-miss,quick_cache,3,4.568531
u64,sip,128,get-miss,hashlink,4,4.513127
u64,sip,128,get-miss,micro,4,4.498303
u64,sip,128,get-miss,baseline,4,4.490860
u64,sip,128,get-miss,quick_cache,4,4.567714
u64,sip,128,get-miss,lru,4,5.024182
u64,sip,128,update,micro,0,5.201241
u64,sip,128,update,baseline,0,5.189493
u64,sip,128,update,quick_cache,0,8.872381
u64,sip,128,update,lru,0,5.489671
u64,sip,128,update,hashlink,0,13.906218
u64,sip,128,update,baseline,1,5.092904
u64,sip,128,update,quick_cache,1,8.988790
u64,sip,128,update,lru,1,5.514344
u64,sip,128,update,hashlink,1,16.108637
u64,sip,128,update,micro,1,5.137338
u64,sip,128,update,quick_cache,2,9.056277
u64,sip,128,update,lru,2,5.559979
u64,sip,128,update,hashlink,2,12.731269
u64,sip,128,update,micro,2,5.024531
u64,sip,128,update,baseline,2,5.087675
u64,sip,128,update,lru,3,5.528769
